line	pos	sign	confidence	note
f8_left_L1	1	8	low	
f8_left_L1	2	9	low	
f8_left_L1	3	y	low	
f8_left_L1	4	6	low	
f8_left_L1	5	2	low	
f8_left_L1	6	2	low	
f8_left_L1	7	0	low	
f8_left_L1	8	9	low	
f8_left_L1	9	3	low	
f8_left_L1	10	1	low	
f8_left_L1	11	8	low	
f8_left_L1	12	6	low	
f8_left_L1	13	2	low	
f8_left_L1	14	4	low	
f8_left_L1	15	2	low	
f8_left_L1	16	8	low	
f8_left_L1	17	1	low	
f8_left_L1	18	7	low	
f8_left_L1	19	2	low	
f8_left_L1	20	2	low	
f8_left_L1	21	2	low	
f8_left_L1	22	0	low	
f8_left_L1	23	0	low	
f8_left_L1	24	1	low	
f8_left_L1	25	5	low	
f8_left_L1	26	9	low	
f8_left_L1	27	3	low	
f8_left_L1	28	5	low	
f8_left_L1	29	1	low	
f8_left_L1	30	8	low	
f8_left_L1	31	1	low	
f8_left_L1	32	9	low	
f8_left_L1	33	4	low	
f8_left_L1	34	2	low	
f8_left_L1	35	1	low	
f8_left_L1	36	6	low	
f8_left_L1	37	1	low	
f8_left_L1	38	9	low	
f8_left_L1	39	1	low	
f8_left_L1	40	7	low	
f8_left_L1	41	9	low	
f8_left_L1	42	6	low	
f8_left_L1	43	1	low	
f8_left_L1	44	0	low	
f8_left_L1	45	2	low	
f8_left_L1	46	0	low	
f8_left_L1	47	4	low	
f8_left_L1	48	9	low	
f8_left_L1	49	1	low	
f8_left_L1	50	3	low	
f8_left_L1	51	1	low	
f8_left_L1	52	8	low	
f8_left_L1	53	1	low	
f8_left_L1	54	1	low	
f8_left_L1	55	5	low	
f8_left_L1	56	1	low	
f8_left_L1	57	7	low	
f8_left_L1	58	6	low	
f8_left_L1	59	2	low	
f8_left_L1	60	6	low	
f8_left_L2	1	2	low	
f8_left_L2	2	0	low	
f8_left_L2	3	5	low	
f8_left_L2	4	1	low	
f8_left_L2	5	7	low	
f8_left_L2	6	6	low	
f8_left_L2	7	1	low	
f8_left_L2	8	8	med	
f8_left_L2	9	y	low	
f8_left_L2	10	9	low	
f8_left_L2	11	8	low	
f8_left_L2	12	5	low	
f8_left_L2	13	1	low	
f8_left_L2	14	0	low	
f8_left_L2	15	9	low	
f8_left_L2	16	2	low	
f8_left_L2	17	0	low	
f8_left_L2	18	1	low	
f8_left_L2	19	8	low	
f8_left_L2	20	1	low	
f8_left_L2	21	9	low	clear Italian text follows here to end of line ('et mi cause...'), not transcribed as cipher signs
f8_left_L3	1	2	low	positions 1-6 have letter-like cursive shapes (could be misread digits or, less likely, a short clear word); transcribed as nearest digit shapes, low confidence
f8_left_L3	2	9	low	
f8_left_L3	3	5	low	
f8_left_L3	4	1	low	
f8_left_L3	5	9	low	
f8_left_L3	6	1	low	
f8_left_L3	7	5	low	
f8_left_L3	8	9	low	
f8_left_L3	9	7	low	
f8_left_L3	10	1	low	
f8_left_L3	11	9	low	
f8_left_L3	12	2	low	
f8_left_L3	13	0	low	
f8_left_L3	14	6	low	
f8_left_L3	15	2	low	
f8_left_L3	16	6	low	
f8_left_L3	17	8	low	
f8_left_L3	18	1	low	
f8_left_L3	19	y	med	
f8_left_L3	20	2	low	
f8_left_L3	21	2	low	
f8_left_L3	22	9	low	
f8_left_L3	23	3	low	
f8_left_L3	24	1	low	
f8_left_L3	25	8	low	
f8_left_L3	26	1	low	
f8_left_L3	27	5	low	
f8_left_L3	28	7	low	
f8_left_L3	29	3	low	
f8_left_L3	30	2	low	
f8_left_L3	31	5	low	
f8_left_L3	32	2	low	
f8_left_L3	33	2	low	
f8_left_L3	34	6	low	
f8_left_L3	35	1	low	
f8_left_L3	36	7	low	
f8_left_L3	37	2	low	
f8_left_L3	38	6	low	
f8_left_L3	39	1	low	
f8_left_L3	40	7	low	
f8_left_L3	41	9	low	
f8_left_L4	1	2	low	
f8_left_L4	2	0	low	
f8_left_L4	3	1	low	
f8_left_L4	4	7	low	
f8_left_L4	5	5	low	
f8_left_L4	6	1	low	
f8_left_L4	7	2	low	
f8_left_L4	8	6	low	
f8_left_L4	9	2	low	
f8_left_L4	10	0	low	
f8_left_L4	11	9	low	
f8_left_L4	12	5	low	
f8_left_L4	13	1	low	
f8_left_L4	14	8	low	
f8_left_L4	15	4	low	
f8_left_L4	16	1	low	
f8_left_L4	17	7	low	
f8_left_L4	18	1	low	
f8_left_L4	19	9	low	
f8_left_L4	20	4	low	
f8_left_L4	21	7	low	
f8_left_L4	22	3	low	
f8_left_L4	23	2	low	
f8_left_L4	24	1	low	
f8_left_L4	25	6	low	
f8_left_L4	26	1	low	
f8_left_L4	27	8	low	
f8_left_L4	28	8	low	
f8_left_L4	29	3	low	
f8_left_L4	30	2	low	
f8_left_L4	31	0	low	
f8_left_L4	32	3	low	
f8_left_L4	33	5	low	
f8_left_L4	34	2	low	
f8_left_L4	35	1	low	
f8_left_L4	36	2	low	
f8_left_L4	37	0	low	
f8_left_L4	38	4	low	
f8_left_L4	39	2	low	
f8_left_L4	40	2	low	
f8_left_L4	41	5	low	
f8_left_L4	42	1	low	
f8_left_L4	43	4	low	
f8_left_L4	44	1	low	
f8_left_L4	45	7	low	
f8_left_L4	46	9	low	
f8_left_L4	47	1	low	
f8_left_L4	48	4	low	
f8_right_L12	1	2	low	
f8_right_L12	2	9	low	
f8_right_L12	3	9	low	
f8_right_L12	4	9	low	
f8_right_L12	5	1	low	
f8_right_L12	6	8	low	
f8_right_L12	7	6	low	
f8_right_L12	8	9	low	
f8_right_L12	9	1	low	
f8_right_L12	10	7	low	
f8_right_L12	11	2	low	
f8_right_L12	12	2	low	
f8_right_L12	13	6	low	
f8_right_L12	14	1	low	
f8_right_L12	15	8	low	
f8_right_L12	16	y	med	
f8_right_L12	17	9	low	
f8_right_L12	18	1	low	
f8_right_L12	19	7	low	
f8_right_L12	20	3	low	
f8_right_L12	21	2	low	
f8_right_L12	22	7	low	
f8_right_L12	23	6	low	
f8_right_L12	24	9	low	
f8_right_L12	25	1	low	
f8_right_L12	26	3	low	
f8_right_L12	27	2	low	
f8_right_L12	28	6	low	
f8_right_L12	29	2	low	
f8_right_L12	30	4	low	
f8_right_L12	31	8	low	
f8_right_L12	32	1	low	
f8_right_L12	33	5	low	
f8_right_L12	34	y	med	
f8_right_L12	35	6	low	
f8_right_L12	36	7	low	
f8_right_L12	37	9	low	
f8_right_L12	38	2	low	
f8_right_L12	39	0	low	main line ends here; positions 40-42 ('184') are written below the line, not inline -- possibly a scribal carry/running total rather than ciphertext, flagged not decided
f8_right_L12	40	1	low	
f8_right_L12	41	8	low	
f8_right_L12	42	4	low	
f9_top_L1	1	9	low	
f9_top_L1	2	6	low	
f9_top_L1	3	1	low	
f9_top_L1	4	7	low	
f9_top_L1	5	y	med	
f9_top_L1	6	2	low	
f9_top_L1	7	0	low	clear Italian words 'et mi' follow here (not transcribed as signs) before cipher resumes at position 8
f9_top_L1	8	2	low	
f9_top_L1	9	2	low	
f9_top_L1	10	6	low	
f9_top_L1	11	2	low	
f9_top_L1	12	1	low	
f9_top_L1	13	7	low	
f9_top_L1	14	5	low	
f9_top_L1	15	1	low	
f9_top_L1	16	8	low	
f9_top_L1	17	5	low	
f9_top_L1	18	9	low	
f9_top_L1	19	2	low	
f9_top_L1	20	0	low	
f9_top_L1	21	2	low	
f9_top_L1	22	2	low	
f9_top_L1	23	6	low	
f9_top_L1	24	2	low	
f9_top_L1	25	1	low	
f9_top_L1	26	8	low	
f9_top_L1	27	4	low	
f9_top_L1	28	3	low	
f9_top_L1	29	0	low	
f9_top_L1	30	5	low	
f9_top_L1	31	9	low	
f9_top_L2	1	7	low	
f9_top_L2	2	3	low	
f9_top_L2	3	2	low	
f9_top_L2	4	3	low	
f9_top_L2	5	3	low	
f9_top_L2	6	y	med	
f9_top_L2	7	1	low	
f9_top_L2	8	1	low	
f9_top_L2	9	5	low	
f9_top_L2	10	9	low	
f9_top_L2	11	1	low	
f9_top_L2	12	8	low	
f9_top_L2	13	2	low	
f9_top_L2	14	3	low	
f9_top_L2	15	6	low	
f9_top_L2	16	8	low	
f9_top_L2	17	5	low	
f9_top_L2	18	y	med	
f9_top_L2	19	3	low	
f9_top_L2	20	y	med	
f9_top_L2	21	1	low	
f9_top_L2	22	5	low	
f9_top_L2	23	8	low	
f9_top_L2	24	5	low	
f9_top_L2	25	2	low	
f9_top_L2	26	2	low	
f9_top_L2	27	3	low	
f9_top_L2	28	2	low	
f9_top_L2	29	9	low	
f9_top_L2	30	6	low	
f9_top_L2	31	9	low	
f9_top_L2	32	8	low	
f9_top_L2	33	9	low	
f9_top_L2	34	2	low	
f9_top_L2	35	0	low	
f9_top_L2	36	5	low	
f9_top_L2	37	9	low	
f9_top_L2	38	9	low	
f9_top_L2	39	1	low	
f9_top_L2	40	5	low	
f9_top_L2	41	0	low	
f9_top_L2	42	y	med	
f9_top_L2	43	0	low	
f9_top_L3	1	9	low	
f9_top_L3	2	2	low	
f9_top_L3	3	2	low	
f9_top_L3	4	9	low	
f9_top_L3	5	5	low	
f9_top_L3	6	1	low	
f9_top_L3	7	7	low	
f9_top_L3	8	9	low	
f9_top_L3	9	7	low	
f9_top_L3	10	3	low	
f9_top_L3	11	2	low	
f9_top_L3	12	0	low	
f9_top_L3	13	9	low	
f9_top_L3	14	6	low	
f9_top_L3	15	5	low	
f9_top_L3	16	8	low	
f9_top_L3	17	5	low	
f9_top_L3	18	8	low	
f9_top_L3	19	5	low	
f9_top_L3	20	2	low	
f9_top_L3	21	9	low	
f9_top_L3	22	2	low	
f9_top_L3	23	0	low	
f9_top_L3	24	5	low	
f9_top_L3	25	2	low	
f9_top_L3	26	7	low	clear Italian words follow here to end of line ('mi suo ... Dio facia'), not transcribed as cipher signs
