# Reconciler native-resolution reading (24 Sept 2026) from images/f8_native_region.jpg, f9_native_region.jpg, f10_native_region.jpg.
# One sign per token: digits 0-9 and y (the ij-shaped sign). Unsegmented: the scribe marks no group boundaries.
line	stream
f8_L2	1 2 2 2 0 5 y 6 5 1 8 1 9 1 9 2 1 6
f8_L3	1 4 1 7 9 6 1 0 2 0 4 y 3 1 8 6 1 7 6 7 2 0 1 9 2 9 9 1 8 9 7 2 0 4 y 5 2 2 1 9
f8_L4	2 4 4 8 1 9 1 0 9 2 0 1 3 2 2 1 2 6 5 1 8 1 7 1 5 1 2 6 2 0 1 7 5 1 7 1 6 2 8 6
f8_L5	3 y 2 2 0 2 y 1 3 2 2 1 9 2 0 1 8 6 3 y 1 9 2 0 5 9 9 7 3 2 3
f8_L7	9 2 2 9 3 1 7 y 8 5 9 3 2 2 3 5 1 8 1 4 3 1 7 y 2 0 8 5 1 7 y 4 1 8 1 4
f8_L8	8 4 1 5 1 8 4 2 6 3 y 8 5 1 7 3 1 4 1 8 9 9 2 4 1 0 2 0 4 9 1 7 3 1 7 2 2 6
f8_L9	5 7 1 9 2 0 1 4 1 8 5 4 0 3 9 4 8 5 y 6 2 4 3 0 1 7 y 2 0 6 7 5 4 2 4 8 5 1 8 4 9
f8_L10	4 9 3 2 0 5 4 8 4 y 9 6 1 8 6 2 y 5 3 2 0 4 2 2 9 4 y 2 0 2 2 3 2 y 6 1 5 1 8 4
f8_L11	1 7 2 2 0 8 5 7 3 2 0 9 9 3 2 0 2 2 9 3 1 8 1 7 y 4 y 6 3 y 7 9 2 0 3 9 9
f9_L6	9 5 7 1 5 4 2 2 3 2 0 1 5 4 2 9 1 8 4 1 7 3 5 2 7 3 1 8 3 1 5 9 4 1 7 9 5
f10_L2	1 7 9 4 4 1 8 y 3 2 1 4 9 y 6 9 2 2 4 2 0 6 1 8 4 9 6 1 7 y 2 0 9 1 8 5 y 3
f10_L3	2 0 9 2 5 1 5 8 5 1 7 3 2 9 1 8 5 3 2 0 9 8 5 y 6 2 9 3 0 7 4 2 0 3 9 9 1 4 1 8
f10_L4	4 1 6 2 0 3 9 1 8 3 4 1 7 6 5 2 2 6 1 2 4 y 5 1 9 2 4 1 7 4 7 3 9 4 5 6 1 8 4
f10_L5	2 2 4 9 1 7 9 9 4 1 8 3 2 4 1 8 4 7 6 2 5 1 7 5 1 6 9 2 5 1 6 1 9 3 1 7 4 9 5 4
f10_L6	2 4 2 6 2 9 6 1 8 8 4 2 0 2 2 9 9 1 7 4 8 1 5 1 7 9 1 7 7 3 y 1 1 9 6 1 2 5 6 2 0
f10_L7	1 7 5 1 6 1 7 y 2 0 9 7 5 0 1 7 4 0 5 4 3 y 8 5 7 6 2 9 2 5 1 6
