line	position	group	confidence
f8_L1	1	[PLAIN:"forma de partita de..."]	L
f8_L2	1	[PLAIN:"questiaua"]	L
f8_L2	2	[PLAIN:"quanto a quello che q"]	M
f8_L2	3	[PLAIN:"(struck-through word, illegible)"]	L
f8_L2	4	22	M
f8_L2	5	20	M
f8_L2	6	59	L
f8_L2	7	65	M
f8_L2	8	18	H
f8_L2	9	19	M
f8_L2	10	19	M
f8_L2	11	216	M
f8_L3	1	[PLAIN:"Helo qui"]	L
f8_L3	2	19	M
f8_L3	3	17	L
f8_L3	4	96	L
f8_L3	5	10	M
f8_L3	6	20	M
f8_L3	7	119	L
f8_L3	8	318	L
f8_L3	9	61	L
f8_L3	10	76	L
f8_L3	11	72	M
f8_L3	12	019	L
f8_L3	13	29	M
f8_L3	14	189	L
f8_L3	15	72	M
f8_L3	16	04	L
f8_L3	17	952	L
f8_L3	18	214	L
f8_L4	1	24.	M
f8_L4	2	[PLAIN:"(struck-through, illegible, overwritten by "24.")"]	L
f8_L4	3	48	L
f8_L4	4	19	M
f8_L4	5	109	M
f8_L4	6	2013	L
f8_L4	7	22126	L
f8_L4	8	518	L
f8_L4	9	17	L
f8_L4	10	1812	L
f8_L4	11	6201	L
f8_L4	12	75171	L
f8_L4	13	6286	L
f8_L5	1	19	M
f8_L5	2	2202	L
f8_L5	3	1913	L
f8_L5	4	2214	L
f8_L5	5	2018	L
f8_L5	6	619	L
f8_L5	7	2059	L
f8_L5	8	9723	L
f8_L5	9	[PLAIN:"no me redi..."]	L
f8_L6	1	[PLAIN:"sina qua"]	L
f8_L6	2	[PLAIN:"et tiara"]	L
f8_L6	3	[PLAIN:"pavu a mia si in mennemo di stare avnere"]	M
f8_L7	1	[PLAIN:"videra che"]	L
f8_L7	2	[PLAIN:"seguira p"]	L
f8_L7	3	[PLAIN:"acete q"]	M
f8_L7	4	22	M
f8_L7	5	9217	L
f8_L7	6	859	L
f8_L7	7	2235	L
f8_L7	8	1814	L
f8_L7	9	3171	L
f8_L7	10	2085	L
f8_L7	11	1719	L
f8_L7	12	1814	L
f8_L8	1	[PLAIN:"hu vi eco"]	L
f8_L8	2	84	M
f8_L8	3	15	M
f8_L8	4	1842	L
f8_L8	5	619	L
f8_L8	6	851	L
f8_L8	7	7314	L
f8_L8	8	1899	M
f8_L8	9	24	M
f8_L8	10	1020	L
f8_L8	11	4217	L
f8_L8	12	317	L
f8_L8	13	226	L
f8_L9	1	[PLAIN:"sa di srecia"]	L
f8_L9	2	[PLAIN:"che lo perche"]	L
f8_L9	3	57	M
f8_L9	4	19	M
f8_L9	5	2014	L
f8_L9	6	1854	L
f8_L9	7	0394	L
f8_L9	8	85	M
f8_L9	9	9~20	L
f8_L9	10	629	L
f8_L9	11	3017	L
f8_L9	12	6754	L
f8_L9	13	29	M
f8_L9	14	1899	M
f8_L10	1	[PLAIN:"fai conuobra"]	L
f8_L10	2	[PLAIN:"avo dianna"]	L
f8_L10	3	[PLAIN:"con nel prin"]	L
f8_L10	4	[PLAIN:"cipiome"]	L
f8_L10	5	4932	L
f8_L10	6	054	L
f8_L10	7	84	M
f8_L10	8	9618	L
f8_L10	9	6295	L
f8_L10	10	3204	L
f8_L10	11	2294	L
f8_L10	12	9202	L
f8_L10	13	23219	L
f8_L10	14	61	M
f8_L10	15	5184	L
f8_L11	1	1729	L
f8_L11	2	0(?)9	L
f8_L11	3	22	L
f8_L11	4	4222	L
f8_L11	5	19	L
f8_L11	6	2019	L
f8_L11	7	1817	L
f8_L11	8	9194	L
f8_L11	9	6274	L
f8_L11	10	2020	L
f9_L1	1	[PLAIN:"pavonie ii sera negiuto siluo q noi che aremo can"]	M
f9_L2	1	[PLAIN:"biato il nome nostro fratello auria campar de inuen"]	M
f9_L3	1	[PLAIN:"a voi p ho me re dauere aviso et in poco vissero"]	M
f9_L4	1	[PLAIN:"tire mi tapando di detro che mio sirato p ropio"]	M
f9_L5	1	[PLAIN:"Dona virginia p noi p ho ile nostri di sua nuova"]	M
f9_L6	1	[PLAIN:"se la."]	M
f9_L6	2	05	L
f9_L6	3	1594	L
f9_L6	4	22320	L
f9_L6	5	1594	L
f9_L6	6	29	M
f9_L6	7	189	L
f9_L6	8	13	L
f9_L6	9	2	L
f9_L6	10	73.	L
f9_L6	11	1894	L
f9_L6	12	195	L
f9_L7	1	[PLAIN:"p ho chi me la dico esimo me who camaniv il"]	M
f9_L8	1	[PLAIN:"quale min mudo nuovo quello che li aute scrivo le"]	M
f10_L1	1	[PLAIN:"lase le mie le posero brasaro"]	M
f10_L2	1	1794	L
f10_L2	2	18	M
f10_L2	3	32	M
f10_L2	4	19	M
f10_L2	5	9618	L
f10_L2	6	0692	L
f10_L2	7	420	L
f10_L2	8	6194	L
f10_L2	9	9617	L
f10_L2	10	2091	L
f10_L2	11	5813	L
f10_L3	1	2091	L
f10_L3	2	25	M
f10_L3	3	15881	L
f10_L3	4	732	L
f10_L3	5	91813	L
f10_L3	6	3209	L
f10_L3	7	85961	L
f10_L3	8	2930	L
f10_L3	9	71503	L
f10_L3	10	99418	L
f10_L4	1	4160	L
f10_L4	2	20183	L
f10_L4	3	41	L
f10_L4	4	7052	L
f10_L4	5	2612	L
f10_L4	6	49918	L
f10_L4	7	1742	L
f10_L4	8	17273	L
f10_L4	9	91869	L
