line	pos	sign	confidence
f8_left_L1	1	8	H
f8_left_L1	2	9	H
f8_left_L1	3	y	H
f8_left_L1	4	6	H
f8_left_L1	5	2	H
f8_left_L1	6	2	H
f8_left_L1	7	9	H
f8_left_L1	8	3	H
f8_left_L1	9	1	H
f8_left_L1	10	y	M
f8_left_L1	11	6	H
f8_left_L1	12	2	H
f8_left_L1	13	7	H
f8_left_L1	14	2	H
f8_left_L1	15	y	M
f8_left_L1	16	7	H
f8_left_L1	17	2	H
f8_left_L1	18	2	H
f8_left_L1	19	2	H
f8_left_L1	20	0	H
f8_left_L1	21	1	H
f8_left_L1	22	5	M
f8_left_L1	23	9	H
f8_left_L1	24	3	H
f8_left_L1	25	5	M
f8_left_L1	26	1	H
f8_left_L1	27	8	H
f8_left_L1	28	1	H
f8_left_L1	29	9	H
f8_left_L1	30	4	H
f8_left_L1	31	2	H
f8_left_L1	32	1	H
f8_left_L1	33	6	H
f8_left_L1	34	1	H
f8_left_L1	35	9	H
f8_left_L1	36	1	H
f8_left_L1	37	7	H
f8_left_L1	38	y	M
f8_left_L1	39	7	H
f8_left_L1	40	9	H
f8_left_L1	41	6	H
f8_left_L1	42	1	H
f8_left_L1	43	0	H
f8_left_L1	44	2	M
f8_left_L1	45	0	H
f8_left_L1	46	4	H
f8_left_L1	47	y	M
f8_left_L1	48	3	H
f8_left_L1	49	1	H
f8_left_L1	50	8	H
f8_left_L1	51	1	H
f8_left_L1	52	1	H
f8_left_L1	53	5	M
f8_left_L1	54	1	H
f8_left_L1	55	7	H
f8_left_L1	56	6	H
f8_left_L1	57	2	H
f8_left_L1	58	6	H
f8_left_L2	1	2	H
f8_left_L2	2	0	H
f8_left_L2	3	5	M
f8_left_L2	4	1	H
f8_left_L2	5	7	H
f8_left_L2	6	6	H
f8_left_L2	7	1	H
f8_left_L2	8	8	H
f8_left_L2	9	y	H
f8_left_L2	10	4	H
f8_left_L2	11	5	L
f8_left_L2	12	5	L
f8_left_L2	13	1	H
f8_left_L2	14	0	H
f8_left_L2	15	4	H
f8_left_L2	16	2	H
f8_left_L2	17	0	H
f8_left_L2	18	1	H
f8_left_L2	19	8	H
f8_left_L2	20	1	H
f8_left_L2	21	4	H
f8_left_L2	22	[PLAIN:"et mi causa gravi queste lumino"]	M
f8_left_L3	1	[PLAIN:"nel eterne is"]	M
f8_left_L3	2	2	H
f8_left_L3	3	0	H
f8_left_L3	4	5	M
f8_left_L3	5	y	H
f8_left_L3	6	4	H
f8_left_L3	7	1	H
f8_left_L3	8	5	M
f8_left_L3	9	4	H
f8_left_L3	10	7	M
f8_left_L3	11	y	M
f8_left_L3	12	2	H
f8_left_L3	13	0	H
f8_left_L3	14	6	H
f8_left_L3	15	2	H
f8_left_L3	16	6	H
f8_left_L3	17	8	H
f8_left_L3	18	1	H
f8_left_L3	19	9	M
f8_left_L3	20	2	H
f8_left_L3	21	2	H
f8_left_L3	22	3	M
f8_left_L3	23	1	H
f8_left_L3	24	8	H
f8_left_L3	25	1	H
f8_left_L3	26	5	M
f8_left_L3	27	7	M
f8_left_L3	28	3	H
f8_left_L3	29	2	H
f8_left_L3	30	5	M
f8_left_L3	31	2	H
f8_left_L3	32	2	H
f8_left_L3	33	6	H
f8_left_L3	34	1	H
f8_left_L3	35	7	H
f8_left_L3	36	2	H
f8_left_L3	37	6	H
f8_left_L3	38	y	M
f8_left_L4	1	2	H
f8_left_L4	2	0	H
f8_left_L4	3	1	H
f8_left_L4	4	7	H
f8_left_L4	5	5	M
f8_left_L4	6	1	H
f8_left_L4	7	2	H
f8_left_L4	8	6	H
f8_left_L4	9	2	H
f8_left_L4	10	0	H
f8_left_L4	11	0	H
f8_left_L4	12	5	M
f8_left_L4	13	8	H
f8_left_L4	14	4	H
f8_left_L4	15	1	H
f8_left_L4	16	7	H
f8_left_L4	17	5	M
f8_left_L4	18	9	M
f8_left_L4	19	7	H
f8_left_L4	20	3	H
f8_left_L4	21	2	H
f8_left_L4	22	1	H
f8_left_L4	23	6	H
f8_left_L4	24	1	H
f8_left_L4	25	8	H
f8_left_L4	26	8	H
f8_left_L4	27	3	H
f8_left_L4	28	2	M
f8_left_L4	29	0	M
f8_left_L4	30	5	M
f8_left_L4	31	2	H
f8_left_L4	32	1	H
f8_left_L4	33	2	H
f8_left_L4	34	0	H
f8_left_L4	35	4	H
f8_left_L4	36	2	H
f8_left_L4	37	2	H
f8_left_L4	38	5	M
f8_left_L4	39	1	H
f8_left_L4	40	4	H
f8_left_L4	41	7	H
f8_left_L4	42	9	H
f8_left_L4	43	1	H
f8_left_L4	44	4	H
f8_right_L12	1	2	H
f8_right_L12	2	9	L
f8_right_L12	3	9	L
f8_right_L12	4	9	L
f8_right_L12	5	1	M
f8_right_L12	6	8	M
f8_right_L12	7	6	M
f8_right_L12	8	9	L
f8_right_L12	9	7	M
f8_right_L12	10	2	M
f8_right_L12	11	2	M
f8_right_L12	12	6	M
f8_right_L12	13	1	M
f8_right_L12	14	8	M
f8_right_L12	15	y	M
f8_right_L12	16	4	M
f8_right_L12	17	1	M
f8_right_L12	18	7	M
f8_right_L12	19	3	M
f8_right_L12	20	2	M
f8_right_L12	21	7	M
f8_right_L12	22	6	M
f8_right_L12	23	4	M
f8_right_L12	24	1	M
f8_right_L12	25	3	M
f8_right_L12	26	2	M
f8_right_L12	27	6	M
f8_right_L12	28	2	M
f8_right_L12	29	8	M
f8_right_L12	30	y	M
f8_right_L12	31	6	M
f8_right_L12	32	7	M
f8_right_L12	33	9	M
f8_right_L12	34	2	M
f8_right_L12	35	0	M
f8_right_L12	36	[flagged: bold interlinear insertion "1 8 4" written above/below main faint line near end of line, unclear if correction replacing a digit or an addition]	M
f9_top_L1	1	9	H
f9_top_L1	2	6	H
f9_top_L1	3	y	H
f9_top_L1	4	2	H
f9_top_L1	5	0	H
f9_top_L1	6	1	L
f9_top_L1	7	1	L
f9_top_L1	8	1	L
f9_top_L1	9	1	M
f9_top_L1	10	2	H
f9_top_L1	11	2	H
f9_top_L1	12	6	H
f9_top_L1	13	2	H
f9_top_L1	14	1	H
f9_top_L1	15	7	H
f9_top_L1	16	5	M
f9_top_L1	17	1	H
f9_top_L1	18	8	H
f9_top_L1	19	5	M
f9_top_L1	20	9	H
f9_top_L1	21	2	H
f9_top_L1	22	2	H
f9_top_L1	23	6	H
f9_top_L1	24	2	H
f9_top_L1	25	1	H
f9_top_L1	26	8	H
f9_top_L1	27	4	H
f9_top_L1	28	3	H
f9_top_L1	29	0	H
f9_top_L1	30	5	M
f9_top_L1	31	0	H
f9_top_L1	32	4	H
f9_top_L2	1	7	H
f9_top_L2	2	3	H
f9_top_L2	3	2	H
f9_top_L2	4	3	M
f9_top_L2	5	3	M
f9_top_L2	6	y	H
f9_top_L2	7	1	H
f9_top_L2	8	5	M
f9_top_L2	9	4	H
f9_top_L2	10	1	H
f9_top_L2	11	8	H
f9_top_L2	12	2	H
f9_top_L2	13	6	H
f9_top_L2	14	8	H
f9_top_L2	15	5	M
f9_top_L2	16	y	H
f9_top_L2	17	3	H
f9_top_L2	18	y	M
f9_top_L2	19	1	H
f9_top_L2	20	5	M
f9_top_L2	21	8	H
f9_top_L2	22	5	M
f9_top_L2	23	2	H
f9_top_L2	24	2	H
f9_top_L2	25	3	H
f9_top_L2	26	2	H
f9_top_L2	27	4	H
f9_top_L2	28	6	H
f9_top_L2	29	4	H
f9_top_L2	30	8	H
f9_top_L2	31	4	H
f9_top_L2	32	2	H
f9_top_L2	33	0	H
f9_top_L2	34	5	M
f9_top_L2	35	4	H
f9_top_L2	36	4	H
f9_top_L2	37	1	H
f9_top_L2	38	0	H
f9_top_L2	39	0	H
f9_top_L2	40	y	M
f9_top_L2	41	0	H
f9_top_L3	1	9	H
f9_top_L3	2	2	H
f9_top_L3	3	2	H
f9_top_L3	4	0	H
f9_top_L3	5	y	H
f9_top_L3	6	1	H
f9_top_L3	7	7	H
f9_top_L3	8	y	M
f9_top_L3	9	7	H
f9_top_L3	10	7	H
f9_top_L3	11	2	H
f9_top_L3	12	0	H
f9_top_L3	13	6	H
f9_top_L3	14	5	M
f9_top_L3	15	8	H
f9_top_L3	16	5	M
f9_top_L3	17	8	H
f9_top_L3	18	5	M
f9_top_L3	19	2	H
f9_top_L3	20	9	H
f9_top_L3	21	3	H
f9_top_L3	22	0	H
f9_top_L3	23	5	M
f9_top_L3	24	2	H
f9_top_L3	25	7	H
f9_top_L3	26	[PLAIN:"mi suo Dio facia"]	M
