seg	line	pos	group	plain_f68	key_1659	grade
F1	f129_L01	2	7	v	ou	M
F1	f129_L01	3	24	0	i	C
F1	f129_L01	4	7	ou	ou	C
F1	f129_L01	6	3	d	e	M
F1	f129_L01	7	21	r	r	C
F1	f129_L02	1	2	e	e	M
F1	f129_L02	2	10	z	je	M
F1	f129_L02	3	_76	bien	-	M
F1	f129_L02	4	_6	qu	ques	C
F1	f129_L02	5	56	eje	n	M
F1	f129_L02	6	_28	v	v	C
F1	f129_L02	7	7	ou	ou	C
F1	f129_L02	8	20	s	s	C
F1	f129_L02	9	37	di	di	M
F1	f129_L02	10	2	e	e	C
F1	f129_L02	11	_8	qu	qu	C
F1	f129_L02	12	18	on	n	C
F1	f129_L02	13	_4	pu	pu	C
F1	f129_L02	14	5	b	b	M
F1	f129_L02	15	62	i	i	C
F1	f129_L02	16	2	e	e	C
F1	f129_L02	17	36	de	de	M
F1	f129_L02	18	20	s	s	C
F1	f129_L02	19	73	n	n	C
F1	f129_L02	20	7	ou	ou	C
F1	f129_L03	1	_26	ve	ve	C
F1	f129_L03	2	16	l	l	C
F1	f129_L03	3	61	l	le	M
F1	f129_L03	4	20	s	s	C
F1	f129_L03	5	36	de	de	M
F1	f129_L03	6	_24	tu	-	C
F1	f129_L03	7	_12	ri	i	C
F1	f129_L03	8	18	n	n	C
F1	f129_L03	9	36	de	de	M
F1	f129_L03	10	60	la	la	C
F1	f129_L03	11	_26	ve	ve	C
F1	f129_L03	12	_12	ri	i	C
F1	f129_L03	13	_21	te	te	C
F1	f129_L03	14	36	de	de	M
F1	f129_L03	16	20	s	s	C
F1	f129_L03	17	_6	qu	ques	C
F1	f129_L03	18	16	el	l	C
F1	f129_L03	19	61	le	le	C
F1	f129_L03	20	20	s	s	C
F1	f129_L04	1	15	i	oi	C
F1	f129_L04	2	16	l	l	C
F1	f129_L04	3	15	i	oi	C
F1	f129_L04	4	17	m	m	C
F1	f129_L04	5	_7	po	q	M
F1	f129_L04	6	21	r	r	C
F1	f129_L04	7	_21	te	te	C
F1	f129_L04	8	_13	r	r	C
F1	f129_L04	9	15	oi	oi	C
F1	f129_L04	10	19	t	t	C
F1	f129_L04	11	43	fo	-	C
F1	f129_L04	12	21	r	r	C
F1	f129_L04	13	19	t	t	C
F1	f129_L04	14	36	de	de	M
F1	f129_L04	15	20	s	s	C
F1	f129_L04	16	19	t	t	C
F1	f129_L04	17	_11	re	re	C
F1	f129_L04	18	2	e	e	C
F1	f129_L04	19	20	s	s	C
F1	f129_L04	20	4	c	c	C
F1	f129_L04	21	60	la	la	C
F1	f129_L05	1	15	i	oi	C
F1	f129_L05	2	20	r	s	M
F1	f129_L05	3	4	c	c	C
F1	f129_L05	4	9	y	y	C
F1	f129_L05	5	20	s	s	C
F1	f129_L05	6	70	a	a	C
F1	f129_L05	7	_28	v	v	C
F1	f129_L05	8	15	oi	oi	C
F1	f129_L05	9	21	r	r	C
F1	f129_L05	10	_6	qu	ques	C
F1	f129_L05	11	60	la	la	C
F1	f129_L05	12	1	ff	f	C
F1	f129_L05	13	41	e	e	C
F1	f129_L05	14	4	c	c	C
F1	f129_L05	15	_22	t	t	C
F1	f129_L05	16	24	i	i	C
