line	pos	group	value	grade	f87_aligned
L01	1	[peut]	peut	P	
L01	2	[estre]	estre	P	
L01	3	[que]	que	P	
L01	4	M.r	M.r	P	
L01	5	36	de	M	de
L01	6	_15	sa	C	sa
L01	7	_28	v	M	vo
L01	8	9	y	M	y
L01	9	2	e	M	e
L01	10	m	a	C	a
L01	11	16	l	M	l
L01	12	60	la	C	la
L01	13	18	n	M	n
L01	14	19	t	C	t
L01	15	m	a	C	a
L01	16	4	c	M	cc
L01	17	33	c	M	o
L01	18	17	m	M	m
L01	19	_0	pa	C	pa
L01	20	13	gn	M	gn
L01	21	71	ne	M	e
L01	22	21	r	C	r
L01	23	115	M.	C	M.
L02	1	_15	sa	C	sa
L02	2	_18	s	C	s
L02	3	2	e	M	oe
L02	4	7	ou	M	u
L02	5	21	r	C	r
L02	6	59	ju	M	ju
L02	7	20	s	C	s
L02	8	_6	ques	M	ques
L02	9	m	a	C	a
L02	10	_0	pa	C	pa
L02	11	21	r	C	r
L02	12	66	me	C	me
L02	13	_3	p	M	p
L02	14	7	ou	M	ou
L02	15	21	r	C	r
L02	16	_13	r	M	r
L02	17	15	oi	M	oi
L02	18	19	t	C	t
L02	19	23	pr	M	pr
L03	1	_11	re	M	en
L03	2	18	n	M	dr
L03	3	3	e	M	e
L03	4	_11	re	M	r
L03	5	_11	re	M	e
L03	6	_18	s	C	s
L03	7	64	lu	M	ol
L03	8	_22	t	M	ut
L03	9	24	i	M	i
L03	10	18	n	M	on
L03	11	36	de	M	de
L03	12	20	s	C	s
L03	13	9	y	M	y
L03	14	65	ma	C	ma
L03	15	_12	i	M	ri
L03	16	2	e	M	e
L03	17	21	r	C	r
L03	18	9	y	M	y
L03	19	m	a	C	a
L04	1	9	y	M	y
L04	2	m	a	C	a
L04	3	18	n	M	n
L04	4	19	t	C	t
L04	5	36	de	M	de
L04	6	20	s	C	s
L04	7	23	pr	M	pr
L04	8	_12	i	M	i
L04	9	18	n	M	n
L04	10	71	ne	M	ce
L04	11	20	s	C	s
L04	12	_16	se	C	se
L04	13	20	s	C	s
L04	14	36	de	M	de
L04	15	20	s	C	s
L04	16	6	qu	C	qu
L04	17	16	l	M	el
L04	18	61	le	C	le
L04	19	20	s	C	s
L05	1	24	i	M	0
L05	2	18	n	M	on
L05	3	37	di	M	di
L05	4	19	t	C	t
L05	5	26	be	M	be
L05	6	m	a	C	a
L05	7	7	ou	M	u
L05	8	33	c	M	c
L05	9	7	ou	M	ou
L05	10	23	pr	M	p
L05	11	36	de	M	de
L05	12	27	b	M	b
L05	13	2	e	M	e
L05	14	18	n	M	n
L05	15	[mais]	mais	P	
L05	16	60	la	C	la
L05	17	16	l	M	ll
L05	18	62	i	C	i
L06	1	m	a	C	a
L06	2	18	n	M	n
L06	3	71	ne	M	ce
L06	4	2	e	M	e
L06	5	20	s	C	s
L06	6	19	t	C	t
L06	7	_17	si	C	si
L06	8	37	di	M	di
L06	9	20	s	C	s
L06	10	27	b	M	pr
L06	11	_13	r	M	o
L06	12	_3	p	M	p
L06	13	21	r	C	r
L06	14	_22	t	M	t
L06	15	24	i	M	i
L06	16	18	n	M	on
L06	17	71	ne	M	ne
L06	18	2	e	M	e
L06	19	m	a	C	a
