line	pos	token	conf	alt	note
f8_L1	1	[PLAIN:receuoir deux interpretations, et il sera bon de]	H		clear French
f8_L2	1	[PLAIN:Vous esclaircir quel peut estre]	H		clear French
f8_L2	2	£	M	L	curly L with bar; the tail of 'estre' runs into it
f8_L2	3	62	H		
f8_L2	4	_16	H		
f8_L2	5	db	H		
f8_L3	1	tt	H		
f8_L3	2	36	H		
f8_L3	3	_46	H		
f8_L3	4	tt	H		
f8_L3	5	m	H		
f8_L3	6	m‡	M	m #	pass A split it into m + #
f8_L3	7	_21	H		
f8_L3	8	tt	H		
f8_L3	9	_16	H		
f8_L3	10	tt	H		
f8_L3	11	30	H		
f8_L3	12	I	H		
f8_L3	13	4	H		
f8_L4	1	_10	H		
f8_L4	2	X	H		
f8_L4	3	db	H		
f8_L4	4	3	H		
f8_L4	5	_11	H		
f8_L4	6	154	H		
f8_L4	7	X	H		
f8_L4	8	db	H		
f8_L4	9	33	H		
f8_L4	10	db	H		
f8_L4	11	_26	M	_76	both passes 76; head of the first figure hooks like the scribe's 2
f8_L4	12	72	H		two dots before it
f8_L4	13	d	H		
f8_L5	1	db	H		
f8_L5	2	mm	H		
f8_L5	3	m	H		
f8_L5	4	11	H		
f8_L5	5	_19	H		
f8_L5	6	56	H		
f8_L5	7	mm	H		
f8_L5	8	39	H		
f8_L5	9	_78	H		
f8_L5	10	36	H		
f8_L5	11	_11	H		
f8_L5	12	mm	H		
f8_L5	13	tt	H		
f8_L6	1	[PLAIN:Cest estre persuade que bon]	H		clear French
f8_L6	2	4	M	q	long-stemmed 4 with a short cross on the stem; passes read q; the run 4 _23 _12 _21 d recurs at f10_L15, where both passes read 4
f8_L6	3	_23	H		
f8_L6	4	_12	H		
f8_L6	5	_21	H		
f8_L7	1	d	H		
f8_L7	2	tt	H		
f8_L7	3	19	H		
f8_L7	4	43	H		
f8_L7	5	X	H		
f8_L7	6	9	H		
f8_L7	7	62	H		
f8_L7	8	[PLAIN:Et peut estre le]	H		clear French
f8_L7	9	37	H		
f8_L7	10	_11	H		
f8_L8	1	11	H		
f8_L8	2	62	H		
f8_L8	3	23	H		
f8_L8	4	_11	H		
f8_L8	5	db	H		
f8_L8	6	3	H		
f8_L8	7	_11	H		
f8_L8	8	_50	H		
f8_L8	9	11	H		
f8_L8	10	db	H		
f8_L8	11	23	H		
f8_L8	12	_11	H		
f8_L8	13	_21	H		
f8_L9	1	Z	H		dot before it
f8_L9	2	_21	H		
f8_L9	3	36	H		
f8_L9	4	_15	H		
f8_L9	5	33	H		
f8_L9	6	68	H		
f8_L9	7	36	H		
f8_L9	8	I	H		
f8_L9	9	m	H		
f8_L9	10	_26	H		
f8_L9	11	4	H		
f8_L9	12	£	H		
f8_L10	1	61	H		
f8_L10	2	tt	H		
