line	position	group	confidence
f9r_L01	clear	[illegible/blank — crop shows only top margin rule and a descending decorative flourish, no legible text]	low
f9r_L02	clear	Monsieur, Je croy que vous vous souuiendrez bien de ce	high
f9r_L03	clear	d'avoir ordonné que vous avez receu	medium
f9r_L03	1	36	high
f9r_L03	clear	bo	low
f9r_L04	1	33	high
f9r_L04	2	H	medium
f9r_L04	3	39	high
f9r_L04	4	X	high
f9r_L04	5	_21	high
f9r_L04	6	_6	high
f9r_L04	7	_28	high
f9r_L04	8	n	medium
f9r_L04	9	tt	medium
f9r_L04	10	m	medium
f9r_L04	11	u	low
f9r_L05	1	_12	high
f9r_L05	2	o	medium
f9r_L05	3	d	medium
f9r_L05	4	m	medium
f9r_L05	5	_21	high
f9r_L05	6	72	medium
f9r_L05	7	I	medium
f9r_L05	8	o	medium
f9r_L05	9	H	medium
f9r_L05	10	_26	high
f9r_L06	1	I	medium
f9r_L06	2	H	medium
f9r_L06	3	123	high
f9r_L06	4	11	high
f9r_L06	5	115	high
f9r_L06	6	36	high
f9r_L06	7	_34	medium
f9r_L06	clear	Sy contre l'attente	medium
f9r_L07	clear	des gens de bien	medium
f9r_L07	1	61	high
f9r_L07	2	94	high
f9r_L07	3	_18	high
f9r_L07	4	n	low
f9r_L07	5	q	medium
f9r_L07	6	62	high
f9r_L07	7	9	medium
f9r_L08	1	X	high
f9r_L08	2	mm	high
f9r_L08	3	36	high
f9r_L08	4	31	high
f9r_L08	5	T	medium
f9r_L08	6	_3	medium
f9r_L08	7	u	low
f9r_L08	8	_13	high
f9r_L08	9	X	high
f9r_L08	10	mm	high
f9r_L09	1	36	high
f9r_L09	2	_53	high
f9r_L09	3	m	medium
f9r_L09	4	_15	high
f9r_L09	5	_121	medium
f9r_L09	6	X	high
f9r_L09	7	m	low
f9r_L09	8	o	medium
f9r_L09	9	17	high
f9r_L09	10	9	high
f9r_L10	1	_10	high
f9r_L10	2	H	medium
f9r_L10	3	_18	high
f9r_L10	4	X	high
f9r_L10	5	mm	high
f9r_L10	6	36	high
f9r_L10	7	H	medium
f9r_L10	8	_94	high
f9r_L10	9	H	medium
f9r_L11	1	_7	high
f9r_L11	2	62	high
f9r_L11	3	_25	high
f9r_L11	4	H	medium
f9r_L11	5	_16	high
f9r_L11	6	tt	medium
f9r_L11	7	mm	high
f9r_L11	8	60	high
f9r_L11	9	n	medium
f9r_L11	10	_23	high
f9r_L11	11	_12	high
f9r_L12	1	_21	high
f9r_L12	2	9	high
f9r_L12	3	n	medium
f9r_L12	4	60	high
f9r_L12	5	_0	low
f9r_L12	6	_11	high
f9r_L12	7	tt	medium
f9r_L12	8	31	high
f9r_L12	9	36	high
f9r_L12	10	63	high
f9r_L12	11	_23	high
f9r_L12	12	_12	high
f9r_L13	1	_21	high
f9r_L13	2	m	medium
f9r_L13	3	60	high
f9r_L13	4	121	high
f9r_L13	5	H	low
f9r_L13	6	I	medium
f9r_L13	7	I	medium
f9r_L13	8	#	medium
f9r_L13	9	X	low
f9r_L13	10	I	medium
f9r_L13	11	190	high
f9r_L14	1	_7	high
f9r_L14	2	o	medium
f9r_L14	3	tt	medium
f9r_L14	4	_23	high
f9r_L14	5	X	high
f9r_L14	6	o	medium
f9r_L14	7	H	medium
f9r_L14	8	mm	high
f9r_L14	9	36	high
f9r_L14	10	I	medium
f9r_L15	1	60	high
f9r_L15	2	tt	medium
f9r_L15	3	_19	high
f9r_L15	4	u	medium
f9r_L15	5	I	medium
f9r_L15	6	_6	high
f9r_L15	7	60	high
f9r_L15	8	149	high
f9r_L15	9	36	high
f9v_L01	1	31	high
f9v_L01	2	mm	high
f9v_L01	3	_21	high
f9v_L01	4	33	high
f9v_L01	5	n	medium
f9v_L01	6	_13	high
f9v_L01	7	tt	medium
f9v_L01	8	71	high
f9v_L01	9	71	high
f9v_L01	10	_77	high
f9v_L02	1	36	high
f9v_L02	2	40	high
f9v_L02	3	n	medium
f9v_L02	4	3	high
f9v_L02	5	_13	high
f9v_L02	6	X	low
f9v_L02	7	mm	high
f9v_L02	8	55	high
f9v_L02	9	_48	high
f9v_L02	10	11	high
f9v_L03	1	H	medium
f9v_L03	2	_27	high
f9v_L03	3	n	medium
f9v_L03	4	_21	high
f9v_L03	5	_11	high
f9v_L03	6	H	medium
f9v_L03	7	33	high
f9v_L03	8	H	medium
f9v_L03	9	mm	high
f9v_L03	10	n	medium
f9v_L04	1	7	high
f9v_L04	2	H	medium
f9v_L04	3	41	high
f9v_L04	4	_13	high
f9v_L04	5	X	high
f9v_L04	6	mm	high
f9v_L04	7	33	high
f9v_L04	8	d	medium
f9v_L04	9	_73	high
f9v_L04	10	X	low
f9v_L05	1	tt	medium
f9v_L05	2	mm	high
f9v_L05	3	_11	high
f9v_L05	4	d	medium
f9v_L05	5	m	medium
f9v_L05	6	n	medium
f9v_L05	7	80	high
f9v_L05	8	L	medium
f9v_L05	9	m	medium
f9v_L05	10	tt	medium
f9v_L05	11	o	medium
f9v_L05	12	H	low
f9v_L06	1	m	high
f9v_L06	2	_28	high
f9v_L06	3	X	high
f9v_L06	4	mm	high
f9v_L06	5	96	high
f9v_L06	6	o	low
f9v_L06	7	4	low
f9v_L07	1	39	high
f9v_L07	2	n	medium
f9v_L07	3	o	medium
f9v_L07	4	H	medium
f9v_L07	5	_16	high
f9v_L07	6	_13	high
f9v_L07	7	X	high
f9v_L07	8	mm	high
f9v_L07	9	m	medium
f9v_L07	10	60	high
f9v_L08	1	_26	high
f9v_L08	2	72	high
f9v_L08	3	I	medium
f9v_L08	4	23	high
f9v_L08	5	_13	high
f9v_L08	6	_21	high
f9v_L08	7	46	high
f9v_L08	8	_49	high
f9v_L09	1	33	high
f9v_L09	2	H	medium
f9v_L09	3	_17	high
f9v_L09	4	36	high
f9v_L09	5	_10	high
f9v_L09	6	_52	high
f9v_L09	7	o	medium
f9v_L09	8	H	medium
f9v_L09	9	60	high
f9v_L10	1	_6	high
f9v_L10	2	m	medium
f9v_L10	3	tt	medium
f9v_L10	4	61	high
f9v_L10	5	_16	high
f9v_L10	6	mm	high
f9v_L10	7	_13	high
f9v_L10	8	n	medium
f9v_L10	9	_28	high
f9v_L10	10	o	low
f9v_L11	1	mm	high
f9v_L11	2	115	high
f9v_L11	3	168	high
f9v_L11	4	m	medium
f9v_L11	5	tt	medium
f9v_L11	6	61	high
f9v_L11	clear	et de mesnag[e]	low
f9v_L12	clear	en sorte que vos paroles	medium
f9v_L12	1	_6	medium
f9v_L12	2	7	medium
f9v_L12	3	n	medium
f9v_L12	4	o	low
