code_1659	value	uses_f1_f9	delta_bpc_if_unkeyed
36	de	30	-0.1018
m	a	30	0.0412
_11	re	26	-0.0129
_21	te	20	-0.0201
61	le	16	-0.0449
60	la	14	0.0184
33	c	13	0.0186
_13	r	13	0.0310
_16	se	12	-0.0293
4	c	11	0.0322
_6	qves	11	-0.0873
23	pr	10	0.1669
62	i	10	0.0543
71	ne	10	-0.0174
31	ce	8	0.0016
_10	st	8	0.0237
_26	ve	8	-0.0156
_12	i	7	0.0071
_23	o	7	0.0230
3	e	6	0.0185
39	dv	6	0.0022
_7	q	6	0.0727
40	fa	5	0.0058
_17	si	5	-0.0132
_18	s	5	-0.0035
_19	sv	5	0.0140
_22	t	5	0.0047
_28	v	5	-0.0008
115	m	4	0.0165
17	m	4	0.0345
37	di	4	0.0126
41	e	4	-0.0041
_1	pe	4	0.0443
_15	sa	4	0.0142
64	lv	3	0.0170
65	ar	3	0.0330
66	me	3	-0.0017
9	y	3	0.0239
19	t	2	0.0094
46	ge	2	0.0131
73	n	2	0.0050
_20	ta	2	-0.0014
_3	p	2	0.0194
13	gn	1	0.0098
15	oi	1	0.0010
26	be	1	0.0044
30	ca	1	0.0014
53	ho	1	-0.0000
55	ia	1	0.0014
56	n	1	0.0006
70	a	1	0.0000
