folio	line	pos	value	grade	reason
f129	L01	2	v	M	f.68r has "v", key_1659 "ou"
f129	L01	3	0	C	f.68r "0" = alternate key_1659 attests (modal "i")
f129	L01	4	ou	C	f.68r agrees with key_1659
f129	L01	6	d	M	f.68r has "d", key_1659 "e"
f129	L01	7	r	C	f.68r agrees with key_1659
f129	L02	1	e	M	conf M group; f.68r agrees with key_1659
f129	L02	2	z	M	conf M group; f.68r "z" = alternate key_1659 attests (modal "je")
f129	L02	3	bien	M	conf M group; code not in key_1659; f.68r gives "bien" at all 1 occurrences
f129	L02	4	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L02	5	eje	M	f.68r has "eje", key_1659 "n"
f129	L02	6	v	C	f.68r agrees with key_1659
f129	L02	7	ou	C	f.68r agrees with key_1659
f129	L02	8	s	C	f.68r agrees with key_1659
f129	L02	9	di	M	conf M group; f.68r agrees with key_1659
f129	L02	10	e	C	f.68r agrees with key_1659
f129	L02	11	qu	C	f.68r agrees with key_1659
f129	L02	12	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f129	L02	13	pu	C	f.68r agrees with key_1659
f129	L02	14	b	M	conf M group; f.68r agrees with key_1659
f129	L02	15	i	C	f.68r agrees with key_1659
f129	L02	16	e	C	f.68r agrees with key_1659
f129	L02	17	de	M	conf M group; f.68r agrees with key_1659
f129	L02	18	s	C	f.68r agrees with key_1659
f129	L02	19	n	C	f.68r agrees with key_1659
f129	L02	20	ou	C	f.68r agrees with key_1659
f129	L03	1	ve	C	f.68r agrees with key_1659
f129	L03	2	l	C	f.68r agrees with key_1659
f129	L03	3	l	M	f.68r has "l", key_1659 "le"
f129	L03	4	s	C	f.68r agrees with key_1659
f129	L03	5	de	M	conf M group; f.68r agrees with key_1659
f129	L03	6	tur	C	code not in key_1659; f.68r gives "tur" at all 1 occurrences
f129	L03	7	i	C	f.68r agrees with key_1659
f129	L03	8	n	C	f.68r agrees with key_1659
f129	L03	9	de	M	conf M group; f.68r agrees with key_1659
f129	L03	10	la	C	f.68r agrees with key_1659
f129	L03	11	ve	C	f.68r agrees with key_1659
f129	L03	12	i	C	f.68r agrees with key_1659
f129	L03	13	te	C	f.68r agrees with key_1659
f129	L03	14	de	M	conf M group; f.68r agrees with key_1659
f129	L03	16	s	C	f.68r agrees with key_1659
