folio	line	pos	group	conf	value	grade
f129	L01	1	[PLAIN:en diburez parler a leurs Altesses Royalles]	M	en diburez parler a leurs Altesses Royalles	clear
f129	L01	2	7	H	ou	M
f129	L01	3	24	H	i	M
f129	L01	4	7	H	ou	M
f129	L01	6	3	H	e	S
f129	L01	7	21	H	r	M
f129	L02	1	2	M	e	M
f129	L02	2	10	M	je	M
f129	L02	3	_76	M	?	U
f129	L02	4	_6	H	ques	M
f129	L02	5	56	M	n	M
f129	L02	6	_28	H	v	M
f129	L02	7	7	H	ou	M
f129	L02	8	20	H	s	S
f129	L02	9	37	M	di	M
f129	L02	10	2	H	e	M
f129	L02	11	_8	H	qu	M
f129	L02	12	18	H	n	M
f129	L02	13	_4	H	pu	M
f129	L02	14	5	M	b	M
f129	L02	15	62	H	i	M
f129	L02	16	2	H	e	M
f129	L02	17	36	M	de	M
f129	L02	18	20	H	s	S
f129	L02	19	73	H	n	S
f129	L02	20	7	H	ou	M
f129	L03	1	_26	H	ve	M
f129	L03	2	16	H	l	M
f129	L03	3	61	H	le	S
f129	L03	4	20	H	s	S
f129	L03	5	36	M	de	M
f129	L03	6	_24	H	?	U
f129	L03	7	_12	H	i	M
f129	L03	8	18	H	n	M
f129	L03	9	36	M	de	M
f129	L03	10	60	H	la	M
f129	L03	11	_26	H	ve	M
f129	L03	12	_12	H	i	S
f129	L03	13	_21	H	te	M
f129	L03	14	36	M	de	M
f129	L03	16	20	H	s	M
f129	L03	17	_6	H	ques	M
f129	L03	18	16	H	l	M
f129	L03	19	61	H	le	S
f129	L03	20	20	H	s	M
f129	L04	1	15	H	oi	M
f129	L04	2	16	H	l	M
f129	L04	3	15	H	oi	M
f129	L04	4	17	H	m	M
f129	L04	5	_7	H	q	M
f129	L04	6	21	H	r	M
f129	L04	7	_21	H	te	M
f129	L04	8	_13	H	r	M
f129	L04	9	15	H	oi	M
f129	L04	10	19	H	t	M
f129	L04	11	43	H	fo	I
f129	L04	12	21	H	r	M
f129	L04	13	19	H	t	M
f129	L04	14	36	M	de	M
f129	L04	15	20	H	s	S
f129	L04	16	19	H	t	M
f129	L04	17	_11	H	re	M
f129	L04	18	2	H	e	M
f129	L04	19	20	H	s	M
f129	L04	20	4	H	c	M
f129	L04	21	60	H	la	M
f129	L05	1	15	H	oi	M
f129	L05	2	20	H	s	M
f129	L05	3	4	H	c	M
f129	L05	4	9	H	y	M
f129	L05	5	20	H	s	S
f129	L05	6	70	H	a	S
f129	L05	7	_28	H	v	M
f129	L05	8	15	H	oi	M
f129	L05	9	21	H	r	M
f129	L05	10	_6	H	ques	M
f129	L05	11	60	H	la	M
f129	L05	12	1	H	f	M
f129	L05	13	41	H	e	M
f129	L05	14	4	H	c	M
f129	L05	15	_22	H	t	M
f129	L05	16	24	H	i	M
f129	L05	17	18	H	n	M
f129	L05	18	39	H	du	M
f129	L05	19	42	H	fi	S
f129	L05	20	16	H	l	M
f129	L05	21	10	H	je	M
f129	L06	1	6	H	qu	M
f129	L06	2	61	H	le	M
f129	L06	3	18	H	n	M
f129	L06	4	3	M	e	M
f129	L06	5	_17	H	si	S
f129	L06	6	15	H	oi	M
f129	L06	7	19	H	t	M
f129	L06	8	36	M	de	M
f129	L06	9	60	H	la	M
f129	L06	10	66	H	me	S
f129	L06	11	_11	H	re	M
f129	L06	12	18	H	n	M
f129	L06	13	2	H	e	M
f129	L06	14	20	H	s	S
f129	L06	15	19	H	t	M
f129	L06	16	23	H	pr	M
f129	L06	17	64	H	lu	M
f129	L06	18	20	H	s	S
f129	L06	19	_17	H	si	S
f129	L06	20	13	H	gn	M
f129	L06	21	_10	H	st	M
f129	L07	1	18	H	n	M
f129	L07	2	36	M	de	M
f129	L07	3	_5	M	estr	M
f129	L07	4	7	H	ou	M
f129	L07	5	_0	M	pa	M
f129	L07	6	20	H	s	S
f129	L07	7	_16	H	se	M
f129	L07	9	2	H	e	M
f129	L07	10	19	H	t	M
f129	L07	11	_6	M	ques	M
f129	L07	12	115	M	M.	M
f129	L07	13	_16	M	se	M
f129	L07	14	_13	H	r	M
f129	L07	15	15	H	oi	M
f129	L07	16	19	H	t	M
f129	L07	17	2	H	e	M
f129	L07	18	18	H	n	M
f129	L07	19	154	M	?	U
f129	L07	20	_1	H	pe	S
f129	L07	21	18	H	n	M
f129	L07	22	_16	M	se	M
f129	L07	23	2	H	e	M
f129	L08	1	36	M	de	M
f129	L08	2	_16	M	se	M
f129	L08	3	_11	H	re	M
f129	L08	4	_22	H	t	M
f129	L08	5	_11	H	re	M
f129	L08	6	21	H	r	M
f129	L08	7	39	M	du	M
f129	L08	8	65	H	ar	M
f129	L08	9	72	H	ni	I
f129	L08	10	2	H	e	M
f129	L08	11	66	H	me	S
f129	L08	12	18	H	n	M
f129	L08	13	19	H	t	M
f129	L08	14	36	M	de	M
f129	L08	15	20	H	s	S
f129	L08	16	61	M	le	M
f129	L08	17	40	H	fa	M
f129	L08	18	15	H	oi	M
f129	L08	19	_11	H	re	M
f129	L08	20	20	H	s	S
f129	L09	1	[PLAIN:parceque Sil pouvoit estre]	M	parceque Sil pouvoit estre	clear
f129	L09	2	4	H	c	M
f129	L09	3	_10	H	st	M
f129	L09	4	15	H	oi	M
f129	L09	5	18	H	n	M
f129	L09	6	19	H	t	M
f129	L09	7	_7	H	q	M
f129	L09	8	16	H	l	M
f129	L09	9	6	H	qu	S
f129	L09	10	21	H	r	M
f129	L09	11	_12	H	i	M
f129	L09	12	25	H	?	U
f129	L09	13	20	H	s	M
f129	L09	14	19	H	t	M
f129	L10	1	7	H	ou	M
f129	L10	2	18	H	n	M
f129	L10	3	16	M	l	M
f129	L10	4	17	H	m	M
f129	L10	5	5	H	b	M
f129	L10	6	60	H	la	M
f129	L10	7	5	H	b	M
f129	L10	8	61	H	le	S
f129	L10	9	4	H	c	M
f129	L10	11	50	H	ha	M
f129	L10	12	18	H	n	M
f129	L10	13	46	H	ge	S
f129	L10	14	66	H	me	S
f129	L10	15	18	H	n	M
f129	L10	16	19	H	t	M
f129	L10	17	73	H	n	S
f129	L10	18	7	H	ou	M
f129	L10	19	20	H	s	S
f129	L10	20	6	H	qu	S
f129	L10	21	7	H	ou	M
f129	L10	22	_12	H	i	S
f129	L10	23	24	H	i	M
f129	L11	1	18	H	n	M
f129	L11	2	20	H	s	M
f129	L11	3	36	M	de	M
f129	L11	4	20	H	s	S
f129	L11	5	66	H	me	S
f129	L11	6	_19	H	su	S
f129	L11	7	_11	H	re	M
f129	L11	8	20	H	s	S
f129	L11	9	6	H	qu	M
f129	L11	10	23	H	pr	M
f129	L11	11	_11	M	re	M
f129	L11	12	18	H	n	M
f129	L11	13	3	H	e	S
f129	L11	14	_11	M	re	M
f129	L11	15	70	M	a	M
f129	L11	16	61	M	le	M
f129	L11	17	80	M	?	U
f129	L11	19	2	M	e	M
f129	L11	20	19	M	t	M
f129	L11	21	_6	M	ques	M
f129	L11	22	16	M	l	M
f129	L11	23	_18	M	s	M
f129	L11	24	15	M	oi	M
f129	L11	25	18	M	n	M
f129	L12	1	_6	H	ques	M
f129	L12	2	61	H	le	S
f129	L12	3	42	H	fi	S
f129	L12	4	16	H	l	M
f129	L12	5	10	H	je	M
f129	L12	7	2	H	e	M
f129	L12	8	19	H	t	M
f129	L12	9	60	H	la	M
f129	L12	10	66	H	me	S
f129	L12	11	_11	M	re	M
f129	L12	13	66	H	me	S
f129	L12	14	20	H	s	S
f129	L12	15	66	H	me	S
f129	L12	16	61	H	le	S
f129	L12	17	7	H	ou	M
f129	L12	18	21	H	r	M
f129	L12	19	20	H	s	M
f129	L12	20	23	H	pr	M
f129	L12	21	_12	H	i	S
f129	L12	22	18	H	n	M
f129	L12	23	32	M	ci	I
f129	L12	24	_0	H	pa	M
f129	L13	1	7	H	ou	M
f129	L13	2	8	H	x	M
f129	L13	3	67	H	mi	I
f129	L13	4	72	H	ni	I
f129	L13	5	20	H	s	S
f129	L13	6	19	H	t	M
f129	L13	7	_11	H	re	M
f129	L13	8	20	H	s	S
f129	L13	9	23	H	pr	M
f129	L13	10	_12	H	i	S
f129	L13	11	20	H	s	S
f129	L13	12	_16	H	se	M
f129	L13	13	18	H	n	M
f129	L13	14	19	H	t	M
f129	L13	15	36	M	de	M
f129	L13	16	30	H	ca	S
f129	L13	17	4	H	c	M
f129	L13	18	51	H	?	U
f129	L13	19	21	M	r	M
f129	L13	20	31	M	ce	M
f129	L13	21	19	H	t	M
f129	L14	1	_21	H	te	M
f129	L14	2	66	H	me	S
f129	L14	3	20	H	s	S
f129	L14	4	15	H	oi	M
f129	L14	5	18	H	n	M
f129	L14	6	_21	H	te	M
f129	L14	7	16	H	l	M
f129	L14	8	62	H	i	M
