folio	line	pos	value	grade	reason
f129	L01	2	ou	M	key row conflict
f129	L01	3	i	M	key row conflict
f129	L01	4	ou	M	key row conflict
f129	L01	6	e	S	inside a French word
f129	L01	7	r	M	key row conflict
f129	L02	1	e	M	key row conflict
f129	L02	2	je	M	key row conflict
f129	L02	4	ques	M	key row conflict
f129	L02	5	n	M	group read at conf M
f129	L02	6	v	M	key row conflict
f129	L02	7	ou	M	key row conflict
f129	L02	8	s	S	inside a French word
f129	L02	9	di	M	key row conflict
f129	L02	10	e	M	key row conflict
f129	L02	11	qu	M	outside every French word
f129	L02	12	n	M	key row conflict
f129	L02	13	pu	M	outside every French word
f129	L02	14	b	M	key row conflict
f129	L02	15	i	M	key row conflict
f129	L02	16	e	M	key row conflict
f129	L02	17	de	M	group read at conf M
f129	L02	18	s	S	inside a French word
f129	L02	19	n	S	inside a French word
f129	L02	20	ou	M	key row conflict
f129	L03	1	ve	M	key row conflict
f129	L03	2	l	M	key row conflict
f129	L03	3	le	S	inside a French word
f129	L03	4	s	S	inside a French word
f129	L03	5	de	M	group read at conf M
f129	L03	7	i	M	outside every French word
f129	L03	8	n	M	key row conflict
f129	L03	9	de	M	group read at conf M
f129	L03	10	la	M	key row conflict
f129	L03	11	ve	M	key row conflict
f129	L03	12	i	S	inside a French word
f129	L03	13	te	M	key row conflict
f129	L03	14	de	M	group read at conf M
f129	L03	16	s	M	outside every French word
f129	L03	17	ques	M	key row conflict
f129	L03	18	l	M	key row conflict
f129	L03	19	le	S	inside a French word
f129	L03	20	s	M	outside every French word
f129	L04	1	oi	M	key row conflict
f129	L04	2	l	M	key row conflict
f129	L04	3	oi	M	key row conflict
f129	L04	4	m	M	key row conflict
f129	L04	5	q	M	outside every French word
f129	L04	6	r	M	key row conflict
f129	L04	7	te	M	key row conflict
f129	L04	8	r	M	key row conflict
f129	L04	9	oi	M	key row conflict
f129	L04	10	t	M	key row conflict
f129	L04	11	fo	I	proposed from context: f129 L04 "[fo]rt d'estre"; f130a L04 "[fo]ndement"
f129	L04	12	r	M	key row conflict
f129	L04	13	t	M	key row conflict
f129	L04	14	de	M	group read at conf M
f129	L04	15	s	S	inside a French word
f129	L04	16	t	M	key row conflict
f129	L04	17	re	M	key row conflict
f129	L04	18	e	M	key row conflict
f129	L04	19	s	M	outside every French word
f129	L04	20	c	M	key row conflict
f129	L04	21	la	M	key row conflict
f129	L05	1	oi	M	key row conflict
f129	L05	2	s	M	outside every French word
f129	L05	3	c	M	key row conflict
f129	L05	4	y	M	key row conflict
f129	L05	5	s	S	inside a French word
f129	L05	6	a	S	inside a French word
f129	L05	7	v	M	key row conflict
f129	L05	8	oi	M	key row conflict
f129	L05	9	r	M	key row conflict
