line	pos	group	value	grade
L01	1	_18	s	C
L01	2	15	oi	M
L01	3	19	t	C
L01	4	_3	p	M
L01	5	7	ou	M
L01	6	21	r	C
L01	7	61	le	C
L01	8	64	lu	C
L01	9	9	y	M
L01	10	m	a	C
L01	11	_28	v	C
L01	12	15	oi	M
L01	13	21	r	C
L01	14	2	e	C
L01	15	20	s	C
L01	16	_21	te	M
L01	17	m	a	C
L01	18	15	oi	M
L02	1	18	on	M
L02	2	_30	si	C
L02	3	9	y	M
L02	4	37	di	M
L02	5	19	t	M
L02	6	_0	pa	C
L02	7	_34	r	C
L02	8	M.	M.	P
L02	9	35	da	C
L02	10	17	m	M
L02	11	5	b	C
L02	12	_14	ru	M
L02	13	17	m	M
L02	14	_37	n	M
L02	15	7	ou	M
L02	16	_3	p	M
L02	17	7	ou	M
L02	18	21	r	C
L03	1	60	la	M
L03	2	_28	v	C
L03	3	15	oi	M
L03	4	21	r	C
L03	5	33	c	M
L03	6	18	on	M
L03	7	19	t	C
L03	8	_13	r	C
L03	9	7	ou	M
L03	10	_26	ve	C
L03	11	_3	p	M
L03	12	7	ou	M
L03	13	21	r	C
L03	14	61	le	C
L03	15	_14	ru	M
L03	16	15	oi	M
L03	17	71	e	M
L03	18	21	r	C
L04	1	35	da	C
L04	2	18	on	M
L04	3	20	s	C
L04	4	61	le	C
L04	5	20	s	C
L04	6	23	pr	C
L04	7	_12	i	C
L04	8	19	t	C
L04	9	36	de	C
L04	10	M.	M.	P
L04	11	_18	s	C
L04	12	18	on	M
L04	13	42	fi	C
L04	14	16	el	M
L04	15	10	je	M
L04	16	56	n	M
L05	1	71	e	M
L05	2	20	s	C
L05	3	30	ca	M
L05	4	7	ou	M
L05	5	_13	r	C
L05	6	15	oi	M
L05	7	20	s	C
L05	8	40	fa	C
L05	9	15	oi	M
L05	10	_11	re	M
L05	11	71	e	M
L05	12	_23	o	C
L05	13	21	r	C
L05	14	19	t	C
L05	15	m	a	C
L05	16	115	M.	C
L05	17	36	de	M
L05	18	60	la	M
L05	19	4	c	C
L05	20	_13	r	C
L06	1	15	oi	M
L06	2	_11	re	M
L06	3	30	ca	M
L06	4	_0	pa	C
L06	5	5	b	C
L06	6	61	le	C
L06	7	39	du	C
L06	8	71	e	M
L06	9	m	a	C
L06	10	4	c	C
L06	11	_22	t	M
L06	12	24	ui	M
L06	13	18	on	M
L06	14	_17	si	C
L06	15	73	n	C
L06	16	15	oi	M
L06	17	_11	re	M
L07	1	6	qu	C
L07	2	_16	se	M
L07	3	_13	r	C
L07	4	15	oi	M
L07	5	19	t	C
L07	6	31	ce	C
L07	7	16	el	M
L07	8	61	le	C
L07	9	60	la	M
L07	10	[mais]	mais	P
L07	11	[aussy]	aussy	P
L07	12	55	ja	C
L07	13	9	y	M
L07	14	_0	pa	C
L07	15	9	y	M
L07	16	71	e	M
L07	17	36	de	M
L08	1	4	c	C
L08	2	_13	r	C
L08	3	15	oi	M
L08	4	_11	re	M
L08	5	6	qu	C
L08	6	M.	M.	P
L08	7	35	da	C
L08	8	17	m	M
L08	9	5	b	C
L08	10	_14	ru	M
L08	11	18	on	M
L08	12	_16	se	M
L08	13	_18	s	C
L08	14	15	oi	M
L08	15	19	t	C
L08	16	_20	ta	M
L08	17	18	on	M
L09	1	24	ui	M
L09	2	7	ou	M
L09	3	9	y	M
L09	4	62	i	M
L09	5	2	e	M
L09	6	[et]	et	P
L09	7	[c'est]	c'est	P
L09	8	[ce]	ce	P
L09	9	[qui]	qui	P
L09	10	[donne]	donne	P
L09	11	[lieu]	lieu	P
L09	12	[de]	de	P
L09	13	36	de	M
L09	14	_17	si	M
L09	15	_11	re	M
L09	16	21	r	M
L10	1	20	s	M
L10	2	30	ca	M
L10	3	_28	v	M
L10	4	15	oi	M
L10	5	21	r	M
L10	6	18	on	M
