code	value	grade	evidence	occurrences	other_values	note	ev_f86	ev_f88	ev_f67	f67_evidence
_0	pa	C	6	7	ei:1	minor conflict	4/5	2/2	3/3	f.68r agrees
1	f	C	1	2	ff:1	conflict	1/2	0/0	2/3	f.68r other: {'ff': 1}
_1	pe	C	3	3			1/1	2/2	5/5	f.68r agrees
2	e	C	14	19	li:1,oe:1,fr:1,on:1,ch:1	conflict	5/6	9/13	23/25	f.68r other: {'r': 1, 'oe': 1}
3	e	C	1	1		single attestation	0/0	1/1	0/3	f.68r other: {'d': 3}
_3	p	C	7	7			3/3	4/4	1/1	f.68r agrees
4	c	C	5	7	cc:1,uoir:1	conflict	4/4	1/3	8/8	f.68r agrees
_4	pu	C	1	1		single attestation	1/1	0/0	2/2	f.68r agrees
5	b	C	3	4	ua:1	minor conflict	3/4	0/0	6/6	f.68r agrees
_5	estr	C	1	1		single attestation	0/0	1/1	0/1	f.68r other: {'qua': 1}
6	qu	C	5	5			4/4	1/1	0/14	f.68r other: {'a': 11, 'ar': 1, 'uia': 1, 'p': 1}
_6	ques	C	1	2	qu:1	conflict	0/0	1/2	0/13	f.68r other: {'qu': 13}
7	ou	C	13	23	u:9,eu:1	conflict	8/14	5/9	8/23	f.68r other: {'v': 1, 'u': 14}
_7	q	C	8	8			3/3	5/5	5/9	f.68r other: {'po': 3, 'o': 1}
8	x	C	2	2			2/2	0/0	1/1	f.68r agrees
_8	qu	C	1	1		single attestation	0/0	1/1	2/2	f.68r agrees
9	y	C	8	15	bl:2,d:1,yp:1,n:1,la:1,ym:1	conflict	3/9	5/6	3/3	f.68r agrees
10	je	C	1	4	st:1,s:1,z:1	conflict	1/2	0/2	0/9	f.68r other: {'z': 4, 's': 4, 'p': 1}
_10	st	C	1	1		single attestation	0/0	1/1	0/3	f.68r other: {'a': 1, 'ra': 2}
_11	re	C	9	17	e:3,en:3,r:1,fe:1	conflict	6/7	3/10	17/18	f.68r other: {'e': 1}
_12	i	C	3	3			1/1	2/2	8/8	f.68r agrees
13	gn	C	1	1		single attestation	0/0	1/1	0/1	f.68r other: {'gr': 1}
_13	r	C	7	10	er:2,o:1	conflict	4/5	3/5	3/3	f.68r agrees
_14	ru	C	2	3	r:1	conflict	2/3	0/0		
15	oi	C	16	28	i:9,re:1,saya:1,e:1	conflict	11/15	5/13	9/23	f.68r other: {'i': 12, 'sa': 1, 'ssa': 1}
_15	sa	C	3	3			1/1	2/2		
16	l	C	6	16	el:3,uil:3,ls:2,ll:1,ui:1	conflict	1/4	5/12	8/15	f.68r other: {'el': 3, 'uil': 1, 'se': 1, 'll': 1, 'ui': 1}
_16	se	C	7	8	es:1	minor conflict	2/3	5/5	11/12	f.68r other: {'r': 1}
17	m	C	3	5	u:1,mb:1	conflict	2/4	1/1	3/3	f.68r agrees
_17	si	C	6	6			3/3	3/3	4/5	f.68r other: {'r': 1}
18	n	C	17	35	on:13,en:1,nq:1,dr:1,an:1,oy:1	conflict	5/14	12/21	32/40	f.68r other: {'on': 7, 'a': 1}
_18	s	C	5	5			3/3	2/2	4/4	f.68r agrees
19	t	C	30	31	ce:1	minor conflict	13/13	17/18	28/28	f.68r agrees
_19	su	C	1	1		single attestation	0/0	1/1	2/2	f.68r agrees
20	s	C	35	35			18/18	17/17	44/46	f.68r other: {'r': 2}
_20	ta	C	2	3	t:1	conflict	1/1	1/2	1/1	f.68r agrees
21	r	C	28	30	te:1,ez:1	minor conflict	15/17	13/13	22/23	f.68r other: {'et': 1}
_21	te	C	2	3	ten:1	conflict	2/3	0/0	5/5	f.68r agrees
_22	t	C	2	4	ti:1,ut:1	conflict	1/2	1/2	2/4	f.68r other: {'ti': 2}
23	pr	C	5	7	p:1,pre:1	conflict	1/1	4/6	2/10	f.68r other: {'p': 7, 'l': 1}
_23	o	C	1	1		single attestation	1/1	0/0	2/2	f.68r agrees
24	i	C	3	9	ui:2,0:2,t:1,us:1	conflict	1/6	2/3	2/6	f.68r other: {'0': 3, 'so': 1}
26	be	C	1	1		single attestation	0/0	1/1		
_26	ve	C	3	4	equa:1	minor conflict	2/2	1/2	5/5	f.68r agrees
27	b	C	2	3	pr:1	conflict	0/0	2/3		
28	b	C	1	1		single attestation	0/0	1/1		
_28	v	C	3	6	au:1,vo:1,en:1	conflict	3/4	0/2	3/4	f.68r other: {'vo': 1}
30	ca	C	4	4			4/4	0/0	1/1	f.68r agrees
_30	si	C	1	1		single attestation	1/1	0/0		
31	ce	C	7	7			4/4	3/3	7/7	f.68r agrees
33	c	C	4	5	o:1	minor conflict	2/2	2/3	1/1	f.68r agrees
_34	r	C	1	1		single attestation	1/1	0/0		
35	da	C	4	4			3/3	1/1	2/2	f.68r agrees
36	de	C	17	17			6/6	11/11	19/19	f.68r agrees
37	di	C	4	5	i:1	minor conflict	2/3	2/2	3/3	f.68r agrees
_37	n	C	1	1		single attestation	1/1	0/0		
39	du	C	1	1		single attestation	1/1	0/0	3/3	f.68r agrees
40	fa	C	5	6	fai:1	minor conflict	2/2	3/4	2/2	f.68r agrees
41	e	C	1	2	ra:1	conflict	1/1	0/1	1/1	f.68r agrees
42	fi	C	2	2			2/2	0/0	4/5	f.68r other: {'cl': 1}
45	ga	C	1	1		single attestation	0/0	1/1		
46	ge	C	1	1		single attestation	1/1	0/0	4/4	f.68r agrees
50	ha	C	1	1		single attestation	1/1	0/0	2/2	f.68r agrees
53	ho	C	1	1		single attestation	0/0	1/1		
55	ja	C	1	1		single attestation	1/1	0/0		
56	n	C	1	1		single attestation	1/1	0/0	0/1	f.68r other: {'eje': 1}
59	ju	C	2	3	saju:1	conflict	1/2	1/1	1/1	f.68r agrees
60	la	C	8	10	l:1,nt:1	minor conflict	2/4	6/6	9/9	f.68r agrees
61	le	C	13	13			9/9	4/4	16/19	f.68r other: {'l': 1, 'af': 1, 'a': 1}
62	i	C	4	5	ne:1	minor conflict	2/3	2/2	8/8	f.68r agrees
64	lu	C	2	3	ol:1	conflict	1/1	1/2	2/2	f.68r agrees
65	ar	C	1	1		single attestation	0/0	1/1	0/6	f.68r other: {'ma': 5, 'quema': 1}
66	me	C	2	2			1/1	1/1	12/12	f.68r agrees
70	a	C	2	2			0/0	2/2	3/3	f.68r agrees
71	ne	C	7	15	e:4,ce:3,dan:1	conflict	3/7	4/8	5/5	f.68r agrees
73	n	C	2	2			1/1	1/1	3/3	f.68r agrees
78	d	C	2	2			1/1	1/1	1/1	f.68r agrees
115	M.	C	3	3			2/2	1/1	1/1	f.68r agrees
m	a	C	21	21			11/11	10/10		
_2	pi	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f130b_L03/15
_24	tur	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f129_L03/6
25	va	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f129_L09/12
_25	va	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f130a_L05/17
32	ci	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f129_L12/23
43	fo	C	2	2			0/0	0/0	2/2	added from f.67/f.68r alignment at f129_L04/11 f130a_L04/6
51	he	M	1	2	h:1	conflict	0/0	0/0	1/2	added from f.67/f.68r alignment at f129_L13/18 f130b_L04/7
63	lo	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f130a_L04/13
67	mi	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f129_L13/3
68	mo	C	2	2			0/0	0/0	2/2	added from f.67/f.68r alignment at f130a_L05/3 f130a_L06/8
_70	avec	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f130a_L04/4
72	ni	C	2	2			0/0	0/0	2/2	added from f.67/f.68r alignment at f129_L08/9 f129_L13/4
_76	bien	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f129_L02/3
79	du	C	1	1		single attestation	0/0	0/0	1/1	added from f.67/f.68r alignment at f130a_L02/9
80	duc	C	3	3			0/0	0/0	3/3	added from f.67/f.68r alignment at f129_L11/17 f130a_L02/10 f130b_L05/7
154	quelque	C	2	2			0/0	0/0	2/2	added from f.67/f.68r alignment at f129_L07/19 f130a_L04/5
