line	position	group	confidence
f8_L1	clear	receuoir deux interpretations, et si sera bon d	medium
f8_L2	clear	Vous esclaircir quel peut estre	high
f8_L2	1	L	low
f8_L2	2	62	high
f8_L2	3	_16	high
f8_L2	4	8	medium
f8_L3	1	36	high
f8_L3	2	_46	high
f8_L3	3	tt	medium
f8_L3	4	m	medium
f8_L3	5	n	low
f8_L3	6	_21	high
f8_L3	7	tt	medium
f8_L3	8	_16	high
f8_L3	9	tt	medium
f8_L3	10	30	high
f8_L3	11	I	high
f8_L3	12	4	high
f8_L4	1	_10	high
f8_L4	2	X	high
f8_L4	3	8	medium
f8_L4	4	_3	high
f8_L4	5	11	medium
f8_L4	6	154	high
f8_L4	7	X	high
f8_L4	8	8	medium
f8_L4	9	33	high
f8_L4	10	8	medium
f8_L4	11	_76	medium
f8_L4	12	72	high
f8_L4	13	D	medium
f8_L5	1	8	medium
f8_L5	2	mm	medium
f8_L5	3	m	medium
f8_L5	4	n	low
f8_L5	5	_19	high
f8_L5	6	56	high
f8_L5	7	mm	medium
f8_L5	8	39	high
f8_L5	9	_78	high
f8_L5	10	36	high
f8_L5	11	tt	medium
f8_L5	12	mm	medium
f8_L5	13	tt	low
f8_L6	clear	Cest estre persuade que bon	medium
f8_L6	1	q	medium
f8_L6	2	_23	high
f8_L6	3	_12	high
f8_L6	4	_21	high
f8_L7	clear	Et peut estre le	high
f8_L7	1	D	medium
f8_L7	2	_19	high
f8_L7	3	43	high
f8_L7	4	X	high
f8_L7	5	9	high
f8_L7	6	62	high
f8_L7	7	37	high
f8_L7	8	_11	high
f8_L8	1	u	medium
f8_L8	2	62	high
f8_L8	3	_23	high
f8_L8	4	8	medium
f8_L8	5	_3	high
f8_L8	6	11	medium
f8_L8	7	_50	high
f8_L8	8	u	medium
f8_L8	9	8	medium
f8_L8	10	_23	high
f8_L8	11	11	medium
f8_L8	12	_21	high
f8_L9	1	Z	low
f8_L9	2	_21	high
f8_L9	3	36	high
f8_L9	4	_15	high
f8_L9	5	33	high
f8_L9	6	68	high
f8_L9	7	36	high
f8_L9	8	I	high
f8_L9	9	m	medium
f8_L9	10	_26	high
f8_L9	11	4	high
f8_L9	12	≠	medium
f8_L10	clear	lesquels noublieront	high
f8_L10	1	61	high
f8_L10	2	tt	medium
f8_L10	3	15	low
f8_L10	4	≠	medium
f8_L10	5	ï	low
f8_L10	6	ä	low
f8_L10	7	≠	medium
f8_L10	8	ä	low
f8_L11	1	m	medium
f8_L11	2	n	low
f8_L11	3	34	high
f8_L11	4	71	high
f8_L11	5	_18	high
f8_L11	6	I	high
f8_L11	7	_21	high
f8_L11	8	36	high
f8_L11	9	37	high
f8_L11	10	62	high
f8_L11	11	46	high
f8_L11	12	8	medium
f8_L12	1	31	high
f8_L12	2	m	medium
f8_L12	3	_43	high
f8_L12	4	_50	high
f8_L12	5	q	medium
f8_L12	6	_11	high
f8_L12	7	39	high
f8_L12	8	X	high
f8_L12	9	_11	high
f8_L12	10	123	high
f8_L12	11	11	medium
f8_L13	1	115	high
f8_L13	2	36	high
f8_L13	3	34	high
f8_L13	4	31	high
f8_L13	5	tt	medium
f8_L13	6	mm	medium
f8_L13	7	n	low
f8_L13	8	71	high
f8_L13	9	_20	high
f8_L13	10	8	medium
f8_L13	11	_20	high
f8_L13	12	_22	high
f9_L1	1	q	medium
f9_L1	2	43	high
f9_L1	3	I	high
f9_L1	4	_11	high
f9_L1	5	_6	high
f9_L1	6	63	high
f9_L1	7	0	low
f9_L1	8	0	low
f9_L1	9	_11	high
f9_L1	10	39	high
f9_L1	11	118	high
f9_L1	12	36	high
f9_L2	1	62	high
f9_L2	2	X	high
f9_L2	3	8	medium
f9_L2	4	40	high
f9_L2	5	8	medium
f9_L2	6	_21	high
f9_L2	7	65	high
f9_L2	8	X	high
f9_L2	9	tt	medium
f9_L2	10	_17	high
f9_L2	11	69	high
f9_L2	12	_13	high
f9_L3	1	3	high
f9_L3	2	14	high
f9_L3	3	≠	medium
f9_L3	4	_6	high
f9_L3	5	q	medium
f9_L3	6	8	medium
f9_L3	7	m	medium
f9_L3	8	tt	medium
f9_L3	9	_19	high
f9_L3	10	_11	high
f9_L3	11	D	medium
f9_L3	12	tt	medium
f9_L3	13	mm	medium
f9_L3	14	_11	high
f9_L4	1	_13	high
f9_L4	2	tt	medium
f9_L4	3	_16	high
f9_L4	4	m	medium
f9_L4	5	4	high
f9_L4	6	33	high
f9_L4	7	n	low
f9_L4	8	4	high
f9_L4	9	53	high
f9_L4	10	X	high
f9_L4	11	mm	medium
f9_L4	12	39	high
f9_L4	13	8	medium
f9_L5	1	94	high
f9_L5	2	61	high
f9_L5	3	118	high
f9_L5	4	36	high
f9_L5	5	62	high
f9_L5	6	8	medium
f9_L5	7	40	high
f9_L5	8	8	medium
f9_L5	9	_21	high
f9_L5	10	71	high
f9_L5	11	_16	high
f9_L5	12	13	high
f9_L5	13	X	high
f9_L6	1	mm	medium
f9_L6	2	23	high
f9_L6	3	64	high
f9_L6	4	tt	medium
f9_L6	5	33	high
f9_L6	6	8	medium
f9_L6	7	_17	high
f9_L6	8	36	high
f9_L6	9	_11	high
f9_L6	10	33	high
f9_L6	11	17	high
f9_L6	12	66	high
f9_L7	clear	yl lepeut estre dans le doubte de coqu	medium
f9_L7	1	≠	medium
f9_L7	2	4	high
f9_L8	1	60	high
f9_L8	2	_13	high
f9_L8	3	X	high
f9_L8	4	71	high
f9_L8	5	66	high
f9_L8	6	mm	medium
f9_L8	7	_19	high
f9_L8	8	_10	high
f9_L8	9	m	medium
f9_L8	10	n	low
f9_L8	11	68	high
f9_L8	12	8	medium
f9_L8	13	36	high
f9_L9	1	q	medium
f9_L9	2	u	medium
