line	pos	group	conf	note
f129_L01	1	[en delivrez parler a leurs Alt.es Royalles]	C	clear-text gloss/phrase, reading of abbreviated words uncertain
f129_L01	2	;	C	punctuation ending the clear-text run
f129_L01	3	7	H	
f129_L01	4	24	H	
f129_L01	5	7	H	
f129_L01	6	,	H	scribal comma
f129_L01	7	3	M	faint
f129_L01	8	21	H	
f129_L01	9	_6	M	second numeral row within same L01 crop (band not shared with L02); overline over single digit
f129_L01	10	66	M	
f129_L01	11	_28	H	overline over both digits
f129_L01	12	7	H	
f129_L01	13	20	H	
f129_L01	14	27	H	
f129_L01	15	2	H	
f129_L01	16	_8	M	overline single digit
f129_L01	17	18	H	
f129_L01	18	_4	M	overline single digit
f129_L01	19	62	H	
f129_L01	20	2	H	
f129_L01	21	96	M	7/9 ambiguous
f129_L01	22	20	H	
f129_L01	23	73	M	
f129_L01	24	7	M	near crop's right edge
f129_L02	1	_26	H	overline both digits
f129_L02	2	16	H	
f129_L02	3	61	H	
f129_L02	4	20	H	
f129_L02	5	96	H	
f129_L02	6	_24	H	
f129_L02	7	_12	H	
f129_L02	8	18	H	
f129_L02	9	96	H	
f129_L02	10	60	H	
f129_L02	11	_26	H	
f129_L02	12	_12	H	
f129_L02	13	_21	H	
f129_L02	14	96	H	
f129_L02	15	20	H	
f129_L02	16	_6	H	
f129_L02	17	16	H	
f129_L02	18	61	H	
f129_L02	19	20	H	
f129_L02	20	—	H	scribal dash ending the line
f129_L03	1	15	H	
f129_L03	2	16	H	
f129_L03	3	15	H	
f129_L03	4	17	H	
f129_L03	5	_7	H	
f129_L03	6	21	H	
f129_L03	7	_21	H	
f129_L03	8	_13	H	
f129_L03	9	15	H	
f129_L03	10	19	H	
f129_L03	11	43	H	
f129_L03	12	21	H	
f129_L03	13	19	H	
f129_L03	14	36	H	
f129_L03	15	20	H	
f129_L03	16	19	H	
f129_L03	17	_11	M	"shape near ""n""; could be two 1s or ascender flourish"
f129_L03	18	2	H	
f129_L03	19	20	H	
f129_L03	20	4	H	
f129_L03	21	60	H	
f129_L03	22	:	M	"two stacked dots after ""60""; unusual end-of-line mark, not a digit"
f129_L04	1	15	H	
f129_L04	2	20	H	
f129_L04	3	4	H	
f129_L04	4	9	H	
f129_L04	5	20	H	
f129_L04	6	70	H	
f129_L04	7	_28	H	
f129_L04	8	15	H	
f129_L04	9	21	H	
f129_L04	10	_6	H	
f129_L04	11	60	H	
f129_L04	12	1	H	
f129_L04	13	41	H	
f129_L04	14	4	H	
f129_L04	15	_22	H	
f129_L04	16	24	H	
f129_L04	17	18	H	
f129_L04	18	39	H	
f129_L04	19	42	H	
f129_L04	20	16	H	
f129_L04	21	10	H	
f129_L05	1	6	H	
f129_L05	2	61	H	
f129_L05	3	18	H	
f129_L05	4	_17	H	
f129_L05	5	15	H	
f129_L05	6	19	H	
f129_L05	7	26	H	
f129_L05	8	60	H	
f129_L05	9	66	H	
f129_L05	10	_11	H	
f129_L05	11	18	H	
f129_L05	12	2	H	
f129_L05	13	20	H	
f129_L05	14	19	H	
f129_L05	15	23	H	
f129_L05	16	64	H	
f129_L05	17	20	H	
f129_L05	18	_17	H	
f129_L05	19	13	H	
f129_L05	20	_10	M	near crop's right edge
f129_L06	1	18	H	
f129_L06	2	26	H	
