key	token_1653	count_f1_f9	key_code	key_value
key_1646	db	61		
key_1646	tt	46		
key_1646	11	37		
key_1646	mm	36		
key_1646	36	30	36	MR
key_1646	m	30	m	I
key_1646	_11	26		
key_1646	d	26	d	C
key_1646	X	25	X	R
key_1646	I	23		
key_1646	_21	20		
key_1646	61	16		
key_1646	60	14	60	RE
key_1646	33	13	33	MI
key_1646	_13	13		
key_1646	_16	12		
key_1646	4	11		
key_1646	_6	11		
key_1646	m‡	11	m+	X
key_1646	£	11	L	D
key_1646	23	10	23	LA
key_1646	62	10	62	RO
key_1646	71	10	71	TI
key_1646	31	8	31	MA
key_1646	_10	8		
key_1646	_26	8		
key_1646	q'	8	q	O
key_1646	q‡	8	q	O
key_1646	_12	7		
key_1646	_23	7		
key_1646	_o	7		
key_1646	¨4	7		
key_1646	3	6		
key_1646	39	6	39	NE
key_1646	_7	6		
key_1646	40	5	40	NI
key_1646	72	5	72	TO
key_1646	_17	5		
key_1646	_18	5		
key_1646	_19	5		
key_1646	_22	5		
key_1646	_28	5		
key_1646	θ	5	o	A
key_1646	115	4		
key_1646	17	4		
key_1646	37	4		
key_1646	41	4	41	NO
key_1646	_1	4		
key_1646	_15	4		
key_1646	đ	4	d	C
key_1646	63	3		
key_1646	64	3	64	SA
key_1646	65	3	65	SE
key_1646	66	3	66	SY
key_1646	9	3	9	Z
key_1646	_43	3		
key_1646	_50	3		
key_1646	¨2	3		
key_1646	118	2		
key_1646	123	2		
key_1646	144	2		
key_1646	19	2		
key_1646	38	2		
key_1646	43	2		
key_1646	46	2		
key_1646	51	2	51	PV
key_1646	68	2	68	SV
key_1646	73	2		
key_1646	94	2		
key_1646	95	2		
key_1646	Z	2	Z	S
key_1646	_20	2		
key_1646	_3	2		
key_1646	_42	2		
key_1646	~121	2		
key_1646	¨1	2		
key_1646	¨34	2		
key_1646	100	1		
key_1646	13	1	13	HE
key_1646	14	1		
key_1646	149	1		
key_1646	15	1		
key_1646	154	1		
key_1646	168	1		
key_1646	190	1		
key_1646	26	1	26	ERO
key_1646	30	1		
key_1646	34	1		
key_1646	53	1		
key_1646	55	1	55	QVE
key_1646	56	1	56	QVI
key_1646	69	1	69	TA
key_1646	70	1	70	TE
key_1646	74	1		
key_1646	80	1	80	VO
key_1646	91	1		
key_1646	96	1		
key_1646	_25	1		
key_1646	_27	1	_27	AREYNE
key_1646	_38	1		
key_1646	_41	1		
key_1646	_46	1		
key_1646	_47	1		
key_1646	_48	1		
key_1646	_49	1		
key_1646	_51	1		
key_1646	_52	1		
key_1646	_53	1		
key_1646	_78	1		
key_1646	_94	1	_94	ET
key_1646	q	1	q	O
key_1646	z	1		
key_1646	¨15	1		
key_brienne_1647	db	61		
key_brienne_1647	tt	46	tt	E
key_brienne_1647	11	37	11	RE
key_brienne_1647	mm	36		
key_brienne_1647	36	30		
key_brienne_1647	m	30	m	O
key_brienne_1647	_11	26		
key_brienne_1647	d	26	d	S
key_brienne_1647	X	25		
key_brienne_1647	I	23		
key_brienne_1647	_21	20		
key_brienne_1647	61	16		
key_brienne_1647	60	14		
key_brienne_1647	33	13		
key_brienne_1647	_13	13		
key_brienne_1647	_16	12		
key_brienne_1647	4	11		
key_brienne_1647	_6	11		
key_brienne_1647	m‡	11		
key_brienne_1647	£	11		
key_brienne_1647	23	10	23	TO
key_brienne_1647	62	10		
key_brienne_1647	71	10		
key_brienne_1647	31	8		
key_brienne_1647	_10	8		
key_brienne_1647	_26	8		
key_brienne_1647	q'	8		
key_brienne_1647	q‡	8		
key_brienne_1647	_12	7		
key_brienne_1647	_23	7		
key_brienne_1647	_o	7		
key_brienne_1647	¨4	7		
key_brienne_1647	3	6		
key_brienne_1647	39	6		
key_brienne_1647	_7	6		
key_brienne_1647	40	5		
key_brienne_1647	72	5		
key_brienne_1647	_17	5		
