line	n_rec	passA_line	A_match	passB_line	B_match
f8_L2	4	f8_L2	4	f8_L2	4
f8_L3	13	f8_L3	8	f8_L3	11
f8_L4	13	f8_L4	12	f8_L4	10
f8_L5	13	f8_L5	13	f8_L5	12
f8_L6	4	f8_L6	3	f8_L6	3
f8_L7	9	f8_L7	9	f8_L7	7
f8_L8	13	f8_L8	13	f8_L8	7
f8_L9	12	f8_L9	12	f8_L9	12
f8_L10	8	f8_L10	5	f8_L10	6
f8_L11	12	f8_L11	12	f8_L11	12
f8_L12	11	f8_L12	10	f8_L12	11
f8_L13	12	f8_L13	10	f8_L13	11
f9_L1	13	f9_L1	12	f9_L1	11
f9_L2	13	f9_L2	12	f9_L2	12
f9_L3	14	f9_L3	11	f9_L3	14
f9_L4	14	f9_L4	13	f9_L4	13
f9_L5	13	f9_L5	13	f9_L5	12
f9_L6	12	f9_L6	11	f9_L6	12
f9_L7	2	f9_L7	1	f9_L7	1
f9_L8	13	f9_L8	13	f9_L8	12
f9_L9	16	f9_L9	13	f9_L9	16
f9_L10	13	f9_L10	11	f9_L10	12
f9_L11	12	f9_L11	12	f9_L11	12
f9_L12	13	f9_L12	12	f9_L12	13
f9_L13	12	-	0	f9_L13	12
f9_L14	13	-	0	f9_L14	11
f9_L15	11	f9_L13	10	f9_L15	10
f9_L16	12	f9_L14	11	f9_L16	12
f9_L17	11	f9_L15	9	f9_L17	11
f9_L18	7	f9_L16	3	f9_L18	6
f10_L1	11	f10_L1	9	f10_L1	10
f10_L2	10	f10_L2	10	f10_L2	10
f10_L3	6	f10_L3	6	f10_L3	6
f10_L4	14	f10_L4	13	f10_L4	14
f10_L5	12	f10_L5	11	f10_L5	12
f10_L6	13	f10_L6	11	f10_L6	13
f10_L7	13	f10_L7	12	f10_L7	12
f10_L8	14	f10_L8	12	f10_L8	13
f10_L9	12	f10_L9	10	f10_L9	12
f10_L10	11	f10_L10	11	f10_L10	11
f10_L11	11	f10_L11	10	f10_L11	11
f10_L12	7	f10_L12	5	f10_L12	7
f10_L13	13	f10_L13	11	f10_L13	13
f10_L14	13	f10_L14	12	f10_L14	12
f10_L15	12	f10_L15	11	f10_L15	12
f10_L16	12	f10_L16	10	f10_L16	12
f10_L17	6	f10_L17	6	f10_L17	6
total	528		448		494
