line	pos	group	conf	note
f129_L01	1	[PLAIN:en diburez parler a leurs Altesses Royalles]	M	clear French; A "Achrs.s.r Royallex", B "Alt.es Royalles"; "diburez" diplomatic (devrez)
f129_L01	2	7	H	
f129_L01	3	24	H	
f129_L01	4	7	H	
f129_L01	5	,	H	
f129_L01	6	3	H	
f129_L01	7	21	H	
f129_L02	1	2	M	
f129_L02	2	10	M	
f129_L02	3	_76	M	
f129_L02	4	_6	H	
f129_L02	5	56	M	
f129_L02	6	_28	H	
f129_L02	7	7	H	
f129_L02	8	20	H	
f129_L02	9	37	M	
f129_L02	10	2	H	
f129_L02	11	_8	H	
f129_L02	12	18	H	
f129_L02	13	_4	H	
f129_L02	14	5	M	
f129_L02	15	62	H	
f129_L02	16	2	H	
f129_L02	17	36	M	curly 3 (B 96)
f129_L02	18	20	H	
f129_L02	19	73	H	
f129_L02	20	7	H	
f129_L03	1	_26	H	
f129_L03	2	16	H	
f129_L03	3	61	H	
f129_L03	4	20	H	
f129_L03	5	36	M	curly 3 (both 96)
f129_L03	6	_24	H	
f129_L03	7	_12	H	
f129_L03	8	18	H	
f129_L03	9	36	M	curly 3 (both 96)
f129_L03	10	60	H	
f129_L03	11	_26	H	
f129_L03	12	_12	H	
f129_L03	13	_21	H	
f129_L03	14	36	M	curly 3 (both 96)
f129_L03	15	.	M	
f129_L03	16	20	H	
f129_L03	17	_6	H	
f129_L03	18	16	H	
f129_L03	19	61	H	
f129_L03	20	20	H	
f129_L03	21	—	H	
f129_L04	1	15	H	
f129_L04	2	16	H	
f129_L04	3	15	H	
f129_L04	4	17	H	
f129_L04	5	_7	H	
f129_L04	6	21	H	
f129_L04	7	_21	H	
f129_L04	8	_13	H	
f129_L04	9	15	H	
f129_L04	10	19	H	
f129_L04	11	43	H	
f129_L04	12	21	H	
f129_L04	13	19	H	
f129_L04	14	36	M	curly 3 (A 96, B 36)
f129_L04	15	20	H	
f129_L04	16	19	H	
f129_L04	17	_11	H	
f129_L04	18	2	H	
f129_L04	19	20	H	
f129_L04	20	4	H	
f129_L04	21	60	H	
f129_L05	1	15	H	
f129_L05	2	20	H	
f129_L05	3	4	H	
f129_L05	4	9	H	
f129_L05	5	20	H	
f129_L05	6	70	H	
f129_L05	7	_28	H	
f129_L05	8	15	H	
f129_L05	9	21	H	
f129_L05	10	_6	H	
f129_L05	11	60	H	
f129_L05	12	1	H	
f129_L05	13	41	H	
f129_L05	14	4	H	
f129_L05	15	_22	H	
f129_L05	16	24	H	
f129_L05	17	18	H	
f129_L05	18	39	H	
f129_L05	19	42	H	
f129_L05	20	16	H	
f129_L05	21	10	H	
f129_L06	1	6	H	
f129_L06	2	61	H	
f129_L06	3	18	H	
f129_L06	4	3	M	
f129_L06	5	_17	H	
f129_L06	6	15	H	
f129_L06	7	19	H	
f129_L06	8	36	M	curly 3 (A 96, B 26)
f129_L06	9	60	H	
f129_L06	10	66	H	
f129_L06	11	_11	H	
f129_L06	12	18	H	
f129_L06	13	2	H	
f129_L06	14	20	H	
f129_L06	15	19	H	
f129_L06	16	23	H	
f129_L06	17	64	H	
f129_L06	18	20	H	
f129_L06	19	_17	H	
f129_L06	20	13	H	
f129_L06	21	_10	H	
f129_L07	1	18	H	
f129_L07	2	36	M	curly 3 (A 96, B 26)
f129_L07	3	_5	M	long-s shaped 5 under the bar, as in 115 (both passes _6)
f129_L07	4	7	H	
f129_L07	5	_0	M	
f129_L07	6	20	H	
f129_L07	7	_16	H	
f129_L07	8	,	H	
f129_L07	9	2	H	
f129_L07	10	19	H	
f129_L07	11	_6	M	bar over the 6 (A 6; B _6)
f129_L07	12	115	M	
f129_L07	13	_16	M	small 1 under the bar before 6 (A _6, B _16)
f129_L07	14	_13	H	
f129_L07	15	15	H	
f129_L07	16	19	H	
f129_L07	17	2	H	
