line	pos	group	key_1659	f68r	seg
f129_L01	2	7	ou	v	F1
f129_L01	6	3	e	d	F1
f129_L02	5	56	n	eje	F1
f129_L03	3	61	le	l	F1
f129_L04	5	_7	q	po	F1
f129_L05	2	20	s	r	F1
f129_L06	4	3	e	d	F1
f129_L06	5	_17	si	r	F1
f129_L06	20	13	gn	gr	F1
f129_L06	21	_10	st	a	F1
f129_L07	3	_5	estr	qua	F1
f129_L08	16	61	le	af	F1
f129_L09	3	_10	st	ra	F2
f129_L10	3	16	l	se	F2
f129_L11	13	3	e	d	F2
f129_L15	1	_7	q	po	F2
f129_L16	1	15	oi	sa	F2
f129_L16	15	6	a	p	F2
f129_L16	17	23	pr	l	F2
f129_L16	20	21	r	et	F2
f130a_L02	3	42	fi	cl	F2
f130a_L03	2	20	s	r	F2
f130a_L03	5	2	e	r	F2
f130a_L03	12	_7	q	po	F2
f130a_L06	1	24	i	so	F2
f130a_L07	1	15	oi	ssa	F2
f130b_L04	5	_10	st	ra	F3
f130b_L04	11	61	le	a	F3
f130b_L05	9	10	je	p	F3
f130b_L05	10	_7	q	o	F3
f130b_L05	13	_16	se	r	F3
f130b_L05	14	18	n	a	F3
