line	position	group	confidence
f11_L1	clear	[ce q'. nous auua apporté]	medium
f11_L1	1	£	low - looks like X/cross joined to a loop, closest to £ but unsure
f11_L1	2	Ɔ	low - open loop/backward-c shape, not in vocab list
f11_L1	3	23	high
f11_L1	4	_11	high
f11_L1	5	_tt	medium
f11_L1	6	16	low - cropped at right edge of image
f11_L2	1	_6	low - overline 6 with an unexplained cross-tick mark beneath, not in vocab
f11_L2	2	9	high
f11_L2	3	db	medium
f11_L2	4	Ɔ	low - open loop shape, not in vocab list
f11_L2	5	Z	medium
f11_L2	6	Ɔ	low - open loop shape, not in vocab list
f11_L2	7	34	high
f11_L2	8	_21	high
f11_L2	9	31	high
f11_L2	10	_7	medium
f11_L2	11	_0	medium
f11_L2	12	_13	low - cropped at right edge of image
f11_L3	1	X	medium
f11_L3	2	tt	high
f11_L3	3	mm	high
f11_L3	4	_0	medium
f11_L3	5	X	medium
f11_L3	6	_18	high
f11_L3	7	db	medium
f11_L3	8	70	medium
f11_L3	9	q	high
f11_L3	10	61	high
f11_L3	11	m	high
f11_L3	12	¨4	high
f11_L4	1	_23	high
f11_L4	2	11	high
f11_L4	3	tt	high
f11_L4	4	_50	medium
f11_L4	5	_21	high
f11_L4	6	72	medium
f11_L4	7	I	medium
f11_L4	8	123	medium
f11_L4	9	d	high
f11_L4	10	mm	high
f11_L4	11	115	low - cropped at right edge of image
f11_L5	1	36	high
f11_L5	2	¨34	medium
f11_L5	3	Ɔ	low - open loop shape, not in vocab list
f11_L5	4	db	medium
f11_L5	5	_46	high
f11_L5	6	23	high
f11_L5	7	_11	high
f11_L5	8	67	high
f11_L5	9	Ɔ	low - open loop shape, not in vocab list
f11_L5	10	I	medium
f11_L5	11	Ɔ	low - loop/flourish shape, cropped at right edge, not in vocab
f11_L6	1	45	high
f11_L6	2	46	high
f11_L6	3	66	low - small unexplained flourish above the pair of 6s, not in vocab
f11_L6	4	mm	high
f11_L6	clear	[Mais la mort de M...]	medium - clear text runs off the right edge of the crop, name after "de M" cut off
f12_L1	clear	[quelles ne l'estoient de son vuiant]	medium
f12_L1	1	_0	high
f12_L1	2	I	high
f12_L1	3	31	high
f12_L1	4	_6	high
f12_L2	1	60	medium
f12_L2	2	11	high
f12_L2	3	4	high
f12_L2	4	_23	high
f12_L2	5	_12	high
f12_L2	6	_21	high
f12_L2	7	36	medium
f12_L2	8	tt	medium
f12_L2	9	37	high
f12_L2	10	_11	high
f12_L2	11	4	high
f12_L2	12	_21	high
f12_L3	1	11	high
f12_L3	2	21	high
f12_L3	3	tt	high
f12_L3	4	71	low - digits unclear, could be 71 or 91
f12_L3	5	tt	high
f12_L3	6	mm	high
f12_L3	7	_0	high
f12_L3	8	tt	high
f12_L3	9	Ɔ	low - open loop shape, not in vocab list
f12_L3	10	db	medium
f12_L3	11	_18	high
f12_L3	12	21	high
f12_L3	13	_21	high
f12_L4	1	Ɔ	low - open loop shape, not in vocab list
f12_L4	2	tt	medium
f12_L4	3	_20	high
f12_L4	4	q	high
f12_L4	5	62	high
f12_L4	6	Ɔ	low - open loop shape attached to preceding digits, not in vocab
f12_L4	7	_7	high
f12_L4	8	m	high
f12_L4	9	tt	high
f12_L4	10	_4	low - small unexplained cross/tick mark near this group, not in vocab
f12_L4	11	X	high
f12_L4	12	tt	high
f12_L4	13	_16	high
f12_L5	1	db	medium
f12_L5	2	mm	high
f12_L5	3	_11	high
f12_L5	4	31	high
f12_L5	5	_28	high
f12_L5	6	X	high
f12_L5	7	21	high
f12_L5	8	36	high
f12_L5	9	60	high
f12_L5	10	21	high
f12_L5	11	¨4	high
f12_L6	1	46	high
f12_L6	2	db	medium
f12_L6	3	mm	high
f12_L6	clear	[Et tel qui en a le sevre soubz]	low - middle word ("sevre") uncertain
