line	position	group	confidence
f8_L1	clear	receuoir deux interpretations, et il sera bon de	medium
f8_L2	clear	Vous esclaircir quel peut estre	high
f8_L2	1	L	medium
f8_L2	2	62	high
f8_L2	3	_16	high
f8_L2	4	db	medium
f8_L3	1	11	medium
f8_L3	2	36	high
f8_L3	3	_46	high
f8_L3	4	11	medium
f8_L3	5	m	high
f8_L3	6	#	low
f8_L3	7	_21	high
f8_L3	8	11	medium
f8_L3	9	_16	high
f8_L3	10	11	medium
f8_L3	11	30	high
f8_L3	12	I	medium
f8_L3	13	4	high
f8_L4	1	_10	high
f8_L4	2	X	medium
f8_L4	3	db	medium
f8_L4	4	3	high
f8_L4	5	_11	high
f8_L4	6	154	high
f8_L4	7	X	medium
f8_L4	8	db	medium
f8_L4	9	33	high
f8_L4	10	db	medium
f8_L4	11	_76	medium
f8_L4	12	72	high
f8_L4	13	d	medium
f8_L5	1	db	medium
f8_L5	2	mm	medium
f8_L5	3	m	high
f8_L5	4	u	medium
f8_L5	5	_19	high
f8_L5	6	56	high
f8_L5	7	mm	medium
f8_L5	8	39	high
f8_L5	9	_78	high
f8_L5	10	36	high
f8_L5	11	_11	high
f8_L5	12	mm	medium
f8_L5	13	H	medium
f8_L6	clear	Cest estre persuade que bon	high
f8_L6	1	q	high
f8_L6	2	_23	high
f8_L6	3	_12	high
f8_L6	4	_21	high
f8_L7	clear	Et peut estre le	high
f8_L7	1	d	medium
f8_L7	2	H	medium
f8_L7	3	19	high
f8_L7	4	43	high
f8_L7	5	X	medium
f8_L7	6	9	high
f8_L7	7	62	high
f8_L7	8	37	high
f8_L7	9	_11	high
f8_L8	1	11	medium
f8_L8	2	62	high
f8_L8	3	23	high
f8_L8	4	_11	high
f8_L8	5	db	medium
f8_L8	6	3	high
f8_L8	7	_11	high
f8_L8	8	_50	high
f8_L8	9	u	low
f8_L8	10	db	medium
f8_L8	11	23	high
f8_L8	12	_11	high
f8_L8	13	_21	high
f8_L9	1	Z	low
f8_L9	2	_21	high
f8_L9	3	36	high
f8_L9	4	_15	high
f8_L9	5	33	high
f8_L9	6	68	high
f8_L9	7	36	high
f8_L9	8	I	medium
f8_L9	9	m	high
f8_L9	10	_26	high
f8_L9	11	4	high
f8_L9	12	#	low
f8_L10	clear	lesquels noublieront	high
f8_L10	1	61	medium
f8_L10	2	11	medium
f8_L10	3	15	low
f8_L10	4	#	low
f8_L10	5	ï	low
f8_L10	6	ä	low
f8_L10	7	#	low
f8_L10	8	ä	low
f8_L10	9	4	high
f8_L11	1	m	high
f8_L11	2	u	high
f8_L11	3	34	high
f8_L11	4	71	high
f8_L11	5	_18	high
f8_L11	6	I	medium
f8_L11	7	_21	high
f8_L11	8	36	high
f8_L11	9	37	high
f8_L11	10	62	high
f8_L11	11	46	high
f8_L11	12	db	medium
f8_L12	1	31	high
f8_L12	2	m	high
f8_L12	3	_43	high
f8_L12	4	_50	high
f8_L12	5	q'	low
f8_L12	6	_11	high
f8_L12	7	39	high
f8_L12	8	X	medium
f8_L12	9	_11	high
f8_L12	10	123	high
f8_L12	11	11	medium
f8_L13	1	115	high
f8_L13	2	36	high
f8_L13	3	34	medium
f8_L13	4	31	high
f8_L13	5	11	medium
f8_L13	6	mm	medium
f8_L13	7	u	medium
f8_L13	8	71	high
f8_L13	9	_20	high
f8_L13	10	db	medium
f8_L13	11	_20	high
f8_L13	12	_22	high
f9_L1	1	q	medium
f9_L1	2	db	medium
f9_L1	3	43	high
f9_L1	4	I	medium
f9_L1	5	_11	high
f9_L1	6	_6	high
f9_L1	7	63	high
f9_L1	8	o	low
f9_L1	9	o	low
f9_L1	10	_11	high
f9_L1	11	39	high
f9_L1	12	118	high
f9_L1	13	36	high
f9_L2	1	62	high
f9_L2	2	X	medium
f9_L2	3	db	medium
f9_L2	4	40	high
f9_L2	5	db	medium
f9_L2	6	_21	high
f9_L2	7	65	high
f9_L2	8	X	medium
f9_L2	9	11	medium
f9_L2	10	_17	high
f9_L2	11	69	high
f9_L2	12	_13	high
f9_L2	13	q	medium
f9_L3	1	3	high
f9_L3	2	14	medium
f9_L3	3	#	low
f9_L3	4	_6	high
f9_L3	5	q	medium
f9_L3	6	db	medium
f9_L3	7	m	high
f9_L3	8	11	medium
f9_L3	9	_19	high
f9_L3	10	11	medium
f9_L3	11	d	medium
f9_L3	12	11	medium
f9_L3	13	mm	medium
f9_L3	14	_11	high
f9_L4	1	13	high
f9_L4	2	_13	high
f9_L4	3	11	medium
f9_L4	4	_16	high
f9_L4	5	m	high
f9_L4	6	4	high
f9_L4	7	33	high
f9_L4	8	u	medium
f9_L4	9	4	high
f9_L4	10	53	high
f9_L4	11	X	medium
f9_L4	12	mm	medium
f9_L4	13	39	high
f9_L4	14	db	medium
f9_L5	1	94	high
f9_L5	2	61	high
f9_L5	3	118	high
f9_L5	4	36	high
f9_L5	5	62	high
f9_L5	6	db	medium
f9_L5	7	40	high
f9_L5	8	db	medium
f9_L5	9	_21	high
f9_L5	10	71	high
f9_L5	11	_16	high
f9_L5	12	_13	high
f9_L5	13	X	medium
f9_L6	1	mm	medium
f9_L6	2	23	high
f9_L6	3	64	high
f9_L6	4	11	medium
f9_L6	5	33	high
f9_L6	6	db	medium
f9_L6	7	_17	high
f9_L6	8	36	high
f9_L6	9	_11	high
f9_L6	10	33	high
f9_L6	11	17	high
f9_L6	12	66	high
f9_L7	clear	il se peut estre dans le doubte de coqu	medium
f9_L7	1	£	low
f9_L7	2	4	high
f9_L8	1	60	high
f9_L8	2	_13	high
f9_L8	3	X	medium
f9_L8	4	71	high
f9_L8	5	66	high
f9_L8	6	mm	medium
f9_L8	7	19	high
f9_L8	8	_10	high
f9_L8	9	m	high
f9_L8	10	u	medium
f9_L8	11	68	high
f9_L8	12	db	medium
f9_L8	13	36	high
f9_L9	1	q	medium
f9_L9	2	u	medium
f9_L9	3	70	high
f9_L9	4	q	medium
f9_L9	5	m	high
f9_L9	6	db	medium
f9_L9	7	mm	medium
f9_L9	8	_6	high
f9_L9	9	36	high
f9_L9	10	11	medium
f9_L9	11	95	high
