# tools/print_check.py, 24 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
en devrez parler a leurs altesses royalles	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
parler a leurs altesses royales	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
de la verite desquelles il importeroit	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
se retirer du maniement des affaires	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
retirer du maniement des affaires	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
mesintelligence d'entre le filz et la mere	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
mesintelligence entre le fils et la mere	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
leurs principaux ministres	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
quelle peut estre l'inclination	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
quelle affection du filz	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
qu'on dit de la mesintelligence	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
il est du service du roy que vous nous mandiez	ia:lettresducardina09maza	no hits	cached sources/ia-fulltext/print-check/lettresducardina09maza_djvu.txt.gz; 	https://archive.org/details/lettresducardina09maza
