seg	line	pos	group	plain
S1	L01	1	_18	s
S1	L01	2	15	oi
S1	L01	3	19	t
S1	L01	4	_3	p
S1	L01	5	7	ou
S1	L01	6	21	r
S1	L01	7	61	le
S1	L01	8	64	lu
S1	L01	9	9	y
S1	L01	10	m	a
S1	L01	11	_28	v
S1	L01	12	15	oi
S1	L01	13	21	r
S1	L01	14	2	e
S1	L01	15	20	s
S1	L01	16	_21	te
S1	L01	17	m	a
S1	L01	18	15	i
S1	L02	1	18	n
S1	L02	2	_30	si
S1	L02	3	9	d
S1	L02	4	37	i
S1	L02	5	19	t
S1	L02	6	_0	pa
S1	L02	7	_34	r
S2	L02	9	35	da
S2	L02	10	17	m
S2	L02	11	5	b
S2	L02	12	_14	r
S2	L02	13	17	u
S2	L02	14	_37	n
S2	L02	15	7	ou
S2	L02	16	_3	p
S2	L02	17	7	ou
S2	L02	18	21	r
S2	L03	1	60	l
S2	L03	2	_28	au
S2	L03	3	15	oi
S2	L03	4	21	r
S2	L03	5	33	c
S2	L03	6	18	on
S2	L03	7	19	t
S2	L03	8	_13	r
S2	L03	9	7	ou
S2	L03	10	_26	ve
S2	L03	11	_3	p
S2	L03	12	7	ou
S2	L03	13	21	r
S2	L03	14	61	le
S2	L03	15	_14	ru
S2	L03	16	15	in
S2	L03	17	71	e
S2	L03	18	21	r
S2	L04	1	35	da
S2	L04	2	18	n
S2	L04	3	20	s
S2	L04	4	61	le
S2	L04	5	20	s
S2	L04	6	23	pr
S2	L04	7	_12	i
S2	L04	8	19	t
S2	L04	9	36	de
S3	L04	11	_18	s
S3	L04	12	18	on
S3	L04	13	42	fi
S3	L04	14	16	ls
S3	L04	15	10	je
S3	L04	16	56	n
S3	L05	1	71	e
S3	L05	2	20	s
S3	L05	3	30	ca
S3	L05	4	7	u
S3	L05	5	_13	r
S3	L05	6	15	oi
S3	L05	7	20	s
S3	L05	8	40	fa
S3	L05	9	15	ir
S3	L05	10	_11	ec
S3	L05	11	71	et
S3	L05	12	_23	o
S3	L05	13	21	r
S3	L05	14	19	t
S3	L05	15	m	a
S3	L05	16	115	#
S3	L05	17	36	de
S3	L05	18	60	la
S3	L05	19	4	c
S3	L05	20	_13	r
S3	L06	1	15	oi
S3	L06	2	_11	re
S3	L06	3	30	ca
S3	L06	4	_0	pa
S3	L06	5	5	b
S3	L06	6	61	le
S3	L06	7	39	du
S3	L06	8	71	ne
S3	L06	9	m	a
S3	L06	10	4	c
S3	L06	11	_22	t
S3	L06	12	24	i
S3	L06	13	18	on
S3	L06	14	_17	si
S3	L06	15	73	n
S3	L06	16	15	oi
S3	L06	17	_11	re
S3	L07	1	6	qu
S3	L07	2	_16	es
S3	L07	3	_13	er
S3	L07	4	15	oi
S3	L07	5	19	t
S3	L07	6	31	ce
S3	L07	7	16	l
S3	L07	8	61	le
S3	L07	9	60	la
S4	L07	12	55	ja
S4	L07	13	9	yp
S4	L07	14	_0	ei
S4	L07	15	9	n
S4	L07	16	71	e
S4	L07	17	36	de
S4	L08	1	4	c
S4	L08	2	_13	r
S4	L08	3	15	oi
S4	L08	4	_11	re
S4	L08	5	6	qu
S5	L08	7	35	da
S5	L08	8	17	m
S5	L08	9	5	b
S5	L08	10	_14	ru
S5	L08	11	18	n
S5	L08	12	_16	se
S5	L08	13	_18	s
S5	L08	14	15	oi
S5	L08	15	19	t
S5	L08	16	_20	ta
S5	L08	17	18	n
