L01	?
L02	54 1631 12 78 350 1470 764 18 1801 *
L03	* * * * * * * * * * * * * *
L04	* * * 78 1364 1751 101 421 * * * *
L05	17 86 316 582 1017 18 * * * * * 1248 ?
L06	1176 1164 1801 1747 672 564 481 1267 ?
L07	* 45 147 1158 * * * * * * * * *
L08	* * 48 1240 547 864 1762 11 1264 156 ?
L09	45 38 18 1741 180 150 1161 1240 143 ?
L10	1776 1830 3 1451 28 1540 1537 17 18 ?
L11	* * * * * 13 230 481 * * * *
L12	1110 1267 84 ?9 41 364 17 * 1480 1762 ?
L13	1 1471 1480 22 561 17 1708 11 380 460 ?
L14	17 1620 19 47 76 230 1540 * * * * *
L15	1161 14 74 1461 1870 12 57 1899 3 47 ?
L16	2 471 29 390 1164 87 576 176 18 1480
