id	kind	cluster	dist
f104_01_001	sign	47.1	4.895
f104_01_002	sign	2.0	5.462
f104_01_003	sign	2.3	4.719
f104_01_004	sign	55	6.497
f104_01_005	sign	58	3.384
f104_01_006	sign	52	6.620
f104_01_007	sign	13	6.419
f104_01_008	sign	51	6.148
f104_01_009	sign	14	6.039
f104_01_010	sign	19.5.2	0.000
f104_01_011	sign	32.2.0	5.982
f104_01_012	sign	49.2.0	5.017
f104_01_013	sign	19.5.1	2.293
f104_01_014	sign	2.4.1	3.479
f104_01_015	sign	50.2	3.486
f104_01_016	sign	50.0.1	4.294
f104_01_017	sign	2.4.0	3.954
f104_01_018	sign	58	5.967
f104_01_019	sign	14	5.892
f104_01_020	sign	50.1	4.456
f104_01_021	sign	50.0.1	4.029
f104_02_001	sign	30	6.290
f104_02_002	sign	27	3.384
f104_02_003	sign	39	6.308
f104_02_004	sign	23	4.606
f104_02_005	sign	53	7.171
f104_02_006	sign	43	4.857
f104_02_007	sign	14	6.129
f104_02_008	sign	57	3.880
f104_02_009	sign	53	5.244
f104_02_010	sign	4	7.048
f104_02_011	sign	53	4.241
f104_02_012	sign	30	5.223
f104_02_013	sign	6	3.728
f104_02_014	sign	3	6.339
f104_02_015	sign	39	5.021
f104_02_016	sign	19.1	2.765
f104_02_017	sign	18	4.399
f104_02_018	sign	35.1	5.050
f104_02_019	sign	14	5.087
f104_02_020	sign	47.0	4.345
f104_02_021	sign	20	4.632
f104_02_022	sign	19.3	3.110
f104_02_023	sign	49.2.0	6.094
f104_03_001	sign	57	4.533
f104_03_002	sign	9	5.559
f104_03_003	sign	7	5.138
f104_03_004	sign	33	4.985
f104_03_005	sign	49.1	6.251
f104_03_006	sign	39	5.502
f104_03_007	sign	26	2.982
f104_03_008	sign	59	4.742
f104_03_009	sign	15	5.983
f104_03_010	sign	59	4.677
f104_03_011	sign	19.1	3.366
f104_03_012	sign	33	5.373
f104_03_013	sign	12	6.427
f104_03_014	sign	30	5.716
f104_03_015	sign	29	5.512
f104_04_001	sign	57	5.190
f104_04_002	sign	36	5.787
f104_04_003	sign	35.0	4.875
f104_04_004	sign	20	4.123
f104_04_005	sign	26	3.977
f104_04_006	sign	31	4.567
f104_04_007	sign	31	4.674
f104_04_008	sign	8	6.455
f104_04_009	sign	57	5.995
f104_04_010	sign	19.6	1.088
f104_05_001	sign	11	6.883
f104_05_002	sign	23	7.166
f104_05_003	sign	4	6.958
f104_05_004	sign	8	6.668
f104_05_005	sign	33	7.278
f104_05_006	sign	25	4.469
f104_05_007	sign	30	7.162
f104_05_008	sign	26	3.779
f104_05_009	sign	36	5.094
f104_05_010	sign	31	4.778
f104_05_011	sign	33	4.695
f104_05_012	sign	37	6.018
f104_05_013	sign	15	5.943
f104_05_014	sign	16	5.099
