sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
f104_01_001	f104	1	1	49	116	83	103	4.682	3.773	-0.114	f104_01_m0002|f104_01_m0005|f104_01_m0006
f104_01_002	f104	1	2	175	124	54	67	3.045	2.455	-0.568	
f104_01_003	f104	1	3	243	126	60	76	3.455	2.727	-0.273	f104_01_m0004
f104_01_004	f104	1	4	306	164	31	15	0.682	1.409	0.068	
f104_01_005	f104	1	5	362	153	40	49	2.227	1.818	0.341	
f104_01_006	f104	1	6	421	143	49	43	1.955	2.227	-0.250	
f104_01_007	f104	1	7	491	150	72	53	2.409	3.273	0.295	f104_01_m0003
f104_01_008	f104	1	8	571	156	64	54	2.455	2.909	0.591	f104_01_m0001
f104_01_009	f104	1	9	651	153	27	43	1.955	1.227	0.205	
f104_01_010	f104	1	10	709	150	39	65	2.955	1.773	0.568	
f104_01_011	f104	1	11	788	154	90	40	1.818	4.091	0.182	
f104_01_012	f104	1	12	895	0	34	211	9.591	1.545	-2.932	
f104_01_013	f104	1	13	942	136	36	73	3.318	1.636	0.114	
f104_01_014	f104	1	14	983	155	42	47	2.136	1.909	0.386	
f104_01_015	f104	1	15	1039	162	28	48	2.182	1.273	0.727	
f104_01_016	f104	1	16	1088	138	36	57	2.591	1.636	-0.159	
f104_01_017	f104	1	17	1148	137	40	58	2.636	1.818	-0.182	
f104_01_018	f104	1	18	1190	161	42	43	1.955	1.909	0.568	
f104_01_019	f104	1	19	1254	169	27	47	2.136	1.227	1.023	
f104_01_020	f104	1	20	1299	157	36	45	2.045	1.636	0.432	
f104_01_021	f104	1	21	1326	161	52	48	2.182	2.364	0.682	
f104_02_001	f104	2	1	72	250	29	15	0.682	1.318	0.205	
f104_02_002	f104	2	2	161	224	30	44	2.000	1.364	-0.318	
f104_02_003	f104	2	3	234	246	23	19	0.864	1.045	0.114	
f104_02_004	f104	2	4	280	209	39	50	2.273	1.773	-0.864	
f104_02_005	f104	2	5	356	246	19	17	0.773	0.864	0.068	f104_02_m0007
f104_02_006	f104	2	6	465	240	51	51	2.318	2.318	0.568	
f104_02_007	f104	2	7	559	226	39	52	2.364	1.773	-0.045	
f104_02_008	f104	2	8	645	238	7	23	1.045	0.318	-0.159	
f104_02_009	f104	2	9	700	231	27	37	1.682	1.227	-0.159	
f104_02_010	f104	2	10	715	244	27	17	0.773	1.227	-0.023	
f104_02_011	f104	2	11	767	233	25	36	1.636	1.136	-0.091	
f104_02_012	f104	2	12	880	248	22	22	1.000	1.000	0.273	
f104_02_013	f104	2	13	903	249	8	33	1.500	0.364	0.568	
f104_02_014	f104	2	14	936	248	20	18	0.818	0.909	0.182	
f104_02_015	f104	2	15	981	247	17	16	0.727	0.773	0.091	
f104_02_016	f104	2	16	1026	244	22	44	2.000	1.000	0.591	
f104_02_017	f104	2	17	1081	244	18	55	2.500	0.818	0.841	
f104_02_018	f104	2	18	1129	242	25	17	0.773	1.136	-0.114	
f104_02_019	f104	2	19	1175	244	20	30	1.364	0.909	0.273	
f104_02_020	f104	2	20	1226	237	29	28	1.273	1.318	-0.091	
f104_02_021	f104	2	21	1293	233	18	24	1.091	0.818	-0.364	
f104_02_022	f104	2	22	1340	233	28	46	2.091	1.273	0.136	
f104_02_023	f104	2	23	1383	235	44	92	4.182	2.000	1.273	
f104_03_001	f104	3	1	67	377	5	11	0.500	0.227	0.523	
f104_03_002	f104	3	2	75	364	85	29	1.318	3.864	0.341	
f104_03_003	f104	3	3	160	372	15	11	0.500	0.682	0.295	
f104_03_004	f104	3	4	171	367	18	7	0.318	0.818	-0.023	
f104_03_005	f104	3	5	213	330	35	63	2.864	1.591	-0.432	
f104_03_006	f104	3	6	249	365	17	16	0.727	0.773	0.091	
f104_03_007	f104	3	7	272	367	8	12	0.545	0.364	0.091	
f104_03_008	f104	3	8	285	367	11	11	0.500	0.500	0.068	
f104_03_009	f104	3	9	301	353	27	29	1.318	1.227	-0.159	
f104_03_010	f104	3	10	324	362	9	9	0.409	0.409	-0.205	
f104_03_011	f104	3	11	341	366	27	51	2.318	1.227	0.932	
f104_03_012	f104	3	12	369	369	17	10	0.455	0.773	0.136	
f104_03_013	f104	3	13	387	322	34	58	2.636	1.545	-0.909	
f104_03_014	f104	3	14	423	366	22	12	0.545	1.000	0.045	
f104_03_015	f104	3	15	447	349	48	38	1.727	2.182	-0.136	f104_03_m0008
f104_04_001	f104	4	1	89	449	6	13	0.591	0.273	-0.159	f104_04_m0010
f104_04_002	f104	4	2	151	435	42	29	1.318	1.909	-0.432	f104_04_m0009
f104_04_003	f104	4	3	188	452	27	14	0.636	1.227	0.000	
