code	desc	count	pages	exemplars	marks_seen
K1	invented sign, cluster 13	26	f104,f105,f106,f107,f108,f109,f110	f104_01_007,f104_05_017,f107_08_002,f108_04_001,f107_11_001,f105_17_002,f110_07_002,f105_21_005	
K10	invented sign, cluster 19.6	2	f104,f106	f104_04_010,f106_01_019	
K11	invented sign, cluster 19.7	1	f108	f108_02_027	
K12	invented sign, cluster 19.8	3	f105,f106,f109	f105_03_015,f106_11_005,f109_03_014	
K13	invented sign, cluster 2.0	8	f104,f105,f106,f108,f110	f104_01_002,f105_19_009,f110_01_014,f106_14_003,f106_01_020,f108_11_015,f110_13_008,f106_01_011	
K14	invented sign, cluster 2.1	5	f104,f105,f107,f108	f104_11_007,f105_15_006,f107_07_010,f105_14_006,f108_01_024	
K15	invented sign, cluster 2.2	6	f104,f105,f106,f107,f108,f110	f104_07_007,f105_23_016,f110_01_005,f106_01_002,f107_03_004,f108_11_005	
K16	invented sign, cluster 2.3	10	f104,f105,f107,f109,f110	f104_01_003,f105_07_017,f105_07_019,f107_05_013,f109_02_007,f107_01_024,f110_02_016,f110_05_007	
K17	invented sign, cluster 2.4.0	3	f104,f105,f108	f104_01_017,f108_01_004,f105_16_006	
K18	invented sign, cluster 2.4.1	3	f104,f105,f108	f104_01_014,f108_01_010,f105_12_014	
K19	invented sign, cluster 32.0	4	f105,f106,f110	f106_07_001,f110_06_001,f105_07_007,f106_01_015	
K2	invented sign, cluster 19.0	1	f106	f106_01_010	
K20	invented sign, cluster 32.1	3	f104,f107,f110	f104_09_009,f110_01_006,f107_01_014	
K21	invented sign, cluster 32.2.0	6	f104,f105,f108,f109,f110	f104_01_011,f108_06_008,f105_04_007,f110_01_017,f108_05_001,f109_14_005	
K22	invented sign, cluster 32.2.1	4	f104,f105,f106,f107	f104_06_014,f105_12_007,f106_09_002,f107_05_003	
K23	invented sign, cluster 35.1	5	f104,f105,f107,f110	f104_02_018,f107_02_017,f107_03_009,f105_01_002,f110_02_013	
K24	invented sign, cluster 47.0	12	f104,f105,f106,f107,f108	f104_02_020,f105_12_019,f105_02_013,f107_02_019,f105_02_024,f108_01_025,f107_01_020,f108_02_024	
K25	invented sign, cluster 47.1	5	f104,f108,f110	f104_01_001,f110_01_010,f108_01_011,f110_01_019,f110_02_015	
K26	invented sign, cluster 47.2	4	f105,f107,f110	f110_06_008,f105_09_006,f105_12_016,f107_01_018	
K27	invented sign, cluster 48	19	f105,f106,f107,f108,f109,f110	f105_02_018,f108_01_009,f106_01_013,f106_14_014,f107_01_007,f107_01_008,f105_03_012,f110_01_016	
K28	invented sign, cluster 49.1	11	f104,f105,f106,f107,f108,f109,f110	f104_03_005,f105_02_014,f107_17_003,f106_15_011,f105_12_003,f108_01_022,f105_17_024,f108_11_003	
K29	invented sign, cluster 49.2.0	5	f104,f105,f110	f104_01_012,f104_02_023,f110_01_013,f110_01_012,f105_19_004	
K3	invented sign, cluster 19.1	10	f104,f105,f106,f107,f108,f110	f104_02_016,f104_03_011,f104_08_001,f105_13_013,f107_07_003,f105_12_010,f108_02_018,f110_02_011	
K30	invented sign, cluster 50.0.0	2	f105,f106	f105_10_010,f106_01_006	
K31	invented sign, cluster 50.0.1	4	f104,f106,f107	f104_01_021,f104_01_016,f107_01_021,f106_15_006	
K32	invented sign, cluster 50.1	15	f104,f105,f106,f107,f109,f110	f104_01_020,f109_13_011,f105_14_017,f110_01_011,f110_02_004,f105_02_020,f107_01_002,f106_01_001	
K33	invented sign, cluster 50.2	8	f104,f105,f107,f108,f109,f110	f104_01_015,f110_01_021,f109_02_001,f105_02_021,f108_01_018,f107_02_016,f107_19_007,f109_03_017	
K34	invented sign, cluster 51	18	f104,f105,f106,f107,f108,f109,f110	f104_01_008,f107_03_010,f110_01_009,f107_01_015,f110_03_002,f106_01_017,f107_06_007,f107_04_008	
K35	invented sign, cluster 58	21	f104,f105,f106,f107,f108,f110	f104_01_005,f104_01_018,f105_12_002,f106_01_003,f108_01_013,f107_01_006,f105_14_015,f106_03_001	
K4	invented sign, cluster 19.2	2	f104,f105	f104_08_007,f105_22_010	
K5	invented sign, cluster 19.3	7	f104,f105,f107,f108,f109	f104_02_022,f105_13_019,f107_06_002,f108_06_006,f108_06_004,f107_09_002,f109_10_003	
K6	invented sign, cluster 19.4	1	f104	f104_12_004	
K7	invented sign, cluster 19.5.0	2	f104,f108	f104_12_009,f108_10_007	
K8	invented sign, cluster 19.5.1	2	f104,f105	f104_01_013,f105_14_016	
K9	invented sign, cluster 19.5.2	1	f104	f104_01_010	
