mid	page	line	x	y	w	h	rh	rw	sid
f104_01_m0001	f104	1	631	0	4	14	0.636	0.182	f104_01_008
f104_01_m0002	f104	1	45	9	3	3	0.136	0.136	f104_01_001
f104_01_m0003	f104	1	488	28	8	2	0.091	0.364	f104_01_007
f104_01_m0004	f104	1	287	75	6	5	0.227	0.273	f104_01_003
f104_01_m0005	f104	1	140	125	5	10	0.455	0.227	f104_01_001
f104_01_m0006	f104	1	132	143	4	11	0.500	0.182	f104_01_001
f104_02_m0007	f104	2	422	234	4	5	0.227	0.182	f104_02_005
f104_03_m0008	f104	3	617	338	8	6	0.273	0.364	f104_03_015
f104_04_m0009	f104	4	121	434	31	4	0.182	1.409	f104_04_002
f104_04_m0010	f104	4	103	437	9	3	0.136	0.409	f104_04_001
f104_04_m0011	f104	4	1278	436	3	4	0.182	0.136	f104_04_010
f104_05_m0012	f104	5	886	502	5	6	0.273	0.227	f104_05_015
f104_05_m0013	f104	5	861	518	11	6	0.273	0.500	f104_05_015
f104_05_m0014	f104	5	368	520	5	4	0.182	0.227	f104_05_011
f104_07_m0015	f104	7	290	708	4	3	0.136	0.182	f104_07_006
f104_07_m0016	f104	7	134	717	4	3	0.136	0.182	f104_07_001
f104_08_m0017	f104	8	705	775	5	5	0.227	0.227	f104_08_009
f104_09_m0018	f104	9	341	876	4	4	0.182	0.182	f104_09_008
f104_11_m0019	f104	11	124	1012	14	13	0.591	0.636	f104_11_001
f104_11_m0020	f104	11	174	1021	5	9	0.409	0.227	f104_11_001
f104_12_m0021	f104	12	227	1126	8	5	0.227	0.364	f104_12_004
f104_12_m0022	f104	12	218	1132	7	4	0.182	0.318	f104_12_003
f104_13_m0023	f104	13	21	1330	4	12	0.545	0.182	f104_13_001
f104_13_m0024	f104	13	22	1343	2	5	0.227	0.091	f104_13_001
f104_13_m0025	f104	13	22	1350	2	7	0.318	0.091	f104_13_001
f105_01_m0001	f105	1	1342	23	34	8	0.348	1.478	f105_01_008
f105_01_m0002	f105	1	70	27	5	5	0.217	0.217	f105_01_001
f105_03_m0003	f105	3	11	139	6	10	0.435	0.261	f105_03_001
f105_03_m0004	f105	3	200	151	8	6	0.261	0.348	f105_03_006
f105_04_m0005	f105	4	33	276	16	15	0.652	0.696	f105_04_001
f105_05_m0006	f105	5	523	385	22	16	0.696	0.957	f105_05_012
f105_05_m0007	f105	5	423	394	7	6	0.261	0.304	f105_05_012
f105_06_m0008	f105	6	223	476	7	6	0.261	0.304	f105_06_004
f105_06_m0009	f105	6	5	479	5	4	0.174	0.217	f105_06_001
f105_06_m0010	f105	6	103	486	6	4	0.174	0.261	f105_06_003
f105_07_m0011	f105	7	4	551	3	9	0.391	0.130	f105_07_001
f105_07_m0012	f105	7	50	550	27	16	0.696	1.174	f105_07_001
f105_07_m0013	f105	7	884	561	7	16	0.696	0.304	f105_07_018
f105_07_m0014	f105	7	721	562	3	4	0.174	0.130	f105_07_016
f105_07_m0015	f105	7	65	566	5	6	0.261	0.217	f105_07_001
f105_08_m0016	f105	8	217	662	7	6	0.261	0.304	f105_08_004
f105_10_m0017	f105	10	42	815	24	13	0.565	1.043	f105_10_002
f105_10_m0018	f105	10	35	828	6	9	0.391	0.261	f105_10_002
f105_10_m0019	f105	10	394	836	8	9	0.391	0.348	f105_10_009
f105_11_m0020	f105	11	3	952	4	10	0.435	0.174	f105_11_001
f105_11_m0021	f105	11	1417	965	3	5	0.217	0.130	f105_11_031
f105_11_m0022	f105	11	1313	986	9	10	0.435	0.391	f105_11_031
f105_11_m0023	f105	11	1303	989	6	6	0.261	0.261	f105_11_031
f105_11_m0024	f105	11	1319	996	3	3	0.130	0.130	f105_11_031
f105_11_m0025	f105	11	179	1025	7	5	0.217	0.304	f105_11_001
f105_12_m0026	f105	12	5	1099	3	7	0.304	0.130	f105_12_001
f105_12_m0027	f105	12	428	1107	25	9	0.391	1.087	f105_12_007
f105_13_m0028	f105	13	3	1167	27	17	0.739	1.174	f105_13_001
f105_13_m0029	f105	13	1157	1167	5	3	0.130	0.217	f105_13_017
f105_13_m0030	f105	13	1270	1167	6	4	0.174	0.261	f105_13_019
f105_13_m0031	f105	13	695	1171	14	13	0.565	0.609	f105_13_009
f105_13_m0032	f105	13	282	1173	18	7	0.304	0.783	f105_13_004
f105_14_m0033	f105	14	325	1274	23	13	0.565	1.000	f105_14_006
f105_14_m0034	f105	14	3	1277	4	7	0.304	0.174	f105_14_001
f105_14_m0035	f105	14	72	1290	13	11	0.478	0.565	f105_14_002
f105_14_m0036	f105	14	133	1295	7	5	0.217	0.304	f105_14_004
f105_16_m0037	f105	16	3	1448	3	8	0.348	0.130	f105_16_001
f105_16_m0038	f105	16	100	1471	5	4	0.174	0.217	f105_16_001
f105_17_m0039	f105	17	812	1533	5	3	0.130	0.217	f105_17_010
f105_17_m0040	f105	17	1281	1534	7	5	0.217	0.304	f105_17_021
f105_18_m0041	f105	18	325	1584	3	9	0.391	0.130	f105_18_005
f105_18_m0042	f105	18	1283	1584	17	15	0.652	0.739	f105_18_019
f105_18_m0043	f105	18	1365	1588	7	14	0.609	0.304	f105_18_021
f105_18_m0044	f105	18	320	1594	4	7	0.304	0.174	f105_18_004
f105_18_m0045	f105	18	1368	1596	4	11	0.478	0.174	f105_18_021
f105_18_m0046	f105	18	1219	1598	7	7	0.304	0.304	f105_18_017
f105_19_m0047	f105	19	149	1651	21	14	0.609	0.913	f105_19_003
f105_19_m0048	f105	19	218	1651	32	17	0.739	1.391	f105_19_003
f105_19_m0049	f105	19	248	1650	21	13	0.565	0.913	f105_19_003
f105_19_m0050	f105	19	172	1652	17	14	0.609	0.739	f105_19_003
f105_19_m0051	f105	19	204	1652	11	13	0.565	0.478	f105_19_003
f105_19_m0052	f105	19	1349	1659	5	4	0.174	0.217	f105_19_020
f105_19_m0053	f105	19	715	1670	18	11	0.478	0.783	f105_19_006
f105_19_m0054	f105	19	1094	1670	6	5	0.217	0.261	f105_19_016
f105_20_m0055	f105	20	692	1747	12	12	0.522	0.522	f105_20_010
f105_20_m0056	f105	20	1095	1748	14	13	0.565	0.609	f105_20_011
f105_20_m0057	f105	20	769	1750	14	11	0.478	0.609	f105_20_010
f105_20_m0058	f105	20	1024	1754	12	15	0.652	0.522	f105_20_011
f105_20_m0059	f105	20	1110	1754	28	15	0.652	1.217	f105_20_012
f105_20_m0060	f105	20	1436	1772	3	9	0.391	0.130	f105_20_013
f105_20_m0061	f105	20	267	1784	15	8	0.348	0.652	f105_20_003
f105_20_m0062	f105	20	258	1789	7	8	0.348	0.304	f105_20_002
f105_20_m0063	f105	20	554	1793	6	6	0.261	0.261	f105_20_009
f105_21_m0064	f105	21	98	1840	14	18	0.783	0.609	f105_21_003
f105_21_m0065	f105	21	324	1849	20	10	0.435	0.870	f105_21_007
f105_22_m0066	f105	22	83	1927	7	3	0.130	0.304	f105_22_002
f105_22_m0067	f105	22	43	1934	15	8	0.348	0.652	f105_22_001
f105_24_m0068	f105	24	113	2057	7	4	0.174	0.304	f105_24_002
f105_24_m0069	f105	24	95	2066	6	3	0.130	0.261	f105_24_001
f105_25_m0070	f105	25	359	2118	4	4	0.174	0.174	f105_25_001
f105_25_m0071	f105	25	366	2118	5	4	0.174	0.217	f105_25_001
f105_25_m0072	f105	25	366	2128	9	4	0.174	0.391	f105_25_001
f105_25_m0073	f105	25	410	2129	4	4	0.174	0.174	f105_25_001
f105_25_m0074	f105	25	378	2130	17	3	0.130	0.739	f105_25_001
f105_25_m0075	f105	25	421	2132	23	2	0.087	1.000	f105_25_001
f105_25_m0076	f105	25	492	2132	25	4	0.174	1.087	f105_25_001
f105_25_m0077	f105	25	547	2134	33	3	0.130	1.435	f105_25_001
f105_25_m0078	f105	25	582	2136	6	2	0.087	0.261	f105_25_001
f105_25_m0079	f105	25	595	2136	8	2	0.087	0.348	f105_25_001
f105_25_m0080	f105	25	611	2136	7	2	0.087	0.304	f105_25_001
f105_25_m0081	f105	25	624	2136	5	2	0.087	0.217	f105_25_001
f105_25_m0082	f105	25	634	2136	7	2	0.087	0.304	f105_25_001
f105_25_m0083	f105	25	662	2136	10	2	0.087	0.435	f105_25_001
f106_01_m0001	f106	1	355	85	14	11	0.458	0.583	f106_01_004
f106_04_m0002	f106	4	214	383	8	7	0.292	0.333	f106_04_007
f106_05_m0003	f106	5	279	468	7	6	0.250	0.292	f106_05_010
f106_06_m0004	f106	6	117	541	23	10	0.417	0.958	f106_06_001
f106_06_m0005	f106	6	302	547	6	6	0.250	0.250	f106_06_006
f106_07_m0006	f106	7	112	628	15	9	0.375	0.625	f106_07_001
f106_07_m0007	f106	7	185	640	8	5	0.208	0.333	f106_07_004
f106_08_m0008	f106	8	130	709	20	16	0.667	0.833	f106_08_002
f106_08_m0009	f106	8	245	727	5	3	0.125	0.208	f106_08_005
f106_08_m0010	f106	8	113	731	7	2	0.083	0.292	f106_08_002
f106_08_m0011	f106	8	87	732	5	5	0.208	0.208	f106_08_001
f106_10_m0012	f106	10	274	893	5	4	0.167	0.208	f106_10_008
f106_10_m0013	f106	10	136	896	16	16	0.667	0.667	f106_10_003
f106_10_m0014	f106	10	395	902	8	13	0.542	0.333	f106_10_009
f106_11_m0015	f106	11	502	983	5	6	0.250	0.208	f106_11_011
f106_11_m0016	f106	11	142	986	9	7	0.292	0.375	f106_11_001
f106_14_m0017	f106	14	164	1251	16	13	0.542	0.667	f106_14_003
f106_14_m0018	f106	14	346	1276	8	6	0.250	0.333	f106_14_010
f106_15_m0019	f106	15	299	1373	2	10	0.417	0.083	f106_15_004
f106_15_m0020	f106	15	38	1402	4	5	0.208	0.167	f106_15_001
f106_15_m0021	f106	15	38	1408	4	5	0.208	0.167	f106_15_001
f106_15_m0022	f106	15	505	1413	3	8	0.333	0.125	f106_15_006
f106_16_m0023	f106	16	26	1543	9	16	0.667	0.375	f106_16_001
f106_16_m0024	f106	16	757	1580	6	12	0.500	0.250	f106_16_002
f106_17_m0025	f106	17	28	1812	3	5	0.208	0.125	f106_17_001
f106_17_m0026	f106	17	29	1819	5	6	0.250	0.208	f106_17_001
f106_17_m0027	f106	17	34	1857	2	5	0.208	0.083	f106_17_001
f106_17_m0028	f106	17	815	1902	5	6	0.250	0.208	f106_17_006
f107_01_m0001	f107	1	541	0	10	5	0.244	0.488	f107_01_010
f107_01_m0002	f107	1	553	1	6	4	0.195	0.293	f107_01_010
f107_01_m0003	f107	1	562	0	5	4	0.195	0.244	f107_01_010
f107_01_m0004	f107	1	966	0	5	3	0.146	0.244	f107_01_017
f107_01_m0005	f107	1	6	4	1	8	0.390	0.049	f107_01_001
f107_01_m0006	f107	1	4	25	5	3	0.146	0.244	f107_01_001
f107_01_m0007	f107	1	2	33	6	15	0.732	0.293	f107_01_001
f107_01_m0008	f107	1	10	45	5	2	0.098	0.244	f107_01_001
f107_01_m0009	f107	1	1315	58	11	7	0.341	0.537	f107_01_024
f107_02_m0010	f107	2	79	145	18	16	0.780	0.878	f107_02_003
f107_02_m0011	f107	2	179	147	15	8	0.390	0.732	f107_02_005
