# one row per glossed cipher token whose gloss word aligns letter for letter (or a word sign)
line	pos	token	value	gloss
r02	8	V	i	in
r02	9	U	n	in
r03	1	L	c	cerbes
r03	2	q	e	cerbes
r03	3	R	r	cerbes
r03	4	7	b	cerbes
r03	5	q	e	cerbes
r03	6	P	s	cerbes
r03	8	q	e	et
r03	9	Po	t	et
r03	10	V	i	ibi
r03	11	7	b	ibi
r03	12	V	i	ibi
r03	13	q	e	erant
r03	14	R	r	erant
r03	15	6	a	erant
r03	16	U	n	erant
r03	17	Po	t	erant
r03	18	P	s	simul
r03	19	V	i	simul
r03	20	D	m	simul
r03	21	cc	u	simul
r03	22	9	l	simul
r03	24	SX	=saxo	saxo
r03	25	F	=march	march
r04	1	O	=luneburg	luneburg
r04	3	PW	=mekleburgen	mekleburgen
r04	4	q	e	et
r04	5	Po	t	et
r04	6	D	m	multi
r04	7	cc	u	multi
r04	8	9	l	multi
r04	9	Po	t	multi
r04	10	V	i	multi
r04	11	6	a	alij
r04	12	9	l	alij
r04	13	V	i	alij
r04	14	V	i	alij
r04	15	Y~	=t	t
r04	16	q	e	ego
r04	17	+	g	ego
r04	18	Y	o	ego
r04	19	3	f	filius
r04	20	V	i	filius
r04	21	9	l	filius
r04	22	V	i	filius
r04	23	cc	u	filius
r04	24	P	s	filius
r04	25	PW	=dux	dux
r04	26	O	=delune	de_lune
r05	8	q	e	ego
r05	9	+	g	ego
r05	10	Y	o	ego
r05	17	cc	u	ut
r05	18	Po	t	ut
r06	1	4	p	proposui
r06	2	R2	r	proposui
r06	3	Y	o	proposui
r06	4	4	p	proposui
r06	5	Y	o	proposui
r06	6	P	s	proposui
r06	7	cc	u	proposui
r06	8	V	i	proposui
r06	9	F	=marchio	marchio
r06	10	L	c	commissionem
r06	11	Y	o	commissionem
r06	12	U	m	commissionem
r06	13	D	m	commissionem
r06	14	V	i	commissionem
r06	15	P	s	commissionem
r06	16	P	s	commissionem
r06	17	D	i	commissionem
r06	18	Y	o	commissionem
r06	19	U	n	commissionem
r06	20	q	e	commissionem
r06	21	D	m	commissionem
r06	22	D	m	meam
r06	23	q	e	meam
r06	24	6	a	meam
r06	25	D	m	meam
r07	3	O	=deluneburg	de_luneburg
r07	6	PW	=mekle	mekle
r07	11	F	=marchion	marchion
r08	4	F	=marchio	marchio
r08	5	L	c	cum
r08	6	cc	u	cum
r08	7	D	m	cum
r08	8	6	a	auxilio
r08	9	cc	u	auxilio
r08	10	II	x	auxilio
r08	11	V	i	auxilio
r08	12	9	l	auxilio
r08	13	V	i	auxilio
r08	14	Y	o	auxilio
r08	15	O	=deluneborg	de_luneborg
r08	17	q	e	et
r08	18	Po	t	et
r09	1	PW	=mekleburg	mekleburg
r09	6	3	f	fedus
r09	7	q	e	fedus
r09	8	T	d	fedus
r09	9	cc	u	fedus
r09	10	P	s	fedus
r09	12	L	c	concludatur
r09	13	Y	o	concludatur
r09	14	U	n	concludatur
r09	15	L	c	concludatur
r09	16	9	l	concludatur
r09	17	cc	u	concludatur
r09	18	T	d	concludatur
r09	19	6	a	concludatur
r09	20	Po	t	concludatur
r10	1	cc	u	concludatur
r10	2	R	r	concludatur
r11	3	K	=chrmo	chrmo
r11	8	K	=chro	chro
r12	2	q	e	eos
r12	3	Y	o	eos
r12	4	P	s	eos
r12	5	q	e	et
r12	6	Po	t	et
r12	7	Z	q	qui
r12	8	cc	u	qui
r12	9	V	i	qui
r12	10	V	i	inter
r12	11	U	n	inter
r12	12	Po	t	inter
r12	13	q	e	inter
r12	14	R	r	inter
r12	15	+	g	germanie
r12	16	q	e	germanie
r12	17	R	r	germanie
r12	18	D	m	germanie
r12	19	6	a	germanie
r12	20	U	n	germanie
r12	21	V	i	germanie
r12	22	q	e	germanie
r12	23	4	p	principes
r12	24	R	r	principes
r13	1	V	i	principes
r13	2	U	n	principes
r13	3	L	c	principes
r13	4	V	i	principes
r13	5	4	p	principes
r13	6	q	e	principes
r13	7	P	s	principes
r13	8	6	a	attrahi
r13	9	Po	t	attrahi
r13	10	Po	t	attrahi
r13	11	R	r	attrahi
r13	12	6	a	attrahi
r13	13	Π	h	attrahi
r13	14	V	i	attrahi
r13	15	4	p	possunt
r13	16	Y	o	possunt
r13	17	P	s	possunt
r13	18	P	s	possunt
r13	19	cc	u	possunt
r13	20	U	n	possunt
r13	21	Po	t	possunt
r13	22	3	f	fiat
r13	23	V	i	fiat
r13	24	6	a	fiat
r13	25	Po	t	fiat
r14	1	3	f	fedus
r14	2	q	e	fedus
r14	3	T	d	fedus
r14	4	cc	u	fedus
r14	5	P	s	fedus
r14	7	q	e	et
r14	8	Po	t	et
r14	9	cc	u	unus
r14	10	U	n	unus
r14	11	cc	u	unus
r14	12	P	s	unus
r14	13	6	a	articulus
r14	14	R	r	articulus
r14	15	Po	t	articulus
r14	16	V	i	articulus
r14	17	L	c	articulus
r14	18	cc	u	articulus
r14	19	9	l	articulus
r14	20	cc	u	articulus
r14	21	Po	s	articulus
r14	22	V	i	imponetur
r14	23	U	m	imponetur
r14	24	4	p	imponetur
r15	1	Y	o	imponetur
r15	2	U	n	imponetur
r15	3	q	e	imponetur
r15	4	Po	t	imponetur
r15	5	cc	u	imponetur
r15	6	R	r	imponetur
r15	7	cc	u	ut
r15	8	Po	t	ut
r15	9	U	n	nullus
r15	10	cc	u	nullus
r15	11	9	l	nullus
r15	12	9	l	nullus
r15	13	cc	u	nullus
r15	14	P	s	nullus
r15	15	6	a	alius
r15	16	9	l	alius
r15	17	V	i	alius
r15	18	cc	u	alius
r15	19	P	s	alius
r15	20	V	i	in_istud
r15	21	U	n	in_istud
r15	22	V	i	in_istud
r15	23	P	s	in_istud
r16	1	Po	t	in_istud
r16	2	cc	u	in_istud
r16	3	T	d	in_istud
r16	4	3	f	fedus
r16	5	q	e	fedus
r16	6	T	d	fedus
r16	7	cc	u	fedus
r16	8	P	s	fedus
r16	9	6	a	acceptaretur
r16	10	L	c	acceptaretur
r16	11	L	c	acceptaretur
r16	12	q	e	acceptaretur
r16	13	4	p	acceptaretur
r16	14	Po	t	acceptaretur
r16	15	6	a	acceptaretur
r16	16	R	r	acceptaretur
r16	17	q	e	acceptaretur
r16	18	Po	t	acceptaretur
r16	19	cc	u	acceptaretur
r16	20	R	r	acceptaretur
r16	21	U	n	nisi
r16	22	V	i	nisi
r16	23	P	s	nisi
r16	24	V	i	nisi
r17	1	D	m	maiore
r17	2	6	a	maiore
r17	3	V	i	maiore
r17	4	Y	o	maiore
r17	5	R	r	maiore
r17	6	q	e	maiore
r17	7	4	p	parte
r17	8	6	a	parte
r17	9	R	r	parte
r17	10	Po	t	parte
r17	11	q	e	parte
r17	12	L	c	confederatorum
r17	13	Y	o	confederatorum
r17	14	U	n	confederatorum
r17	15	3	f	confederatorum
r17	16	q	e	confederatorum
r17	17	T	d	confederatorum
r17	18	q	e	confederatorum
r17	19	R	r	confederatorum
r17	20	6	a	confederatorum
r17	21	Po	t	confederatorum
r17	22	Y	o	confederatorum
r17	23	R	r	confederatorum
r17	24	cc	u	confederatorum
r17	25	D	m	confederatorum
r17	26	L	c	consentiente
r17	27	Y	o	consentiente
r17	28	U	n	consentiente
r18	1	P	s	consentiente
r18	2	q	e	consentiente
r18	3	U	n	consentiente
r18	4	P	t	consentiente
r18	5	V	i	consentiente
r18	6	q	e	consentiente
r18	7	U	n	consentiente
r18	8	Po	t	consentiente
r18	9	q	e	consentiente
r18	10	q	e	et
r18	11	Po	t	et
r18	12	Z	q	quem
r18	13	cc	u	quem
r18	14	q	e	quem
r18	15	D	m	quem
r18	22	D	m	maior
r18	23	6	a	maior
r18	24	V	i	maior
r18	25	Y	o	maior
r19	1	R	r	maior
r19	2	4	p	pars
r19	3	6	a	pars
r19	4	R	r	pars
r19	5	P	s	pars
r19	6	6	a	admitteret
r19	7	T	d	admitteret
r19	8	D	m	admitteret
r19	9	V	i	admitteret
r19	10	Po	t	admitteret
r19	11	Po	t	admitteret
r19	12	q	e	admitteret
r19	13	R	r	admitteret
r19	14	q	e	admitteret
r19	15	Po	t	admitteret
r19	19	L	c	consentiret
r19	20	Y	o	consentiret
r19	21	U	n	consentiret
r19	22	P	s	consentiret
r19	23	q	e	consentiret
r19	24	U	n	consentiret
r19	25	Po	t	consentiret
r20	1	V	i	consentiret
r20	2	R	r	consentiret
r20	3	q	e	consentiret
r20	4	Po	t	consentiret
r20	5	cc	u	ut
r20	6	Po	t	ut
r20	7	D	m	minor
r20	8	V	i	minor
