code	value	n_votes	agreement	note
)0	u	2	2/3	majority: u=2, q=1
)1	r	3	3/5	majority: r=3, t=1, o=1
)10	e	1	1/1	unanimous
)2	r	2	2/4	majority: r=2, s=1, p=1
)3	[?]	1	1/2	TIE: t=1, o=1
)4	y	1	1/1	unanimous
)5	e	1	1/1	unanimous
)52	a	1	1/1	unanimous
)6	y	4	4/5	majority: y=4, z=1
)8	a	2	2/5	majority: a=2, l=1, c=1, m=1
)9	b	1	1/1	unanimous
10	s	3	3/6	majority: s=3, e=2, r=1
11	[?]	1	1/2	TIE: a=1, s=1
12	a	2	2/4	majority: a=2, p=1, m=1
13	b	2	2/2	unanimous
14	[?]	1	1/2	TIE: l=1, e=1
15	d	2	2/4	majority: d=2, l=1, y=1
16	e	2	2/4	majority: e=2, n=1, y=1
18	g	1	1/1	unanimous
2	u	1	1/1	unanimous
2)	r	3	3/4	majority: r=3, n=1
20	A	1	1/1	unanimous
21	L	2	2/2	unanimous
21)	n	1	1/1	unanimous
22	M	1	1/1	unanimous
23	r	2	2/6	majority: r=2, M=1, m=1, s=1, n=1
24	[?]	1	1/3	TIE: o=1, i=1, l=1
25	[?]	1	1/3	TIE: a=1, u=1, p=1
26	[?]	1	1/2	TIE: q=1, u=1
28	a	2	2/7	majority: a=2, P=1, s=1, e=1, p=1, t=1
29	[?]	1	1/2	TIE: a=1, t=1
3	o	5	5/5	unanimous
3)	d	3	3/4	majority: d=3, e=1
30	u	2	2/5	majority: u=2, v=1, e=1, g=1
31	[?]	1	1/2	TIE: d=1, x=1
32	y	3	3/4	majority: y=3, e=1
33	[?]	1	1/2	TIE: z=1, n=1
34	[?]	1	1/3	TIE: s=1, d=1, a=1
35	b	2	2/2	unanimous
36	[?]	1	1/3	TIE: c=1, r=1, e=1
36)	e	1	1/1	unanimous
38	e	4	4/5	majority: e=4, n=1
4)	p	2	2/3	majority: p=2, d=1
40	e	1	1/1	unanimous
43	l	2	2/2	unanimous
44	y	1	1/1	unanimous
45	[?]	2	2/5	TIE: n=2, e=2, N=1
46	o	2	2/3	majority: o=2, e=1
49	[?]	1	1/3	TIE: r=1, n=1, u=1
5	[?]	1	1/3	TIE: e=1, s=1, d=1
50	s	4	4/8	majority: s=4, t=1, r=1, q=1, o=1
51	[?]	1	1/3	TIE: t=1, a=1, e=1
52	a	1	1/1	unanimous
54	y	3	3/4	majority: y=3, z=1
55	b	1	1/1	unanimous
56	a	7	7/10	majority: a=7, r=2, v=1
58	j	1	1/1	unanimous
59	d	2	2/4	majority: d=2, o=1, n=1
6	a	4	4/7	majority: a=4, d=1, l=1, i=1
6)	n	2	2/5	majority: n=2, K=1, u=1, o=1
60	e	7	7/11	majority: e=7, en=1, a=1, s=1, n=1
65	[?]	1	1/2	TIE: y=1, a=1
66	e	1	1/1	unanimous
68	o	2	2/2	unanimous
69	s	1	1/1	unanimous
8	o	2	2/3	majority: o=2, p=1
8)	P	1	1/1	unanimous
81	a	2	2/2	unanimous
82	[?]	1	1/2	TIE: e=1, d=1
88	m	1	1/1	unanimous
89	n	5	5/7	majority: n=5, e=1, t=1
9	a	1	1/1	unanimous
90	o	1	1/1	unanimous
93	r	2	2/2	unanimous
94	[?]	1	1/5	TIE: q=1, i=1, s=1, r=1, e=1
95	[?]	1	1/2	TIE: e=1, a=1
96	[?]	1	1/2	TIE: o=1, n=1
98	[?]	1	1/2	TIE: y=1, a=1
99	z	1	1/1	unanimous
[T]	o	1	1/1	unanimous
[X]	e	1	1/1	unanimous
[Z]	y	1	1/1	unanimous
[blot]	[?]	1	1/2	TIE: M=1, E=1
[circle]	r	1	1/1	unanimous
[square]	n	1	1/1	unanimous
[tilde]	A	1	1/1	unanimous
[triangle]	a	1	1/1	unanimous
