code	votes	total	note
)0	{'u': 2, 'q': 1}	3	passB's own gloss glosses this code more than one way across the leaf
)1	{'t': 1, 'r': 3, 'o': 1}	5	passB's own gloss glosses this code more than one way across the leaf
)2	{'s': 1, 'r': 2, 'p': 1}	4	passB's own gloss glosses this code more than one way across the leaf
)3	{'t': 1, 'o': 1}	2	passB's own gloss glosses this code more than one way across the leaf
)6	{'y': 4, 'z': 1}	5	passB's own gloss glosses this code more than one way across the leaf
)8	{'a': 2, 'l': 1, 'c': 1, 'm': 1}	5	passB's own gloss glosses this code more than one way across the leaf
10	{'s': 3, 'e': 2, 'r': 1}	6	passB's own gloss glosses this code more than one way across the leaf
11	{'a': 1, 's': 1}	2	passB's own gloss glosses this code more than one way across the leaf
12	{'a': 2, 'p': 1, 'm': 1}	4	passB's own gloss glosses this code more than one way across the leaf
14	{'l': 1, 'e': 1}	2	passB's own gloss glosses this code more than one way across the leaf
15	{'l': 1, 'd': 2, 'y': 1}	4	passB's own gloss glosses this code more than one way across the leaf
16	{'n': 1, 'e': 2, 'y': 1}	4	passB's own gloss glosses this code more than one way across the leaf
2)	{'r': 3, 'n': 1}	4	passB's own gloss glosses this code more than one way across the leaf
23	{'m': 2, 'r': 2, 's': 1, 'n': 1}	6	passB's own gloss glosses this code more than one way across the leaf
24	{'o': 1, 'i': 1, 'l': 1}	3	passB's own gloss glosses this code more than one way across the leaf
25	{'a': 1, 'u': 1, 'p': 1}	3	passB's own gloss glosses this code more than one way across the leaf
26	{'q': 1, 'u': 1}	2	passB's own gloss glosses this code more than one way across the leaf
28	{'p': 2, 's': 1, 'e': 1, 'a': 2, 't': 1}	7	passB's own gloss glosses this code more than one way across the leaf
29	{'a': 1, 't': 1}	2	passB's own gloss glosses this code more than one way across the leaf
3)	{'e': 1, 'd': 3}	4	passB's own gloss glosses this code more than one way across the leaf
30	{'u': 2, 'v': 1, 'e': 1, 'g': 1}	5	passB's own gloss glosses this code more than one way across the leaf
31	{'d': 1, 'x': 1}	2	passB's own gloss glosses this code more than one way across the leaf
32	{'y': 3, 'e': 1}	4	passB's own gloss glosses this code more than one way across the leaf
33	{'z': 1, 'n': 1}	2	passB's own gloss glosses this code more than one way across the leaf
34	{'s': 1, 'd': 1, 'a': 1}	3	passB's own gloss glosses this code more than one way across the leaf
36	{'c': 1, 'r': 1, 'e': 1}	3	passB's own gloss glosses this code more than one way across the leaf
38	{'e': 4, 'n': 1}	5	passB's own gloss glosses this code more than one way across the leaf
4)	{'p': 2, 'd': 1}	3	passB's own gloss glosses this code more than one way across the leaf
45	{'n': 3, 'e': 2}	5	passB's own gloss glosses this code more than one way across the leaf
46	{'o': 2, 'e': 1}	3	passB's own gloss glosses this code more than one way across the leaf
49	{'r': 1, 'n': 1, 'u': 1}	3	passB's own gloss glosses this code more than one way across the leaf
5	{'e': 1, 's': 1, 'd': 1}	3	passB's own gloss glosses this code more than one way across the leaf
50	{'t': 1, 's': 4, 'r': 1, 'q': 1, 'o': 1}	8	passB's own gloss glosses this code more than one way across the leaf
51	{'t': 1, 'a': 1, 'e': 1}	3	passB's own gloss glosses this code more than one way across the leaf
54	{'y': 3, 'z': 1}	4	passB's own gloss glosses this code more than one way across the leaf
56	{'a': 7, 'r': 2, 'v': 1}	10	passB's own gloss glosses this code more than one way across the leaf
59	{'d': 2, 'o': 1, 'n': 1}	4	passB's own gloss glosses this code more than one way across the leaf
6	{'d': 1, 'a': 4, 'l': 1, 'i': 1}	7	passB's own gloss glosses this code more than one way across the leaf
6)	{'n': 2, 'k': 1, 'u': 1, 'o': 1}	5	passB's own gloss glosses this code more than one way across the leaf
60	{'en': 1, 'e': 7, 'a': 1, 's': 1, 'n': 1}	11	passB's own gloss glosses this code more than one way across the leaf
65	{'y': 1, 'a': 1}	2	passB's own gloss glosses this code more than one way across the leaf
8	{'o': 2, 'p': 1}	3	passB's own gloss glosses this code more than one way across the leaf
82	{'e': 1, 'd': 1}	2	passB's own gloss glosses this code more than one way across the leaf
89	{'n': 5, 'e': 1, 't': 1}	7	passB's own gloss glosses this code more than one way across the leaf
94	{'q': 1, 'i': 1, 's': 1, 'r': 1, 'e': 1}	5	passB's own gloss glosses this code more than one way across the leaf
95	{'e': 1, 'a': 1}	2	passB's own gloss glosses this code more than one way across the leaf
96	{'o': 1, 'n': 1}	2	passB's own gloss glosses this code more than one way across the leaf
98	{'y': 1, 'a': 1}	2	passB's own gloss glosses this code more than one way across the leaf
[blot]	{'m': 1, 'e': 1}	2	passB's own gloss glosses this code more than one way across the leaf
