briefnr/src	page	content	cipher_design	hand	note
8246	1	clear German opening then cipher	German nomenclator: doubled/tripled letters (aa, cc, dd, hs, xr, aaa) mixed with 2-digit numbers, occasional overline diacritics and a theta-like symbol	secretary	target letter, "to Gunther", Brussel, 2 May 1561 (editorial date)
8246	2	cipher, full page	same design, denser (values up to ~101, symbols incl. "4000", overlined letters)	secretary	no clear-text breaks
8246	3	cipher then clear closing + autograph signature	same design	secretary + autograph	closes "...guten nacht und alles guts zu wunschen", signed "Guillaum[e] Prince d'Orange" area (French/mixed sign-off)
5109	1	clear German prose, no cipher visible	n/a	secretary	sibling, "de editie met oplossing" per WVO; to Gunther, 24 March 1561 (per Japikse's printed heading, confirmed by content match -- see NOTES.md)
5109	2	clear German prose, no cipher visible	n/a	secretary
5109	3	clear German prose, no cipher visible	n/a	secretary	page numbered "25" (archival/quire number) top right
5109	4	clear German prose, no cipher visible	n/a	secretary
5109	5	clear German prose, no cipher visible, page numbered "26" top right	n/a	secretary
5109	6	CIPHER -- the letter's only ciphered passage	same repertoire as 8246: doubled letters, 2-3 digit numbers (values seen up to ~101), a "+" mark	secretary	*** this is the passage the printed edition's own footnote says "ist im Original mit Ziffern eingeschrieben... von dem Prinzen selbst" -- see NOTES.md major flag ***
5109	7	PRINTED EDITION PAGE bundled in the same PDF -- Japikse p.231 (continuation of letter 236, deciphered plaintext beginning "ursachen mir E.L. schreiben...")	n/a (print)	print	*** same page already independently fetched from the retroboeken viewer as japikse_p231.jpg -- confirms the WVO scan already contains it, see NOTES.md ***
5109	8	PRINTED EDITION PAGE, Japikse p.232 -- carries the footnote "Het nu volgende onbreekt in de minuut en is dus door den Prins zelf in cijferschrift ingelascht" (the following is missing from the draft and was thus inserted in cipher by the Prince himself) immediately before the plaintext of the ciphered passage, printed in spaced-out type from "Der v(on) Egmont hat mich gefragt..."	n/a (print)	print	*** the exact plaintext of 05109_p6's ciphertext -- a ready-made alignment pair, see NOTES.md major flag ***
5109	9	PRINTED EDITION PAGE, Japikse p.233 -- plaintext continues in spaced-out type ("...b e n , d e s i n h a l t...") then reverts to normal type and closes the letter	n/a (print)	print	spaced-type portion is the tail of the deciphered passage
japikse (retroboeken)	229	PRINTED EDITION PAGE, p.229 -- end of a preceding letter (Lettre to Anna van Saksen)	n/a (print)	print	context page, fetched to bound the search before page 230 was found to start letter 236
japikse (retroboeken)	230	PRINTED EDITION PAGE, p.230 -- end of the preceding letter, then heading "236. Aan Gunther, graaf van Schwarzburg. 24 Maart 1561." begins	n/a (print)	print	same page as 05109_p7's predecessor -- letter 236's own start, matches WVO 5109's citation "de minuut is op 22/23 maart gedateerd" via footnote 4 on this page
japikse (retroboeken)	231	duplicate of 05109_p7	n/a (print)	print	fetched independently via the retroboeken pages.json route before finding it already bundled in 5109's own PDF -- see NOTES.md route note
japikse (retroboeken)	232	duplicate of 05109_p8	n/a (print)	print	as above
japikse (retroboeken)	233	duplicate of 05109_p9; letter to Gunther ends here and a new letter to August, keurvorst van Saksen, 25 Maart 1561, begins	n/a (print)	print	bounds the end of the Gunther letter; the html-extracted heading number for this next letter read back as "236" again, same as the Gunther letter's own heading on p.230 -- almost certainly an OCR/extraction misread of consecutive numbers (e.g. 236/237), not independently verified against the page image's numerals
japikse (retroboeken)	234	PRINTED EDITION PAGE, p.234 -- continuation of the August van Saksen letter (not Gunther)	n/a (print)	print	fetched only to confirm letter 236 does not continue past p.233; not otherwise relevant to this target
