line	position	code	confidence	left_context	right_context
0032_L1	2	70	H	Extraict,	56.
0032_L1	3	56	H	Extraict, 70.	10.
0032_L1	4	10	H	70. 56.	28.
0032_L1	5	28	H	56. 10.	D.39.
0032_L1	6	D.39	M	10. 28.	27:
0032_L1	7	27	H	28. D.39.	91.
0032_L1	8	91	M	D.39. 27:	79.
0032_L1	9	79	H	27: 91.	24.
0032_L1	10	24	H	91. 79.	16.
0032_L1	11	16	L	79. 24.	30.
0032_L1	12	30	H	24. 16.
0032_L2	2	115	H	af	S.13.
0032_L2	3	S.13	M	af 115.	15.
0032_L2	4	15	H	115. S.13.	35.
0032_L2	5	35	H	S.13. 15.	22.
0032_L2	6	22	M	15. 35.	78.
0032_L2	7	78	H	35. 22.	63.
0032_L2	8	63	H	22. 78.	Vom
0032_L3	1	248	H		solte
0032_L3	5	56.G	M	solte billig das	22.
0032_L3	6	22	M	das 56.G.	O.16.
0032_L3	7	O.16	L	56.G. 22.	26.
0032_L3	8	26	H	22. O.16.	21.
0032_L3	9	21	M	O.16. 26.	29.
0032_L3	10	29	H	26. 21.	22.
0032_L3	11	22	M	21. 29.	Weil
0032_L3	13	129	M	29. 22. Weil	27.
0032_L3	14	27	H	22. Weil 129.	79.
0032_L3	15	79	H	Weil 129. 27.	30.
0032_L3	16	30	H	129. 27. 79.	12.
0032_L3	17	12	M	27. 79. 30.	56.
0032_L3	18	56	H	79. 30. 12.	70.
0032_L3	19	70	H	30. 12. 56.	15.
0032_L3	20	15	H	12. 56. 70.	90.
0032_L3	21	90	M	56. 70. 15.	32.
0032_L3	22	32	H	70. 15. 90.	16.
0032_L3	23	16	L	15. 90. 32.	65.
0032_L3	24	65	H	90. 32. 16.	22.
0032_L3	25	22	M	32. 16. 65.	48.W
0032_L3	26	48.W	M	16. 65. 22.	Und also
0032_L4	7	22	M	ist aber doch nicht das sein	11.
0032_L4	8	11	H	...sein 22.	D.26.
0032_L4	9	D.26	M	22. 11.	29.
0032_L4	10	29	H	11. D.26.	69.
0032_L4	11	69	H	D.26. 29.	16.
0032_L4	12	16	L	29. 69.	15.
0032_L4	13	15	H	69. 16.	13.
0032_L4	14	13	H	16. 15.	48.
0032_L4	15	48	H	15. 13.	19.
0032_L4	16	19	H	13. 48.	K.97.
0032_L4	17	K.97	M	48. 19.	77.
0032_L4	18	77	H	19. K.97.	90.
0032_L4	19	90	M	K.97. 77.	58.
0032_L4	20	58	H	77. 90.	21.
0032_L4	21	21	M	90. 58.	35.
0032_L4	22	35	H	58. 21.	B.63.
0032_L4	23	B.63	M	21. 35.	also
0032_L4	25	70	H	35. B.63. also	V.G.44.
0032_L4	26	V.G.44	L	B.63. also 70.	52.
0032_L4	27	52	H	also 70. V.G.44.	64.
0032_L4	28	64	H	70. V.G.44. 52.	37.
0032_L4	29	37	H	V.G.44. 52. 64.	70.
0032_L4	30	70	H	52. 64. 37.	W.16.
0032_L4	31	W.16	L	64. 37. 70.
0032_L5	1	65	H		47.
0032_L5	2	47	H	65.	22.
0032_L5	3	22	M	65. 47.	26.
0032_L5	4	26	H	47. 22.	79.
0032_L5	5	79	H	22. 26.	30.
0032_L5	6	30	H	26. 79.	57.
0032_L5	7	57	H	79. 30.	10.
0032_L5	8	10	H	30. 57.	16.
0032_L5	9	16	L	57. 10.	15.
0032_L5	10	15	H	10. 16.	y[?]
0032_L5	11	y[?]	L	16. 15.	94.
0032_L5	12	94	H	15. y[?].	24.
0032_L5	13	24	H	y[?]. 94.	35.
0032_L5	14	35	H	94. 24.	42.
0032_L5	15	42	M	24. 35.	155.
0032_L5	16	155	M	35. 42.	13.
0032_L5	17	13	H	42. 155.	48.
0032_L5	18	48	H	155. 13.	15.
0032_L5	19	15	H	13. 48.	70.
0032_L5	20	70	H	48. 15.	F.[?]
0032_L5	25	118	M	daß fällt	13.
0032_L5	26	13	H	fällt 118.	16.
0032_L5	27	16	L	118. 13.	22.
0032_L5	28	22	M	13. 16.	54.
0032_L5	29	54	H	16. 22.	48.
0032_L5	30	48	H	22. 54.	78.
0032_L5	31	78	H	54. 48.	63.
0032_L5	32	63	H	48. 78.	24.
0032_L5	33	24	H	78. 63.	B.[?]
0032_L6	3	12	M	Und nehmen	30.
0032_L6	4	30	H	Und nehmen 12.	Nr:
0032_L6	6	22	M	12. 30. Nr:	26.
0032_L6	7	26	H	30. Nr: 22.	90.
0032_L6	8	90	M	Nr: 22. 26.	30.
0032_L6	9	30	H	22. 26. 90.	73.
0032_L6	10	73	H	26. 90. 30.	91.
0032_L6	11	91	M	90. 30. 73.	48.
0032_L6	12	48	H	30. 73. 91.	25.
0032_L6	13	25	H	73. 91. 48.	60.
0032_L6	14	60	H	91. 48. 25.	sein sonders,
0032_L7	8	155	M	dass ist gut der apparent daß	mit fließt X.X. oder
0032_L8	1	64	H		22.
0032_L8	2	22	M	64.	26.
0032_L8	3	26	H	64. 22.	16.
0032_L8	4	16	L	22. 26.	30.
0032_L8	5	30	H	26. 16.	21.
0032_L8	6	21	M	16. 30.	70.
0032_L8	7	70	H	30. 21.	15.
0032_L8	8	15	H	21. 70.	26.
0032_L8	9	26	H	70. 15.	16.
0032_L8	10	16	L	15. 26.	44.
0032_L8	11	44	H	26. 16.	Und damit
0032_L8	17	12	M	exfahret nach	70.
0032_L8	18	70	H	nach 12.	15.
0032_L8	19	15	H	12. 70.	90.
0032_L8	20	90	M	70. 15.	zusehen; das
0032_L9	4	133	M	liance gefloßen, wirdt	16.
0032_L9	5	16	L	wirdt 133.	22.
0032_L9	6	22	M	133. 16.	26.
0032_L9	7	26	H	16. 22.	15.
0032_L9	8	15	H	22. 26.	11.
0032_L9	9	11	H	26. 15.	D.10.
0032_L9	10	D.10	M	15. 11.	30.
0032_L9	11	30	H	11. D.10.	48.
0032_L9	12	48	H	D.10. 30.	D.79.
