0032_L0	Extrait 70. 56. 10. 28. D.39. 27: 91. 79. 24. 16. 30. schreibt auf 115. S. 13. 15. 35. 22. 98. 63. dem [16]. den [26]. Mart. [1637].
0032_L1	[Jhr?] Brandenburgisch mag [ihm?] doch schreiben daß der Hertzog von Parma ihn was mus [terminirt?]
0032_L2	Platz [dem?] Hertzog von Medina Vicroy vor Sicilien in sonderheit sein alles [?] Sainct [Dietta?] im [Bischoff?] importanten
0032_L3	Parma [Sonderlich?] [?en] Italianer [ansaess?] Platz mit nicht officiren in guarnison [??] wieders fallen
0032_L4	[Der?] Papst leichtglaeubig [ist?] das [Fried?] fasst im acht zunehmen die Brandenburgisch daß [nicht?]
0032_L5	eist [?] Herr [?] viel meritiret ihm dient mit folgen ihn gefiel das encouragiren so viel den zu standt
0032_L6	248. Soll die [belieg?] das 56. G.22. O.16. 26. 21. 29. 22 weil 129. 27. 79. 30. 1250. 15. 90. 32. 16. 65. 22. 98. W. [??] auch
0032_L7	ist aber [?] auf ist das [ihm?] 22. 11. D.26. 29. 69. 16. 15. 13. 98. 19. K.97. 77. 90. 58. 21. 35. B.63. als 70. Y.G.44. 57. 64. 37. 70. W.26.
0032_L8	[?] [?] von [Brandenburgisch] Roemern [?] [verlegt?] mas wir 188. das gut Contentement zu geben
0032_L9	abziehen doch ist gut der apparent das 133. mit [gefiel?] X.X. oder DIAMOND nach G.G. genannt
0032_L10	62. 22. 26. 16. 30. 21. 70. 15. 26. 16. 44. Und [Amit?] [einigt?] ex[laret?] nach 12. 70. 15. 90. [??] die [Extral?]
0032_L11	[Harce?] gross[er?] [?] 133. 16. 22. 26. 15. 11. D.10. 30. 98. D.79. 63. mit [55?] soll [vermoeg?] deren selbst zunehst
0032_L12	69. 42. 28. 12. 30. 57. 66. 26. dri: X.69. B.90. 126. O.93. P.[?] das [??] [??] Commission [??] [?]angl[?]
