page	block	line	pos	token
0003	postscript	1	1	79
0003	postscript	1	2	74
0003	postscript	1	3	36
0003	postscript	1	4	7
0003	postscript	1	5	22
0003	postscript	1	6	73
0003	postscript	1	7	N
0003	postscript	1	8	52
0003	postscript	1	9	Y
0003	postscript	1	10	94
0003	postscript	1	11	27
0003	postscript	1	12	39
0003	postscript	1	13	13
0003	postscript	1	14	57
0003	postscript	1	15	55
0003	postscript	1	16	83
0003	postscript	1	17	77
0003	postscript	2	1	95
0003	postscript	2	2	D
0003	postscript	2	3	10
0003	postscript	2	4	Y
0003	postscript	2	5	42
0003	postscript	2	6	92
0003	postscript	2	7	35
0003	postscript	2	8	44
0003	postscript	2	9	11
0003	postscript	2	10	43
0003	postscript	2	11	58
0003	postscript	2	12	93
0003	postscript	2	13	63
0003	postscript	2	14	88
0003	postscript	2	15	63
0003	postscript	2	16	43
0003	postscript	2	17	49
0003	postscript	2	18	65
0003	postscript	2	19	63
0003	postscript	3	1	55
0003	postscript	3	2	83
0003	postscript	3	3	29
0003	postscript	3	4	84
0003	postscript	3	5	91
0003	postscript	3	6	61
0003	postscript	3	7	18
0003	postscript	3	8	48
0003	postscript	3	9	27
0003	postscript	3	10	16
0003	postscript	3	11	22
0003	postscript	3	12	27
0003	postscript	3	13	84
0003	postscript	3	14	97
0003	postscript	3	15	50
0003	postscript	3	16	97
0003	postscript	3	17	95
0003	postscript	3	18	27
0003	postscript	3	19	79
0003	postscript	3	20	11
0003	postscript	3	21	58
0003	postscript	3	22	21
0003	postscript	3	23	30
0003	postscript	3	24	70
0003	postscript	3	25	19
0003	postscript	3	26	60
0003	postscript	3	27	87
0003	postscript	3	28	94
0003	postscript	3	29	16
0003	postscript	3	30	31
0003	postscript	4	1	77
0003	postscript	4	2	39
0003	postscript	4	3	99
0003	postscript	4	4	58
0003	postscript	4	5	71
0003	postscript	4	6	42
0003	postscript	4	7	80
0003	postscript	4	8	35
0003	postscript	4	9	44
0003	postscript	4	10	32
0003	postscript	4	11	71
0003	postscript	4	12	19
0003	postscript	4	13	94
0003	postscript	4	14	58
0003	postscript	4	15	56
0003	postscript	4	16	24
0003	postscript	4	17	35
0003	postscript	4	18	65
0003	postscript	4	19	H
0003	postscript	4	20	29
0003	postscript	4	21	16
0003	postscript	4	22	74
0003	postscript	4	23	39
0003	postscript	4	24	83
0003	postscript	4	25	26
0003	postscript	4	26	79
0003	postscript	4	27	44
0003	postscript	5	1	83
0003	postscript	5	2	90
0003	postscript	5	3	X
0003	postscript	5	4	128
0003	postscript	5	5	74
0003	postscript	5	6	73
0003	postscript	5	7	H
0003	postscript	5	8	66
0003	postscript	5	9	38
0003	postscript	5	10	36
0003	postscript	5	11	94
0003	postscript	5	12	11
0003	postscript	5	13	30
0003	postscript	5	14	84
0003	postscript	5	15	176
0003	postscript	5	16	37
0003	postscript	5	17	66
0003	postscript	5	18	97
0003	postscript	5	19	94
0003	postscript	5	20	73
0003	postscript	5	21	22
0003	postscript	5	22	79
0003	postscript	5	23	140
0003	postscript	5	24	31
0003	postscript	5	25	11
0003	postscript	5	26	26
0003	postscript	6	1	39
0003	postscript	6	2	31
0003	postscript	6	3	50
0003	postscript	6	4	70
0003	postscript	6	5	22
0003	postscript	6	6	54
0003	postscript	6	7	16
0003	postscript	6	8	22
0003	postscript	6	9	90
0003	postscript	6	10	71
0003	postscript	6	11	930
0003	postscript	6	12	55
0003	postscript	6	13	19
0003	postscript	6	14	26
0003	postscript	6	15	11
0003	postscript	6	16	36
0003	postscript	6	17	79
0003	postscript	6	18	31
0003	postscript	6	19	S
0003	postscript	6	20	23
0003	postscript	6	21	32
0003	postscript	6	22	36
0003	postscript	6	23	74
0003	postscript	6	24	79
0003	postscript	6	25	56
0003	postscript	6	26	36
0003	postscript	6	27	26
0003	postscript	7	1	40
0003	postscript	7	2	11
0003	postscript	7	3	54
0003	postscript	7	4	84
0003	postscript	7	5	57
0003	postscript	7	6	52
0003	postscript	7	7	71
0003	postscript	7	8	54
0003	postscript	7	9	O
0003	postscript	7	10	48
0003	postscript	7	11	7
0003	postscript	7	12	61
0003	postscript	7	13	26
0003	postscript	7	14	29
0003	postscript	7	15	55
0003	postscript	7	16	30
0003	postscript	7	17	91
0003	postscript	7	18	36
0003	postscript	7	19	16
0003	postscript	7	20	15
0003	postscript	7	21	32
0003	postscript	7	22	79
0003	postscript	7	23	30
0003	postscript	7	24	73
0003	postscript	7	25	18
0003	postscript	7	26	49
0003	postscript	7	27	43
0003	postscript	7	28	61
0003	postscript	7	29	63
0003	postscript	8	1	20
0003	postscript	8	2	84
0003	postscript	8	3	L
0003	postscript	8	4	90
0003	postscript	8	5	29
0003	postscript	8	6	20
0003	postscript	8	7	21
0003	postscript	8	8	73
0003	postscript	8	9	N
0003	postscript	8	10	83
0003	postscript	8	11	4
0003	postscript	8	12	26
0003	postscript	8	13	36
0003	postscript	8	14	43
0003	postscript	8	15	77
0003	postscript	8	16	Y
0003	postscript	8	17	83
