page	line	idx	group	left_context	right_context	doubt
2	22	1	15	Quant aux		
2	22	2	16			
2	22	3	22			
2	22	4	23			
2	22	5	1			
2	22	6	10			
2	22	7	3			
2	22	8	14			
2	22	9	5			
2	22	10	10			
2	22	11	11			
2	22	12	11			
2	22	13	13			
2	22	14	14			
2	22	15	3			
2	22	16	15			
2	22	17	19			
2	22	18	12			
2	22	19	15			
2	22	20	6			M
2	22	21	19			
2	22	22	14		Je ny ay remarque	
2	24	1	10	et		
2	24	2	16^			
2	24	3	14			
2	24	4	7			
2	24	5	17			
2	24	6	22			
2	24	7	10			
2	24	8	2			
2	24	9	1			
2	24	10	12			
2	24	11	19			
2	24	12	24			M
2	24	13	14			
2	24	14	20			
2	24	15	[mark]			M
2	24	16	2^			
2	24	17	6			
2	24	18	17^			
2	24	19	20^			
2	24	20	11			
2	24	21	8			
2	24	22	11^			
2	24	23	6			
2	24	24	1			
2	24	25	2			
2	24	26	20			
2	25	27	9^			
2	25	28	9			
2	25	29	14^			
2	25	30	3			
2	25	31	20			
2	25	32	14			
2	25	33	5			
2	25	34	15			
2	25	35	10		Et quoy qu'il se face	
2	26	1	24	quelle		
2	26	2	1			
2	26	3	2			
2	26	4	11			
2	26	5	21			
2	26	6	18			M
2	26	7	3			
2	26	8	9			M
2	27	9	24			
2	27	10	21			
2	27	11	6			
2	27	12	10			
2	27	13	20			
2	27	14	16			
2	27	15	4			
2	27	16	7			
2	27	17	11			
2	27	18	17			
2	27	19	18			M
2	27	20	16			M
2	27	21	12			
2	27	22	15			
2	28	23	7			M
2	28	24	10			
2	28	25	23			
2	28	26	16			
2	28	27	3			
2	28	28	11			
2	28	29	19			
2	28	30	3			
2	28	31	5			
2	28	32	1			
2	28	33	16			
2	28	34	1			
2	29	35	16			
2	29	36	10			
2	29	37	7			
2	29	38	23			
2	29	39	17			
2	29	40	24			
2	29	41	24			
2	29	42	12			
2	29	43	16			
2	29	44	10			
2	29	45	8			M
2	29	46	18			M
2	29	47	10			M
2	29	48	8			M
2	29	49	8			M
2	29	50	16			
2	29	51	4			
2	29	52	6			
2	29	53	8			
2	29	54	22			
2	29	55	24			
2	29	56	4		Il ne peult	
3	5	1	8	de		
3	5	2	16			
3	5	3	9			
3	5	4	21			
3	5	5	5			
3	5	6	10			
3	5	7	10			
3	5	8	[mark]			M
3	5	9	1			
3	5	10	16			
3	5	11	19			
3	5	12	1			
3	5	13	13			
3	5	14	8			
3	5	15	10			
3	5	16	[mark]			M
3	5	17	2			
3	5	18	12			
3	5	19	9			
3	5	20	20			
3	5	21	21			
3	6	22	8			
3	6	23	2			
3	6	24	[mark]15			M
3	6	25	8			
3	6	26	10			
3	6	27	12			
3	6	28	5			
3	6	29	9			
3	6	30	12			
3	6	31	[mark]			M
3	6	32	18			
3	6	33	14			
3	6	34	24			
3	6	35	17			
3	6	36	21			
3	6	37	10			
3	6	38	12			
3	6	39	[mark]		de vre Seigneurie, serait bon de	M
3	7	1	1	Luy escripre		
3	7	2	16			
3	7	3	7			
3	7	4	17			
3	7	5	2			
3	7	6	6			
3	7	7	10^			
3	7	8	[mark]			M
3	7	9	10			
3	7	10	3			
3	7	11	9			
3	7	12	21			
3	7	13	23			
3	7	14	5			
3	7	15	3			
3	7	16	[mark]			M
3	7	17	2			
3	7	18	13			
3	7	19	23			
3	7	20	5			
3	7	21	1			
3	7	22	10			
3	7	23	8			
3	7	24	[mark]			M
3	7	25	24		20.8.9.9. (next line)	
3	8	1	20	8.[mark]24. (prev line)		
3	8	2	8			
3	8	3	9^			
3	8	4	9^		ou Il y eust quelque chose	
3	8	1	13	chose		
3	8	2	7			
3	8	3	22			
3	8	4	3			
3	8	5	8			
3	8	6	4			
3	8	7	14			
3	8	8	[mark]11			M
3	8	9	19			
3	8	10	7			
3	8	11	15			
3	8	12	17		Car les aultres estans	
