page	line	idx	group	left_context	right_context	doubt	margin_note
2	1	1	7	on pourra			Justifier le faict du(?) grand
2	1	2	8				Justifier le faict du(?) grand
2	1	3	2				Justifier le faict du(?) grand
2	1	4	11				Justifier le faict du(?) grand
2	1	5	10^				Justifier le faict du(?) grand
2	1	6	19				Justifier le faict du(?) grand
2	1	7	14				Justifier le faict du(?) grand
2	1	8	12				Justifier le faict du(?) grand
2	1	9	9				Justifier le faict du(?) grand
2	2	10	3			M	Justifier le faict du(?) grand
2	2	11	07				Justifier le faict du(?) grand
2	2	12	4				Justifier le faict du(?) grand
2	2	13	14~				Justifier le faict du(?) grand
2	2	14	4^				Justifier le faict du(?) grand
2	2	15	8				Justifier le faict du(?) grand
2	2	16	11				Justifier le faict du(?) grand
2	2	17	2				Justifier le faict du(?) grand
2	2	18	4				Justifier le faict du(?) grand
2	2	19	07				Justifier le faict du(?) grand
2	2	20	11				Justifier le faict du(?) grand
2	2	21	24				Justifier le faict du(?) grand
2	2	22	3				Justifier le faict du(?) grand
2	2	23	9				Justifier le faict du(?) grand
2	3	24	2				Justifier le faict du(?) grand
2	3	25	17^				Justifier le faict du(?) grand
2	3	26	5				Justifier le faict du(?) grand
2	3	27	11		Ce seroit un grand poinct		Justifier le faict du(?) grand
2	4	1	10	Et que			N.c.f.(?)
2	4	2	8				N.c.f.(?)
2	4	3	2				N.c.f.(?)
2	4	4	10				N.c.f.(?)
2	4	5	5				N.c.f.(?)
2	4	6	7				N.c.f.(?)
2	5	7	9				N.c.f.(?)
2	5	8	07				N.c.f.(?)
2	5	9	4				N.c.f.(?)
2	5	10	10^				N.c.f.(?)
2	5	11	8^				N.c.f.(?)
2	5	12	9				N.c.f.(?)
2	5	13	07~~				N.c.f.(?)
2	5	14	4				N.c.f.(?)
2	5	15	7				N.c.f.(?)
2	5	16	1				N.c.f.(?)
2	5	17	3^				N.c.f.(?)
2	5	18	12		Je me suis pris aux effaictz		N.c.f.(?)
