line	pos	sign	conf	left	right	margin_note
p2L6	1	7		on pouoit		Justifier le fruict [?] grand(?)
p2L6	2	8
p2L6	3	2^
p2L6	4	11
p2L6	5	10
p2L6	6	19
p2L6	7	14
p2L6	8	12
p2L6	9	9~	M
p2L7	1	3
p2L7	2	07
p2L7	3	4
p2L7	4	14~	M
p2L7	5	4^
p2L7	6	8
p2L7	7	11
p2L7	8	2^
p2L7	9	4
p2L7	10	07
p2L7	11	11
p2L7	12	4
p2L7	13	3
p2L7	14	9~	M
p2L8	1	2^
p2L8	2	17^
p2L8	3	5
p2L8	4	11			Ce seroit
p2L10	1	10		que		N.f.G.f.(?)
p2L10	2	8^
p2L10	3	2
p2L10	4	10
p2L10	5	5
p2L10	6	7^
p2L11	1	9
p2L11	2	07
p2L11	3	4
p2L11	4	10^
p2L11	5	8^
p2L11	6	9
p2L11	7	07
p2L11	8	[mark]	M
p2L11	9	4
p2L11	10	7
p2L11	11	1
p2L11	12	5^
p2L11	13	12			Je me suis
