line	pos	group	conf	alt	note
p2L22	1	15	H		
p2L22	2	16	H		
p2L22	3	22	H		
p2L22	4	23	H		
p2L22	5	1	H		
p2L22	6	10	H		
p2L22	7	3	H		
p2L22	8	14	H		
p2L22	9	5	H		
p2L22	10	10~	M	B:16/C:10	digit majority 10, mark disputed
p2L22	11	11	H		
p2L22	12	11^	M	C:11	literal majority
p2L22	13	13	H		
p2L22	14	14	M	B:14^	literal majority
p2L22	15	3	M	B:[mark]3	literal majority
p2L22	16	15	M	B:15^	literal majority
p2L22	17	17	M	C:19	literal majority
p2L22	18	12	H		
p2L22	19	15	H		
p2L22	20	6	H		
p2L22	21	19	H		
p2L22	22	14	H		
p2L24	1	10	H		
p2L24	2	16^	H		
p2L24	3	14	H		
p2L24	4	7	H		
p2L24	5	17	H		
p2L24	6	22	H		
p2L24	7	10	H		
p2L24	8	2	M	A:2~	literal majority
p2L24	9	1	H		
p2L24	10	12	H		
p2L24	11	19^	M	C:19	literal majority
p2L24	12	24^	M	B:29^/C:24	digit majority 24, mark disputed
p2L24	13	14	H		
p2L24	14	20	H		
p2L24	15	2^	H		
p2L24	16	6	H		
p2L24	17	17	M	C:17^	literal majority
p2L24	18	20^	H		
p2L24	19	11	M	A:11^	literal majority
p2L24	20	8	H		
p2L24	21	11	M	C:11^	literal majority
p2L24	22	6	H		
p2L24	23	1	H		
p2L24	24	2	H		
p2L24	25	20	H		
p2L25	1	9^	H		
p2L25	2	9	H		
p2L25	3	14^	H		
p2L25	4	3	H		
p2L25	5	20	H		
p2L25	6	14	H		
p2L25	7	5	H		
p2L25	8	15	H		
p2L25	9	10	H		
p2L26	1	24	H		
p2L26	2	1	H		
p2L26	3	2	H		
p2L26	4	11	H		
p2L26	5	21	H		
p2L26	6	10	M	C:18	literal majority
p2L26	7	3	H		
p2L26	8	4	H		
p2L27	1	29^	H		
p2L27	2	12	M	C:9	literal majority
p2L27	3	24	H		
p2L27	4	21	H		
p2L27	5	6	H		
p2L27	6	10	H		
p2L27	7	20	H		
p2L27	8	16	M	B:[mark]16	literal majority
p2L27	9	4	H		
p2L27	10	7^	M	C:7	literal majority
p2L27	11	11	H		
p2L27	12	17	H		
p2L27	13	10	M	C:18	literal majority
p2L27	14	16	H		
p2L27	15	[mark]	M		only A read this line
p2L27	16	12	M	B:[mark]12	literal majority
p2L27	17	15	H		
p2L27	18	7^	M	C:7	literal majority
p2L27	19	10	H		
p2L27	20	23^	M	C:23	literal majority
p2L27	21	16	H		
p2L27	22	3	H		
p2L27	23	11^	M	C:11	literal majority
p2L27	24	19	H		
p2L27	25	3	H		
p2L27	26	5	H		
p2L27	27	1	H		
p2L27	28	16^	M	B:10/C:16	digit majority 16, mark disputed
p2L27	29	1	H		
p2L28	1	16	H		
p2L28	2	10^	M	C:10	literal majority
p2L28	3	7	H		
p2L28	4	23^	M	C:23	literal majority
p2L28	5	17	H		
p2L28	6	24	H		
p2L28	7	29^	M	C:24	literal majority
p2L28	8	12^	M	C:12	literal majority
p2L28	9	16	H		
p2L28	10	10^	M	C:10	literal majority
p2L28	11	8	H		
p2L28	12	12	M	B:8^/C:18	unresolved: w0:12/w1:8^/w2:18
p2L28	13	10	H		
p2L28	14	8	H		
p2L28	15	16	H		
p2L28	16	4	H		
p2L28	17	6	H		
p2L28	18	22	H		
p2L28	19	24	H		
p2L28	20	4	M	B:4^	literal majority
p3L6	1	8	H		
p3L6	2	16	H		
p3L6	3	9	H		
p3L6	4	21	H		
p3L6	5	5	H		
p3L6	6	10^	M	B:10	digit majority 10, mark disputed
p3L6	7	18^	M	B:[mark]	unresolved: w0:18^/w1:[mark]
p3L6	8	9	M	B:1	unresolved: w0:9/w1:1
p3L6	9	16	H		
p3L6	10	19	H		
p3L6	11	1	H		
p3L6	12	13	H		
p3L6	13	8	H		
p3L6	14	10	H		
p3L6	15	[mark]	H		
p3L6	16	12	M	B:2	unresolved: w0:12/w1:2
p3L6	17	12	H		
p3L6	18	9	H		
p3L6	19	20	H		
p3L6	20	21	H		
p3L7	1	8	H		
p3L7	2	2	H		
p3L7	3	[mark]	M		only A read this line
p3L7	4	15	M	B:[mark]15	digit majority 15, mark disputed
p3L7	5	6	M	B:8	unresolved: w0:6/w1:8
p3L7	6	18	M	B:10	unresolved: w0:18/w1:10
p3L7	7	12	H		
p3L7	8	5	H		
p3L7	9	9	H		
p3L7	10	12	H		
p3L7	11	[mark]	H		
p3L7	12	18	H		
p3L7	13	14	H		
p3L7	14	24	H		
p3L7	15	17	H		
p3L7	16	21	H		
p3L7	17	18	M	B:10	unresolved: w0:18/w1:10
p3L7	18	12	H		
p3L7	19	[mark]	H		
p3L8	1	1	H		
p3L8	2	16	H		
p3L8	3	7	H		
p3L8	4	17	H		
