line	signs_A	signs_B	agree	columns	share
04614_p3_L01_a	20	14	0	20	0.000
04614_p3_L01_b	20	20	0	20	0.000
04614_p3_L01_c	15	20	1	20	0.050
04614_p3_L01_d	7	15	1	15	0.067
04614_p3_L02_a	21	21	19	21	0.905
04614_p3_L02_b	21	21	20	21	0.952
04614_p3_L02_c	23	23	23	23	1.000
04614_p3_L02_d	20	12	12	20	0.600
04614_p3_L03_a	21	21	19	21	0.905
04614_p3_L03_b	20	20	19	20	0.950
04614_p3_L03_c	21	21	19	21	0.905
04614_p3_L03_d	22	20	20	22	0.909
04614_p3_L04_a	21	22	20	22	0.909
04614_p3_L04_b	21	21	19	21	0.905
04614_p3_L04_c	22	22	19	22	0.864
04614_p3_L04_d	22	11	9	22	0.409
04614_p3_L05_a	20	20	18	20	0.900
04614_p3_L05_b	21	21	21	21	1.000
04614_p3_L05_c	22	22	22	22	1.000
04614_p3_L05_d	21	21	21	21	1.000
04614_p3_L06_a	22	22	22	22	1.000
04614_p3_L06_b	24	24	24	24	1.000
04614_p3_L06_c	21	21	20	21	0.952
04614_p3_L06_d	22	22	21	22	0.955
04614_p3_L07_a	24	23	22	24	0.917
04614_p3_L07_b	22	22	21	22	0.955
04614_p3_L07_c	21	21	18	21	0.857
04614_p3_L07_d	24	24	20	24	0.833
04614_p3_L08_a	22	22	22	22	1.000
04614_p3_L08_b	22	22	22	22	1.000
04614_p3_L08_c	21	21	20	21	0.952
04614_p3_L08_d	21	20	18	21	0.857
04614_p3_L09_a	21	21	21	21	1.000
04614_p3_L09_b	19	19	17	19	0.895
04614_p3_L09_c	20	20	20	20	1.000
04614_p3_L09_d	12	7	7	12	0.583
04614_p3_L10_a	12	5	4	12	0.333
04614_p3_L10_b	11	1	1	11	0.091
04614_p3_L10_c	7	7	3	7	0.429
