line	position	sign	confidence
07205_p1_L08_a	1	82	L
07205_p1_L08_a	2	28	L
07205_p1_L08_a	3	17	L
07205_p1_L08_a	4	30	L
07205_p1_L08_a	5	83	L
07205_p1_L08_a	6	114	L
07205_p1_L08_a	7	113	L
07205_p1_L08_a	8	81	L
07205_p1_L08_a	9	29	L
07205_p1_L08_b	1	55	L
07205_p1_L08_b	2	1	L
07205_p1_L08_b	3	130	M
07205_p1_L08_b	4	81	M
07205_p1_L08_b	5	131	L
07205_p1_L08_b	6	17	M
07205_p1_L08_b	7	4	M
07205_p1_L08_b	8	104	M
07205_p1_L08_b	9	10	L
07205_p1_L08_b	10	35	M
07205_p1_L08_b	11	81	M
07205_p1_L08_b	12	12	L
07205_p1_L08_b	13	5	L
07205_p1_L08_b	14	9	L
07205_p1_L08_b	15	31	M
07205_p1_L08_b	16	123	M
07205_p1_L08_b	17	80	M
07205_p1_L08_b	18	84	M
07205_p1_L08_b	19	20	L
07205_p1_L08_b	20	79	L
07205_p1_L08_b	21	100	L
07205_p1_L08_b	22	30	M
07205_p1_L08_b	23	21	M
07205_p1_L08_b	24	5	L
07205_p1_L08_b	25	103	M
07205_p1_L08_b	26	94	M
07205_p1_L08_c	1	84	M
07205_p1_L08_c	2	83	M
07205_p1_L08_c	3	27	L
07205_p1_L08_c	4	8	L
07205_p1_L08_c	5	33	M
07205_p1_L08_c	6	82	M
07205_p1_L08_c	7	29	M
07205_p1_L08_c	8	14	L
07205_p1_L08_c	9	4	L
07205_p1_L08_c	10	23	M
07205_p1_L08_c	11	28	M
07205_p1_L08_c	12	81	M
07205_p1_L08_c	13	20	L
07205_p1_L08_c	14	31	L
07205_p1_L08_d	1	w:que	L
07205_p1_L08_d	2	w:fait	L
07205_p1_L08_d	3	w:de	L
07205_p1_L08_e	1	10	L
07205_p1_L08_e	2	30	L
07205_p1_L08_e	3	120	L
07205_p1_L08_f	1	23	L
07205_p1_L08_f	2	114	L
07205_p1_L08_f	3	8	L
07205_p1_L08_f	4	84	L
07205_p1_L08_f	5	28	L
07205_p1_L08_f	6	11	L
07205_p1_L08_f	7	64	L
07205_p1_L08_f	8	94	L
07205_p1_L08_f	9	9	L
07205_p1_L08_f	10	8	L
07205_p1_L08_f	11	112	L
07205_p1_L09_a	1	w:pour	L
07205_p1_L09_a	2	w:suyuant	L
07205_p1_L09_b	1	17	M
07205_p1_L09_b	2	30	M
07205_p1_L09_b	3	104	M
07205_p1_L09_b	4	114	M
07205_p1_L09_b	5	30	L
07205_p1_L09_b	6	52	L
07205_p1_L09_b	7	133	L
07205_p1_L09_b	8	126	L
07205_p1_L09_b	9	90	M
07205_p1_L09_b	10	94	M
07205_p1_L09_b	11	101	M
07205_p1_L09_b	12	71	L
07205_p1_L09_b	13	32	M
07205_p1_L09_b	14	78	M
07205_p1_L09_b	15	81	M
07205_p1_L09_b	16	11	L
07205_p1_L09_b	17	30	M
07205_p1_L09_b	18	100	L
07205_p1_L09_c	1	w:subtenu	L
07205_p1_L09_c	2	w:blasme	L
07205_p1_L09_d	1	120	L
07205_p1_L09_d	2	95	L
07205_p1_L09_d	3	29	L
07205_p1_L09_d	4	81	M
07205_p1_L09_d	5	1	L
07205_p1_L09_d	6	35	L
07205_p1_L09_d	7	55	L
07205_p1_L09_d	8	22	L
07205_p1_L09_d	9	82	L
07205_p1_L09_d	10	23	L
07205_p1_L09_d	11	9	L
07205_p1_L09_d	12	34	L
07205_p1_L09_d	13	131	L
07205_p1_L09_e	1	w:brief	M
07205_p1_L09_f	1	113	M
07205_p1_L09_f	2	83	M
07205_p1_L09_f	3	20	L
07205_p1_L10_a	1	22	L
07205_p1_L10_a	2	91	L
07205_p1_L10_a	3	82	L
07205_p1_L10_a	4	20	L
07205_p1_L10_a	5	9	L
07205_p1_L10_a	6	1	L
07205_p1_L10_a	7	33	M
07205_p1_L10_a	8	85	M
07205_p1_L10_a	9	3	L
07205_p1_L10_a	10	71	L
07205_p1_L10_a	11	35	L
07205_p1_L10_a	12	102	L
07205_p1_L10_a	13	83	M
07205_p1_L10_a	14	83	M
07205_p1_L10_a	15	27	L
07205_p1_L10_a	16	35	L
07205_p1_L10_a	17	30	L
07205_p1_L10_a	18	32	M
07205_p1_L10_a	19	81	M
07205_p1_L10_a	20	28	M
07205_p1_L10_a	21	113	M
07205_p1_L10_a	22	83	M
07205_p1_L10_b	1	20	L
07205_p1_L10_b	2	73	L
07205_p1_L10_b	3	119	L
07205_p1_L10_b	4	105	L
07205_p1_L10_b	5	10	L
07205_p1_L10_b	6	77	L
07205_p1_L10_b	7	103	L
07205_p1_L10_b	8	31	M
07205_p1_L10_b	9	81	M
07205_p1_L10_b	10	79	L
07205_p1_L10_b	11	78	L
07205_p1_L10_b	12	39	L
07205_p1_L10_b	13	19	L
07205_p1_L10_b	14	112	L
07205_p1_L10_b	15	73	L
07205_p1_L10_b	16	32	L
07205_p1_L10_b	17	12	L
07205_p1_L10_b	18	81	M
07205_p1_L10_b	19	22	L
07205_p1_L10_b	20	28	M
07205_p1_L10_b	21	133	L
07205_p1_L10_b	22	81	M
07205_p1_L10_c	1	34	L
07205_p1_L10_c	2	10	L
07205_p1_L10_c	3	35	L
07205_p1_L10_c	4	82	L
07205_p1_L10_c	5	82	L
07205_p1_L10_c	6	114	L
07205_p1_L10_c	7	10	L
07205_p1_L10_c	8	22	L
07205_p1_L10_c	9	23	L
07205_p1_L10_d	1	w:jouxte	L
07205_p1_L10_d	2	w:advis	L
07205_p1_L10_e	1	142	L
07205_p1_L10_e	2	29	L
07205_p1_L10_e	3	82	L
07205_p1_L10_e	4	20	L
07205_p1_L10_e	5	33	M
07205_p1_L10_e	6	83	L
07205_p1_L10_e	7	11	L
07205_p1_L10_e	8	27	L
07205_p1_L10_f	1	81	M
07205_p1_L10_f	2	9	L
07205_p1_L10_f	3	33	M
07205_p1_L10_f	4	131	L
07205_p1_L11_a	1	134	L
07205_p1_L11_a	2	59	L
07205_p1_L11_a	3	94	L
07205_p1_L11_a	4	13	L
07205_p1_L11_a	5	83	M
07205_p1_L11_a	6	93	M
07205_p1_L11_a	7	2	L
07205_p1_L11_a	8	90	M
07205_p1_L11_a	9	11	L
07205_p1_L11_a	10	2	L
07205_p1_L11_a	11	90	L
07205_p1_L11_a	12	102	L
07205_p1_L11_a	13	104	L
07205_p1_L11_a	14	82	L
07205_p1_L11_a	15	117	L
07205_p1_L11_a	16	81	M
07205_p1_L11_a	17	28	M
07205_p1_L11_a	18	79	L
07205_p1_L11_a	19	101	M
07205_p1_L11_a	20	73	L
07205_p1_L11_b	1	82	M
07205_p1_L11_b	2	81	M
07205_p1_L11_b	3	29	L
07205_p1_L11_b	4	108	L
07205_p1_L11_b	5	120	L
07205_p1_L11_c	1	w:la	M
07205_p1_L11_c	2	w:plus	M
07205_p1_L11_c	3	w:part	M
07205_p1_L11_d	1	w:dessus	L
07205_p1_L11_e	1	131	L
07205_p1_L11_e	2	104	L
07205_p1_L11_e	3	114	L
07205_p1_L11_e	4	103	L
07205_p1_L11_e	5	20	L
07205_p1_L11_e	6	103	L
07205_p1_L11_e	7	71	L
07205_p1_L11_f	1	131	L
07205_p1_L11_f	2	82	L
07205_p1_L11_f	3	13	L
07205_p1_L11_f	4	84	L
07205_p1_L11_f	5	21	L
07205_p1_L11_f	6	3	L
07205_p1_L11_f	7	52	L
07205_p1_L11_f	8	100	L
07205_p1_L11_f	9	139	L
07205_p1_L11_f	10	134	L
07205_p1_L11_f	11	28	L
07205_p1_L11_f	12	33	L
07205_p1_L11_f	13	105	L
07205_p1_L11_f	14	39	L
07205_p1_L11_f	15	113	M
07205_p1_L11_f	16	8	L
07205_p1_L11_f	17	1	L
07205_p1_L11_f	18	91	L
07205_p1_L11_g	1	w:comme	L
07205_p1_L12_a	1	38	L
07205_p1_L12_a	2	22	L
07205_p1_L12_a	3	121	L
07205_p1_L12_b	1	w:figures	L
07205_p1_L12_c	1	w:assez	L
07205_p1_L12_d	1	126	L
07205_p1_L12_d	2	20	L
07205_p1_L12_d	3	14	L
07205_p1_L12_d	4	32	L
07205_p1_L12_d	5	104	L
07205_p1_L12_d	6	12	L
07205_p1_L12_d	7	83	L
07205_p1_L12_d	8	13	L
07205_p1_L12_d	9	34	L
07205_p1_L12_e	1	20	M
07205_p1_L12_e	2	82	M
07205_p1_L12_e	3	12	M
07205_p1_L12_e	4	37	M
07205_p1_L12_e	5	104	M
07205_p1_L12_f	1	32	L
07205_p1_L12_f	2	104	L
07205_p1_L12_f	3	120	L
07205_p1_L12_f	4	83	L
07205_p1_L12_f	5	34	L
07205_p1_L12_f	6	37	M
07205_p1_L12_f	7	83	M
07205_p1_L12_f	8	24	M
07205_p1_L12_f	9	20	M
07205_p1_L12_f	10	100	M
