line	position	sign	confidence
07205_p6_L01_a	1	07	L
07205_p6_L01_a	2	16	L
07205_p6_L01_b	1	9	M
07205_p6_L01_b	2	11	M
07205_p6_L01_b	3	34	M
07205_p6_L01_b	4	112	M
07205_p6_L01_b	5	1	M
07205_p6_L01_b	6	31	M
07205_p6_L01_b	7	140	M
07205_p6_L01_b	8	70	L
07205_p6_L01_b	9	81	M
07205_p6_L01_b	10	32	M
07205_p6_L01_b	11	121	M
07205_p6_L01_b	12	33	M
07205_p6_L01_b	13	2	M
07205_p6_L01_b	14	22	M
07205_p6_L01_b	15	78	M
07205_p6_L01_b	16	83	M
07205_p6_L01_b	17	80	M
07205_p6_L01_b	18	9	M
07205_p6_L01_b	19	130	M
07205_p6_L01_b	20	11	L
07205_p6_L01_c	1	w:quoy	L
07205_p6_L01_c	2	w:loy	L
07205_p6_L01_c	3	w:courues	L
07205_p6_L01_c	4	w:marquis	M
07205_p6_L01_c	5	w:sur	L
07205_p6_L01_c	6	w:retourner	M
07205_p6_L01_c	7	w:aultres	M
07205_p6_L01_c	8	w:foid	M
07205_p6_L01_c	9	w:a	H
07205_p6_L01_c	10	w:nous	H
07205_p6_L01_c	11	w:prier	M
07205_p6_L01_c	12	w:ainsi	M
07205_p6_L01_c	13	w:que	M
07205_p6_L01_d	1	w:par	H
07205_p6_L01_d	2	w:ma	H
07205_p6_L01_d	3	w:derniere	M
07205_p6_L01_d	4	w:lettre	M
07205_p6_L01_d	5	w:faict	M
07205_p6_L01_d	6	13	M
07205_p6_L01_d	7	129	M
07205_p6_L01_d	8	120	H
07205_p6_L01_d	9	82	H
07205_p6_L01_d	10	39	H
07205_p6_L01_d	11	9	H
07205_p6_L01_d	12	87	M
07205_p6_L01_d	13	112	H
07205_p6_L01_d	14	0	M
07205_p6_L01_d	15	104	H
07205_p6_L01_d	16	22	H
07205_p6_L01_d	17	82	H
07205_p6_L01_d	18	1	H
07205_p6_L01_d	19	79	H
07205_p6_L01_d	20	102	H
07205_p6_L01_d	21	11	M
07205_p6_L01_e	1	104	M
07205_p6_L01_e	2	93	M
07205_p6_L01_e	3	81	M
07205_p6_L01_e	4	71	M
07205_p6_L01_e	5	82	M
07205_p6_L01_e	6	61	M
07205_p6_L01_e	7	37	M
07205_p6_L01_e	8	37	M
07205_p6_L01_e	9	23	M
07205_p6_L01_e	10	62	M
07205_p6_L01_e	11	52	M
07205_p6_L01_e	12	81	M
07205_p6_L01_e	13	32	M
07205_p6_L01_e	14	34	M
07205_p6_L01_e	15	10	M
07205_p6_L01_e	16	38	M
07205_p6_L01_e	17	31	M
07205_p6_L01_e	18	38	M
07205_p6_L01_e	19	37	M
07205_p6_L01_e	20	84	M
07205_p6_L01_e	21	21	M
07205_p6_L01_e	22	3	M
07205_p6_L01_e	23	84	M
07205_p6_L01_e	24	119	M
07205_p6_L02_a	1	94	L
07205_p6_L02_a	2	58	L
07205_p6_L02_a	3	65	L
07205_p6_L02_b	1	82	M
07205_p6_L02_b	2	72	M
07205_p6_L02_b	3	31	M
07205_p6_L02_b	4	84	M
07205_p6_L02_b	5	82	M
07205_p6_L02_b	6	2	M
07205_p6_L02_b	7	29	M
07205_p6_L02_b	8	85	M
07205_p6_L02_b	9	23	M
07205_p6_L02_b	10	31	M
07205_p6_L02_b	11	8	M
07205_p6_L02_b	12	37	M
07205_p6_L02_b	13	32	M
07205_p6_L02_b	14	113	M
07205_p6_L02_b	15	81	M
07205_p6_L02_b	16	26	M
07205_p6_L02_b	17	32	M
07205_p6_L02_b	18	101	M
07205_p6_L02_b	19	83	M
07205_p6_L02_b	20	79	M
07205_p6_L02_b	21	84	M
07205_p6_L02_b	22	39	M
07205_p6_L02_b	23	9	M
07205_p6_L02_b	24	80	M
07205_p6_L02_b	25	121	L
07205_p6_L02_c	1	15	L
07205_p6_L02_c	2	55	L
07205_p6_L02_c	3	85	L
07205_p6_L02_d	1	66	M
07205_p6_L02_d	2	188	L
07205_p6_L02_d	3	87	M
07205_p6_L02_d	4	4	M
07205_p6_L02_d	5	104	M
07205_p6_L02_d	6	24	M
07205_p6_L02_d	7	84	M
07205_p6_L02_d	8	27	M
07205_p6_L02_d	9	12	M
07205_p6_L02_d	10	52	M
07205_p6_L02_d	11	24	M
07205_p6_L02_d	12	70	M
07205_p6_L02_d	13	82	M
07205_p6_L02_d	14	114	M
07205_p6_L02_d	15	81	M
07205_p6_L02_d	16	81	M
07205_p6_L02_d	17	31	M
07205_p6_L02_d	18	28	M
07205_p6_L02_d	19	102	M
07205_p6_L02_d	20	82	M
07205_p6_L02_d	21	2	L
07205_p6_L02_e	1	22	M
07205_p6_L02_e	2	103	M
07205_p6_L02_e	3	81	M
07205_p6_L02_e	4	9	M
07205_p6_L02_e	5	36	M
07205_p6_L02_e	6	8	M
07205_p6_L02_e	7	37	M
07205_p6_L02_e	8	26	M
07205_p6_L02_e	9	80	M
07205_p6_L02_e	10	82	M
07205_p6_L02_e	11	22	M
07205_p6_L02_e	12	83	M
07205_p6_L02_e	13	57	M
07205_p6_L02_e	14	18	M
07205_p6_L02_e	15	39	M
07205_p6_L02_e	16	82	M
07205_p6_L02_e	17	112	M
07205_p6_L02_e	18	16	M
07205_p6_L02_e	19	38	M
07205_p6_L02_e	20	80	M
07205_p6_L02_e	21	64	M
07205_p6_L02_e	22	29	M
07205_p6_L02_e	23	28	M
07205_p6_L02_e	24	3	L
07205_p6_L02_f	1	5	L
07205_p6_L02_f	2	40	L
07205_p6_L02_f	3	15	L
07205_p6_L02_f	4	41	L
07205_p6_L02_g	1	8	M
07205_p6_L02_g	2	20	M
07205_p6_L02_g	3	112	M
07205_p6_L02_g	4	3	M
07205_p6_L02_g	5	82	M
07205_p6_L02_g	6	127	M
07205_p6_L02_g	7	105	M
07205_p6_L02_g	8	9	M
07205_p6_L02_g	9	2	M
07205_p6_L02_g	10	72	M
07205_p6_L02_g	11	33	M
07205_p6_L02_g	12	82	M
07205_p6_L02_g	13	113	M
07205_p6_L02_g	14	82	M
07205_p6_L02_g	15	1	M
07205_p6_L02_g	16	32	M
07205_p6_L02_g	17	139	M
07205_p6_L02_g	18	17	M
07205_p6_L02_g	19	38	M
07205_p6_L02_g	20	84	M
07205_p6_L02_g	21	112	M
07205_p6_L02_g	22	28	M
07205_p6_L02_g	23	82	M
07205_p6_L02_g	24	74	L
07205_p6_L02_h	1	18	L
07205_p6_L02_h	2	55	L
07205_p6_L02_h	3	101	L
07205_p6_L02_h	4	11	L
