line	position	sign	confidence
07205_p3_L01_a	1	219	M
07205_p3_L01_b	1	27	H
07205_p3_L01_b	2	84	H
07205_p3_L01_b	3	3	M
07205_p3_L01_b	4	81	H
07205_p3_L01_b	5	120	H
07205_p3_L01_b	6	104	H
07205_p3_L01_b	7	27	H
07205_p3_L01_b	8	17	M
07205_p3_L01_b	9	38	H
07205_p3_L01_b	10	105	M
07205_p3_L01_b	11	82	H
07205_p3_L01_b	12	72	M
07205_p3_L01_b	13	82	L
07205_p3_L01_b	14	113	H
07205_p3_L01_b	15	96	L
07205_p3_L01_b	16	115	L
07205_p3_L01_b	17	83	H
07205_p3_L01_b	18	27	H
07205_p3_L01_b	19	137	M
07205_p3_L01_b	20	w:sollicitent	M
07205_p3_L01_c	1	17	L
07205_p3_L01_c	2	w:tranquillement	M
07205_p3_L01_c	3	139	M
07205_p3_L01_c	4	112	M
07205_p3_L01_c	5	82	H
07205_p3_L01_c	6	34	L
07205_p3_L01_c	7	22	M
07205_p3_L01_c	8	75	M
07205_p3_L01_c	9	100	M
07205_p3_L01_c	10	81	H
07205_p3_L01_c	11	1	M
07205_p3_L01_c	12	32	M
07205_p3_L01_c	13	84	H
07205_p3_L01_c	14	2	M
07205_p3_L01_c	15	28	M
07205_p3_L01_c	16	124	M
07205_p3_L01_c	17	113	M
07205_p3_L01_c	18	84	H
07205_p3_L01_c	19	70	L
07205_p3_L01_c	20	9	M
07205_p3_L01_c	21	4	M
07205_p3_L01_c	22	34	M
07205_p3_L01_d	1	22	M
07205_p3_L01_d	2	83	H
07205_p3_L01_d	3	102	M
07205_p3_L01_d	4	94	L
07205_p3_L01_d	5	31	M
07205_p3_L01_d	6	82	H
07205_p3_L01_d	7	118	M
07205_p3_L01_d	8	82	H
07205_p3_L01_d	9	1	M
07205_p3_L01_d	10	33	M
07205_p3_L01_d	11	18	M
07205_p3_L01_d	12	40	L
07205_p3_L01_d	13	2	M
07205_p3_L01_d	14	131	M
07205_p3_L01_d	15	111	L
07205_p3_L01_d	16	81	H
07205_p3_L01_d	17	37	M
07205_p3_L01_d	18	22	M
07205_p3_L01_d	19	88	M
07205_p3_L01_d	20	9	L
07205_p3_L02_a	1	21	L
07205_p3_L02_a	2	81	L
07205_p3_L02_a	3	34	L
07205_p3_L02_b	1	37	M
07205_p3_L02_b	2	114	M
07205_p3_L02_b	3	104	M
07205_p3_L02_b	4	82	H
07205_p3_L02_b	5	30	M
07205_p3_L02_b	6	79	M
07205_p3_L02_b	7	82	H
07205_p3_L02_b	8	29	M
07205_p3_L02_b	9	14	L
07205_p3_L02_b	10	81	H
07205_p3_L02_b	11	21	M
07205_p3_L02_b	12	32	M
07205_p3_L02_b	13	82	H
07205_p3_L02_b	14	27	M
07205_p3_L02_b	15	81	H
07205_p3_L02_b	16	33	M
07205_p3_L02_b	17	80	L
07205_p3_L02_b	18	8	L
07205_p3_L02_b	19	119	M
07205_p3_L02_b	20	120	M
07205_p3_L02_b	21	8	L
07205_p3_L02_b	22	102	M
07205_p3_L02_b	23	93	L
07205_p3_L02_b	24	82	H
07205_p3_L02_c	1	27	M
07205_p3_L02_c	2	108	L
07205_p3_L02_c	3	38	M
07205_p3_L02_c	4	103	M
07205_p3_L02_c	5	114	M
07205_p3_L02_c	6	80	L
07205_p3_L02_c	7	w:sacquitte	L
07205_p3_L02_c	8	w:maintenant	M
07205_p3_L02_c	9	w:comme	L
07205_p3_L02_c	10	w:aux	L
07205_p3_L02_c	11	w:pais	L
07205_p3_L02_c	12	w:fils	L
07205_p3_L02_c	13	w:pere	L
07205_p3_L02_c	14	w:duc	L
07205_p3_L02_c	15	w:auec	L
07205_p3_L02_c	16	w:nous	L
07205_p3_L02_d	1	132	M
07205_p3_L02_d	2	31	L
07205_p3_L02_d	3	127	M
07205_p3_L02_d	4	82	H
07205_p3_L02_d	5	31	M
07205_p3_L02_d	6	33	M
07205_p3_L02_d	7	84	H
07205_p3_L02_d	8	27	M
07205_p3_L02_d	9	94	L
07205_p3_L02_d	10	100	M
07205_p3_L02_d	11	81	H
07205_p3_L02_d	12	1	M
07205_p3_L02_d	13	31	M
07205_p3_L02_d	14	79	M
07205_p3_L02_d	15	83	H
07205_p3_L02_d	16	114	M
07205_p3_L02_d	17	84	H
07205_p3_L02_d	18	39	M
07205_p3_L02_d	19	22	M
07205_p3_L02_d	20	17	M
07205_p3_L02_d	21	83	H
07205_p3_L02_d	22	21	M
07205_p3_L02_d	23	30	M
07205_p3_L02_d	24	38	M
07205_p3_L02_e	1	84	H
07205_p3_L02_e	2	77	M
07205_p3_L02_e	3	84	H
