line	pos	sign	value	grade
36R1	1	T	a|luy	M
36R1	2	mu	u	H
36R1	3	dia	e	M
36R1	4	al	c	H
36R1	5	I		U
36R1	6	hk	u|a	M
36R1	7	x	e	H
36R1	8	H	s	H
36R1	9	r2	r	M
36R1	10	x8		U
36R1	11	b6	p	M
36R1	12	dia	e	M
36R1	13	xb	u	H
36R1	14	xinf	null	H
36R1	15	fd	d	H
36R1	16	x	e	H
36R1	17	B	p	H
36R1	18	x	e	H
36R1	19	eps	r	H
36R1	20	pd	t	M
36R1	21	x	e	H
36R1	22	b6	p	M
36R1	23	pib	o	H
36R1	24	xb	u	H
36R1	25	r2	r	H
36R2	1	le	le	H
36R2	2	loop	null	M
36R2	3	mc	c	M
36R2	4	h9	h	M
36R2	5	T	a|luy	M
36R2	6	ae	n	H
36R2	7	g8	g	M
36R2	8	x	e	H
36R2	9	w:fust	fust	clear
36R2	10	w:Et	Et	clear
36R2	11	w:en	en	clear
36R2	12	w:telle	telle	clear
36R2	13	w:sorte	sorte	clear
36R2	14	w:vous	vous	clear
36R2	15	w:serez	serez	clear
36R3	1	w:asseuré	asseuré	clear
36R3	2	w:de	de	clear
36R3	3	w:faire	faire	clear
36R3	4	dia	e	H
36R3	5	mu	u	M
36R3	6	r2	r	M
36R3	7	ae	n	H
36R3	8	g8	g	H
36R3	9	xN	null	M
36R3	10	w:quand	quand	clear
36R3	11	T	a|luy	M
36R3	12	sha	m	H
36R3	13	dia	e	H
36R3	14	T	a|luy	M
36R3	15	eps	r	H
36R3	16	w:de	de	clear
36R3	17	loop	null	M
36R4	1	q4	q	M
36R4	2	ww		U
36R4	3	ven	y	M
36R4	4	iii	null	H
36R4	5	pp	m	H
36R4	6	dia	e	H
36R4	7	ae	n	H
36R4	8	pd	t	M
36R4	9	xA	null	H
36R4	10	b6	p	H
36R4	11	T	a|luy	M
36R4	12	eps	r	H
36R4	13	fd	d	H
36R4	14	xA	null	M
36R4	15	x	e	H
36R4	16	al	c	H
36R4	17	T	a|luy	M
36R4	18	xA	null	H
36R4	19	w:fust	fust	clear
36R4	20	r2	r	M
36R4	21	x88	null	H
36R4	22	ringT		U
36R4	23	iii	null	H
