ia	undiplomatepoite00richuoft	Richard, Danzay study
ia	ngociationslet00pari	Paris, Négociations
ia	nouvellecollecti06michuoft	Michaud-Poujoulat
ia	relationspoliti06teulgoog	Teulet, Relations politiques I
ia	relationspoliti07teulgoog	Teulet, Relations politiques II
ia	frankreichseinfl01suge	Frankreichs Einfluss
ia	aktyipismakisto00forsgoog	Forsten, Akty
ia	kancellietsbrevb02denm	Kancelliets brevbøger
ia	danskemagazin02unkngoog	Danske Magazin
ia	regestadiplomat04copegoog	Regesta diplomatica
ia	manuscritsetdocu00meco	
openalex	Danzay Danemark 1557
crossref	Danzay Copenhague cardinal de Lorraine
