name	funder	kind	amount_or_value	open_to_individuals_without_affiliation	residency_or_citizenship_limits	deadline_or_rolling	what_it_funds	application_effort_hours	fit_1to5	url	date_read
Bibliographical Society Major/Minor Grants	The Bibliographical Society (UK)	cash	up to GBP 2,000 (Pantzer Fellowship up to GBP 4,000)	"yes -- ""The Society particularly supports those who have no opportunity of gaining institutional support for their research"""	"none stated for UK applicants; up to GBP 1,000 extra travel funding at the Society's discretion for applicants from outside UK/Europe ""where no other funding is available"""	annual round, see bibsoc.org.uk guidelines (check current cycle)	bibliographical/book-history research: archive visits, photography, copies, travel	6	5 -- explicitly for researchers without institutional support; funds the exact costs (copies, images, archive visits) this project incurs	https://bibsoc.org.uk/fellowships/major-grants/	24 Sept 2026
Hugging Face Community GPU Grants	Hugging Face	credits	in-kind ZeroGPU or A10G hardware inside a Hugging Face Space (no fixed cash value quoted)	"yes -- eligible projects include ""academic research demos, open-source projects with traction, and other useful machine learning projects""; no institutional affiliation required"	none found stated	rolling, applied for from the Space's own hardware settings page, no external portal	GPU compute for a public demo/tool (e.g. a hosted homophonic-cipher solver or key-decoder Space)	3	4 -- free, no affiliation gate, but only funds a public-facing HF Space, not the project's private research compute (Claude API usage)	https://huggingface.co/docs/hub/en/spaces-gpus	24 Sept 2026
Lambda Cloud Research Grant	Lambda	credits	up to $5,000 GPU cloud credits	"unclear -- described as open to ""qualifying AI and machine learning researchers and research groups""; no explicit institutional-affiliation requirement found in the sources read, but not confirmed on Lambda's own application page (competitive, application-based)"	none found stated	rolling	GPU cloud instances for training/fine-tuning AI/ML work	4	4 -- sizeable in-kind GPU credit, no affiliation gate found, but the project's actual bottleneck is Claude API usage, not raw GPU training, so credits would mostly go unused	https://lambdalabs.com/research	24 Sept 2026
JPASS (individual JSTOR access)	JSTOR/Ithaka	access	$19.50/month or $199/year (10 article downloads/month, unlimited online reading)	"yes -- ""designed for people doing research without access to JSTOR through a school or library"""	none found stated	rolling, paid subscription	JSTOR journal access for the scholarship pass of the verifier brief	1	4 -- guaranteed, no-affiliation JSTOR access at modest personal cost; a paid fallback if the existing JSTOR_USER/JSTOR_PASS credential (CLAUDE.md) ever lapses	https://about.jstor.org/products/jpass/	24 Sept 2026
Folger Institute Short-Term Fellowships	Folger Shakespeare Library	fellowship	$5,000/month in residence, $4,000/month virtual, 1-3 months	"yes -- ""open to college and university faculty, independent scholars, artists, public scholars, writers... and other knowledge holders"""	none found stated; virtual option available	annual cycle, see folger.edu for current dates	research residency drawing on Folger's British/European manuscript and print collection, 15th-18th century	12	4 -- explicitly welcomes independent scholars and a virtual track, and the collection period overlaps several project targets (English 16th-18th c. ciphers), but needs a Folger-specific target identified first	https://www.folger.edu/research/the-folger-institute/fellowships/apply-for-a-fellowship/short-term-fellowships/	24 Sept 2026
National Coalition of Independent Scholars (NCIS) Research Grants	National Coalition of Independent Scholars	cash	$599 (Research Grant); $250 (Conference Support Grant, 3x/year); Elizabeth Eisenstein Prize $350	"yes, but membership-gated -- ""available ONLY to fully vetted and paid-up members of NCIS"", requiring ""a full member... for a minimum of 15 consecutive months prior to the relevant grant application deadline"""	none found stated (US-founded but international membership)	3 cycles per year once a member	independent scholars' research costs generally	2 (membership application) + 4 (grant application, after 15-month wait)	4 -- exactly the target population (independent, unaffiliated scholars) but the 15-month membership seasoning means no near-term money; worth joining now for next year	https://ncis.org/research-grants/	24 Sept 2026
Anthropic External Researcher Access Program	Anthropic	credits	"$1,000 in Claude API credits (""for rare special cases, we may approve a higher quantity"")"	"unclear -- FAQ names no institutional-affiliation requirement, but restricts the topic, not the applicant: ""specifically designed to support researchers working on AI safety and alignment topics we consider high priority"""	none stated	"rolling, evaluated ""the first Monday of each month"""	Claude API usage only, for AI-safety/alignment research	2	3 -- no affiliation gate and directly relevant funder (more Claude usage is exactly what the project wants), but the stated scope is AI safety/alignment, not historical cryptography, so eligibility on topic is doubtful without reframing the request	https://support.claude.com/en/articles/9125743-what-is-the-external-researcher-access-program	24 Sept 2026
Royal Historical Society Open Research Support Grants	Royal Historical Society	cash	GBP 500 or GBP 1,000	"no (membership-gated) -- ""Applicants for Royal Historical Society funding must be members of the Society""; open to ""all historians... who are not postgraduate students or early career researchers"", membership itself has no institutional requirement"	none found stated beyond RHS membership	see royalhistsoc.org current calls (periodic rounds)	"archive visits, historical sites, interviews, conference attendance for historians ""without access to research funding"""	3 (join) + 4 (apply)	3 -- good fit for archive-visit costs once RHS membership (open to independents) is obtained; not free money, a subscription plus application	https://royalhistsoc.org/research_funding/open-research-funding/open-research-support-grants/	24 Sept 2026
Bibliographical Society of America -- New Scholars Program	Bibliographical Society of America	fellowship	not confirmed on the pages read (travel/presentation support tied to the BSA annual meeting; amount not stated in the sources read)	"yes -- ""Booksellers, librarians, curators, collectors, junior... academics, graduate students at the dissertation level, and independent scholars are all welcome to apply"""	none found stated	see bibsocamer.org for current cycle	presenting bibliographical research at the BSA annual meeting	4	3 -- explicitly open to independent scholars, but it is a presentation opportunity, not primarily a cash grant for fieldwork	https://bibsocamer.org/fellowships-and-awards/new-scholars	24 Sept 2026
Huntington Library Short-Term Fellowships for Non-Traditional Scholars	The Huntington Library, Art Museum, and Botanical Gardens	fellowship	$4,000/month, 1-3 months	"yes -- ""several short-term awards are specifically designed for independent or nontraditional scholars who either trained or currently work outside of academia, many of whom will not have a Ph.D."" (e.g. the Alan Jutzi Residential Fellowship for Non-Traditional Scholars)"	requires physical residency at the Huntington (San Marino, California) for the fellowship period	annual cycle, see huntington.org/available-fellowships	research residency using Huntington's collections	10	3 -- strong independent-scholar fit and a real stipend, but only useful if a project target's material is held at the Huntington, which is not yet established	https://www.huntington.org/research-and-fellowships/fellowships	24 Sept 2026
