line	pos	group	conf	note
5200p1L01	1	w:Monsieur mon frere, j'ay hier receu vostre lettre dattee du 5 du present moys, par	H	
5200p1L02	1	w:laquelle ay peu avoir entendre le bon devoir que faictes a Solingen avecq	M	placename uncertain
5200p1L03	1	w:que faictez, a quoy je vous prie de vouloir continuer, et pour cest effect, n'ay	H	
5200p1L04	1	w:voulu obmettre de vous mander par la presente plus particulierement l'estat des	H	
5200p1L05	1	w:affaires survenues depuis le partement du Duc Christofle et de mon frere	H	
5200p1L06	1	s:flourish	M	mercury-like sign before Scavoir
5200p1L06	2	w:Sçavoir que on partit la	H	
5200p1L06	3	25	H	
5200p1L06	4	31	H	
5200p1L06	5	74	H	
5200p1L06	6	17	H	
5200p1L06	7	20	H	
5200p1L06	8	25	H	
5200p1L06	9	40	H	
5200p1L06	10	51	H	
5200p1L06	11	15	H	
5200p1L06	12	s:n	M	plain letter n used as sign
5200p1L06	13	11	H	
5200p1L06	14	12	H	
5200p1L06	15	28	H	
5200p1L06	16	27	H	
5200p1L06	17	57	H	
5200p1L06	18	s:i	M	plain letter i used as sign
5200p1L06	19	40	H	
5200p1L06	20	9	M	flourish/breve over digit
5200p1L06	21	39	H	
5200p1L07	1	25	H	
5200p1L07	2	31	H	
5200p1L07	3	12	H	
5200p1L07	4	13	H	
5200p1L07	5	14	H	
5200p1L07	6	15	H	
5200p1L07	7	16	H	
5200p1L07	8	35	H	
5200p1L07	9	36	H	
5200p1L07	10	42	H	
5200p1L07	11	39	H	
5200p1L07	12	57	H	
5200p1L07	13	54	H	
5200p1L07	14	53	H	
5200p1L07	15	25	H	
5200p1L07	16	17	H	
5200p1L07	17	w:en partit la	M	embedded clear phrase, reading uncertain
5200p1L07	18	20	H	
5200p1L07	19	25	H	
5200p1L07	20	40	H	
5200p1L07	21	17	M	
5200p1L07	22	19	M	
5200p1L08	1	9	M	
5200p1L08	2	3	H	
5200p1L08	3	54	H	
5200p1L08	4	53	H	
5200p1L08	5	40	H	
5200p1L08	6	50	H	
5200p1L08	7	s:f	M	plain letter/long-s used as sign
5200p1L08	8	3	H	
5200p1L08	9	57	H	
5200p1L08	10	27	H	
5200p1L08	11	42	H	
5200p1L08	12	39	H	
5200p1L08	13	25	H	
5200p1L08	14	12	H	
5200p1L08	15	14	H	
5200p1L08	16	15	H	
5200p1L08	17	17	H	
5200p1L08	18	25	H	
5200p1L08	19	36	H	
5200p1L08	20	15	H	
5200p1L08	21	54	H	
5200p1L08	22	51	H	
5200p1L08	23	15	H	
5200p1L08	24	27	H	
5200p1L09	1	57	H	
5200p1L09	2	51	H	
5200p1L09	3	50	H	
5200p1L09	4	15	H	
5200p1L09	5	54	H	
5200p1L09	6	17	H	
5200p1L09	7	20	H	
5200p1L09	8	40	H	
5200p1L09	9	s:a	M	plain letter a used as sign
5200p1L09	10	55	H	
5200p1L09	11	57	H	
5200p1L09	12	15	H	
5200p1L09	13	33	H	
5200p1L09	14	34	H	
5200p1L09	15	s:b	M	sign resembling b or 8
5200p1L09	16	15	H	
5200p1L09	17	36	H	
5200p1L09	18	15	H	
5200p1L09	19	39	H	
5200p1L09	20	57	H	
5200p1L09	21	14	H	
5200p1L09	22	15	H	
5200p1L09	23	25	H	
5200p1L09	24	31	H	
5200p1L09	25	42	H	
5200p1L09	26	39	H	
5200p1L10	1	25	H	
5200p1L10	2	32	H	
5200p1L10	3	75	H	
5200p1L10	4	82	H	
5200p1L10	5	39	H	
5200p1L10	6	s:c	M	sign, possibly 8
5200p1L10	7	32	H	
5200p1L10	8	33	H	
5200p1L10	9	15	H	
5200p1L10	10	54	H	
5200p1L10	11	60	H	
5200p1L10	12	26	H	
5200p1L10	13	27	H	
5200p1L10	14	33	H	
5200p1L10	15	34	H	
5200p1L10	16	17	H	
5200p1L10	17	56	H	
5200p1L10	18	w:Le	H	
5200p1L10	19	54	H	
5200p1L10	20	55	H	
5200p1L10	21	17	H	
5200p1L10	22	31	M	
5200p1L11	1	w:de	M	
5200p1L11	2	53	H	
5200p1L11	3	57	H	
5200p1L11	4	42	H	
5200p1L11	5	60	H	
5200p1L11	6	50	H	
5200p1L11	7	54	H	
5200p1L11	8	9	H	
5200p1L11	9	42	H	
5200p1L11	10	s:mars	M	planetary sign
5200p1L11	11	54	H	
5200p1L11	12	s:jupiter	M	planetary sign
5200p1L11	13	55	H	
5200p1L11	14	57	H	
5200p1L11	15	15	H	
5200p1L11	16	72	H	
5200p1L11	17	s:jupiter	M	planetary sign
5200p1L11	18	w:que je veoy	M	
5200p1L11	19	20	H	
5200p1L11	20	21	H	
5200p1L11	21	22	H	
5200p1L12	1	51	H	
5200p1L12	2	3	H	
5200p1L12	3	39	H	
5200p1L12	4	12	H	
5200p1L12	5	11	H	
5200p1L12	6	s:saturn	M	
5200p1L12	7	s:venus	M	
5200p1L12	8	9	H	
5200p1L12	9	24	H	
5200p1L12	10	25	H	
5200p1L12	11	3	H	
5200p1L12	12	39	H	
5200p1L12	13	21	H	
5200p1L12	14	15	H	
5200p1L12	15	s:mars	M	
5200p1L12	16	36	H	
5200p1L12	17	15	H	
5200p1L12	18	39	H	
5200p1L12	19	57	H	
5200p1L12	20	s:jupiter	M	
5200p1L12	21	w:des	M	
5200p1L12	22	8	H	
5200p1L12	23	9	H	
5200p1L12	24	s:mars	M	
5200p1L12	25	60	H	
5200p1L13	1	50	H	
5200p1L13	2	51	H	
5200p1L13	3	3	H	
5200p1L13	4	21	H	
5200p1L13	5	14	H	
5200p1L13	6	15	H	
5200p1L13	7	54	H	
5200p1L13	8	w:par tout,	H	
5200p1L13	9	57	H	
5200p1L13	10	15	H	
5200p1L13	11	33	H	
5200p1L13	12	s:mars	M	
5200p1L13	13	s:saturn	M	
5200p1L13	14	w:Le	H	
5200p1L13	15	35	H	
5200p1L13	16	36	H	
5200p1L13	17	15	H	
5200p1L13	18	39	H	
5200p1L13	19	57	H	
5200p1L13	20	w:que	H	
5200p1L14	1	32	H	
5200p1L14	2	31	H	
5200p1L14	3	33	H	
5200p1L14	4	15	H	
5200p1L14	5	54	H	
5200p1L14	6	36	H	
5200p1L14	7	27	H	
5200p1L14	8	14	H	
5200p1L14	9	15	H	
5200p1L14	10	60	H	
5200p1L14	11	68	M	
5200p1L14	12	66	H	
5200p1L14	13	3	H	
5200p1L14	14	18	H	
5200p1L14	15	17	H	
5200p1L14	16	s:f	M	
5200p1L14	17	15	H	
5200p1L14	18	9	H	
5200p1L14	19	57	H	
5200p1L14	20	27	H	
5200p1L14	21	42	H	
5200p1L14	22	39	H	
5200p1L15	1	w:ne	M	
5200p1L15	2	70	H	
5200p1L15	3	72	H	
5200p1L15	4	s:f	M	
5200p1L15	5	56	H	
5200p1L15	6	57	H	
5200p1L15	7	s:saturn	M	
5200p1L15	8	51	H	
5200p1L15	9	42	H	
5200p1L15	10	60	H	
5200p1L15	11	61	H	
5200p1L15	12	w:ne	M	
5200p1L15	13	39	H	
5200p1L15	14	57	H	
5200p1L15	15	s:mars	M	
5200p1L15	16	18	H	
5200p1L15	17	17	H	
5200p1L15	18	42	H	
5200p1L15	19	50	H	
5200p1L15	20	51	H	
5200p1L15	21	57	H	
5200p1L15	22	15	M	
5200p1L16	1	6	H	
5200p1L16	2	5	H	
5200p1L16	3	51	H	
5200p1L16	4	3	H	
5200p1L16	5	s:saturn	M	
5200p1L16	6	39	H	
5200p1L16	7	34	H	
5200p1L16	8	33	H	
5200p1L16	9	15	H	
5200p1L16	10	72	H	
5200p1L16	11	79	M	
5200p1L16	12	81	H	
5200p1L16	13	s:mars	M	
5200p1L16	14	s:sun	M	
5200p1L16	15	w:mon pas tant pour estre d'autre	H	
5200p1L17	1	w:affection que du passe, comme pour estre	H	
5200p1L17	2	25	H	
5200p1L17	3	20	H	
5200p1L17	4	40	H	
5200p1L17	5	s:jupiter	M	
5200p1L17	6	s:sun	M	
5200p1L17	7	s:venus	M	
5200p1L17	8	54	H	
5200p1L17	9	3	H	
5200p1L17	10	27	H	
5200p1L17	11	s:f	M	
5200p1L17	12	29	M	
5200p1L18	1	12	H	
5200p1L18	2	11	H	
5200p1L18	3	60	H	
5200p1L18	4	39	H	
5200p1L18	5	15	H	
5200p1L18	6	18	H	
5200p1L18	7	s:jupiter	M	
5200p1L18	8	51	H	
5200p1L18	9	3	H	
5200p1L18	10	69	H	
5200p1L18	11	15	H	
5200p1L18	12	60	H	
5200p1L18	13	51	H	
5200p1L18	14	w:follon que je craind que	M	
5200p1L18	15	2	H	
5200p1L18	16	20	H	
5200p1L18	17	40	H	
5200p1L18	18	40	H	
5200p1L19	1	3	H	
5200p1L19	2	32	H	
5200p1L19	3	33	H	
5200p1L19	4	s:f	M	
5200p1L19	5	18	H	
5200p1L19	6	27	H	
5200p1L19	7	39	H	
5200p1L19	8	27	H	
5200p1L19	9	15	H	
5200p1L19	10	35	H	
5200p1L19	11	36	H	
5200p1L19	12	15	H	
5200p1L19	13	s:sun	M	
5200p1L19	14	w:mm	M	
5200p1L19	15	57	H	
5200p1L19	16	51	H	
5200p1L19	17	42	H	
5200p1L19	18	60	H	
5200p1L19	19	s:mars	M	
5200p1L19	20	11	H	
5200p1L19	21	19	M	
5200p1L19	22	15	H	
5200p1L19	23	16	H	
5200p1L19	24	51	H	
5200p1L19	25	3	H	
5200p1L19	26	69	M	
5200p1L20	1	54	H	
