page	line	idx	group	doubt	plain	note
1	29	1	RUN	0	clear before: 'jay veu la' | print p.141: 'j'ay veu la poursuyte du duc Hans-Casimir pour avoir remboursement de quelque argent a luy deu a raison par vous alleguee' | clear after: 'a raison par vous alleguee'	anchor example from brief; 57 groups read for 60-letter span
1	30	1	106	0	d	
1	30	2	120	0	u	
1	30	3	3	0	d	
1	30	4	22	0	u	
1	30	5	88	0	c	
1	30	6	150	0	h	
1	30	7	122	0	a	
1	30	8	4	0	n	
1	30	9	7	0	s	
1	30	10	66	0	c	
1	30	11	63	0	a	
1	30	12	89	0	s	
1	30	13	77	0	i	
1	30	14	129	0	m	
1	31	1	10	0	i	
1	31	2	80	0	r	
1	31	3	64	0	p	
1	31	4	44	0	o	
1	31	5	75	0	u	
1	31	6	7	0	r	
1	31	7	75	0	a	
1	31	8	27	0	v	
1	31	9	56	0	o	
1	31	10	15	0	i	
1	31	11	68	0	r	
1	31	12	86	0	r	
1	31	13	77	0	e	
1	31	14	80	0	m	
1	31	15	26	0	b	
1	31	16	55	0	o	
1	31	17	27	0	u	
1	31	18	00	0	r	
1	31	19	85	1	s	digit shapes worn/faint at line end, best reading
1	31	20	1	1	e	digit shapes worn/faint at line end, best reading
1	31	21	9	1	m	digit shapes worn/faint at line end, best reading
1	32	1	126	0	e	
1	32	2	24	0	n	
1	32	3	29	0	t	
1	32	4	79	0	d	
1	32	5	88	0	e	
1	32	6	26	0	q	
1	32	7	51	0	u	
1	32	8	71	0	e	
1	32	9	86	0	l	
1	32	10	29	0	q	
1	32	11	329	0	u	
1	32	12	130	0	e	
1	32	13	121	0	a	
1	32	14	12	0	r	
1	32	15	2	0	g	
1	32	16	50	0	e	
1	32	17	88	0	n	
1	32	18	100	0	t	
1	33	1	25	0	a	
1	33	2	26	0	l	
1	33	3	80	0	u	
1	33	4	8	0	y	last group of run (matches brief's example, immediately followed by clear 'a raison par vous alleguee'); count: 57 groups read vs 60 letters in print span, positional 1:1 mapping breaks down near the end (word 'deu' not individually resolved) -- treat idx 50-57 as low-confidence position only
2	14	1	RUN	0	clear before: '...tournera au grand bien et honneur de mon maison.' | print p.142: 'Quant a l'affaire de Besancon, j'attendray ce que vous y aurez davantaige besoingne' | clear after: 'jattendray ce que vous y aurez davantaige besoingne'	39 groups read for a 24-letter span (Besancon); marginal note reads (abbreviated) 'quant a l'affaire de Besancon'
2	15	1	70	0	q	
2	15	2	89	0	u	
2	15	3	13	0	a	
