system	file	source	host	fetched	note
Taylor 1786 (known negative, Tomokiyo)	taylor1786_tomokiyo.png	cryptiana.web.fc2.com/code/madison_taylor.png (Tomokiyo's own crop, a running specimen of Taylor's system, sourced from a Google Books full-view scan per his article's citation)	cryptiana.web.fc2.com	26 Sept 2026	Tomokiyo already compared this system to the target and found no match; refetched here for this pass's own shape count, not a re-decode
Byrom 1796 abridgement	byrom1796_alphabet_p12.jpg	archive.org bim_eighteenth-century_an-abridgement-of-mr-by_byrom-john_1796, leaf 12 (printed p.12, "On the Consonants" alphabet table)	archive.org	26 Sept 2026	1796 abridgement of Byrom's 1767 Universal English Short-hand (the 1739 Proposals has no plates); full typeset consonant alphabet
Gurney 1752	gurney1752_specimen_p6.jpg	archive.org bim_eighteenth-century_brachygraphy-or-short-_gurney-thomas_1752, leaf 7 (printed p.6)	archive.org	26 Sept 2026	Engraved page showing shorthand word-forms embedded in cursive explanatory text (e.g. "for Satisfaction", "for Pleasant"); a clean single-page alphabet plate was not located in the front matter within this pass's time box (11 plates exist per the book's own text, all before the title page; not individually paged out)
Mavor 1792	mavor1792_alphabet_plateI.jpg	archive.org bim_eighteenth-century_universal-stenography-o_mavor-william-fordyce_1792, leaf 26 ("PLATE I. The Alphabet with the Double and Triple Consonants")	archive.org	26 Sept 2026	Full engraved alphabet plate, consonants + double/triple consonants + vowel-place table
Weston 1727	weston1727_alphabet_p1.jpg	archive.org bim_eighteenth-century_stenography-compleated-_weston-james-stenograp_1727, leaf 12 (the book's own "page 1" plate)	archive.org	26 Sept 2026	Full engraved plate: 1st/2nd/3rd Lesson columns (alphabet, double/triple consonants beginning and ending words) + vowel-places table
Macaulay 1747	macaulay1747_alphabet_p3.jpg	archive.org bim_eighteenth-century_polygraphy-or-short-hand_macaulay-aulay_1747, leaf 12 (the book's own "page 3")	archive.org	26 Sept 2026	Full comparative alphabet table (two columns a-o, p-z with character + sample word)
Pitman 1837/1890 Phonography -- CONTROL	pitman1890_consonants_control_p19.jpg	archive.org manualphonograp01pitmgoog, leaf 25 (printed p.19, "CONSONANTS: Their Signs, Names, and Powers")	archive.org	26 Sept 2026	Control system per the brief: a different period (Victorian, not 18th c.) and a different script family (geometric straight-line/simple-arc phonetic shorthand, not the cursive loop-and-hook longhand-derived systems Tomokiyo named)
Blanchard 1787 (nearest to 1779-1786; the 1779 first edition has no character plate, only typeset letter-meaning tables)	blanchard1787_alphabet_pl1.jpg	archive.org bim_eighteenth-century_the-complete-instructor-_blanchard-william-isaac_1787, leaf 41 ("Pl. 1", headed "Alphabet")	archive.org	26 Sept 2026	Genuine engraved alphabet plate: a-z plus &c, one pen-stroke shape per letter in the left margin column, with the word(s) each letter stands for
Annet 1761 ("Short-Hand Perfected", nearest edition located to 1749; 1749 first edition not found on archive.org)	annet1761_signtable_p.jpg	archive.org bim_eighteenth-century_annets-short-hand-perfe_annet-peter_1761, leaf 20	archive.org	26 Sept 2026	Full numbered sign index, rows 0-29 x columns 0-9 (300 cells), each cell one engraved shorthand mark -- a numbered arbitrary-sign table, not a 26-letter phonetic alphabet; the book's own running-text specimen (leaf 19, Ecclesiastes IX) was NOT used as the comparison plate (ARM-S2's Gurney lesson: a prose specimen inflates matches to page furniture)
Holdsworth and Aldridge 1770 ("Natural Short-Hand", nearest edition located to 1766; earliest editions not found on archive.org)	holdsworth1770_alphabet_p111.jpg	archive.org bim_eighteenth-century_natural-short-hand-wher_holdsworth_1770, leaf 44 (printed p.111)	archive.org	26 Sept 2026	Engraved plate, "The Position of the Organs of Speech... delineated": geometric segment-shapes for mute/liquid labials, dentals, palatines, sibilants, semi-vowels and vowels, each with its letter(s)
Lewis 1820 ("The Art of Writing with the Rapidity of Speech"; nearest Lewis-authored alphabet plate located -- his 1816 "Historical Account of the Rise and Progress of Short Hand" is a survey of OTHER authors' systems and does not print Lewis's own alphabet; no 1812 edition of a Lewis-authored system found on archive.org)	lewis1820_alphabet_plate1.jpg	archive.org artofwritingwith00lewiiala, leaf 20 ("Plate I", "The Short hand alphabet, and words those characters represent when they are written singly or stand alone")	archive.org	26 Sept 2026	Genuine plate: one shorthand mark per letter (a/e, b, d, f/v, g/j, h, k/c-hard, l, m, n, o/u, p, q, r, s/c-soft, t, w, x, y/i) plus the four common words each mark stands for when written alone
