line	plain_A	plain_B	sign_code_A	sign_code_B	note_A	note_B
5	NULLE	Null1	K26		triangle/tent shape with a vertical stem below it; resembles the lambda-like first exemplar for K26; tentative	"first of four marks after ""Nulle:"" on line5 (f104_05_016, cluster 28, unlabeled); shape: a tall pointed/triangular stroke on a stem"
5	NULLE	Null2	K13	K1	"three converging diagonal strokes forming a W/M shape; matches the first ""W"" exemplar given for K13"	"low confidence, K1 flagged as contaminated (see alphabet g note); shape: a doubled vertical bar, roughly ""H""-like"
5	NULLE	Null3	UNLISTED		"small circle joined by a short horizontal stroke to a double-stemmed cross with a looping flourish at the top right (looks like ""o"" + ""H"" with a tail)"	"third mark (f104_05_018, cluster 5, unlabeled); shape: a crossed doubled stroke, ""++""-like"
5	NULLE	Null4	K31		"wide open angle/chevron shape like an inverted V; resembles the ""^"" exemplar given for K31; tentative"	"fourth mark (f104_05_019, cluster 17, unlabeled); shape: an angled stroke opening downward, ""\/""-like"
1	a	a	UNLISTED	K25	asymmetric cross: vertical stroke crossed by a short horizontal near its foot, with the stem rising taller above the crossbar on the left side than the right	
1	b	b	UNLISTED	K13	two close-set vertical strokes crossed by one diagonal stroke, like an H overlaid with a slash	
1	c	c	K1	K16	plain double vertical bar with no cross-slash; K1 is by far the most frequent atlas code (26 instances), consistent with a simple recurring mark, but confidence is only medium given how generic the shape is	
1	d	d	UNLISTED		two short horizontal strokes stacked vertically, like an equals sign	no atlas K-code on f104 line1 pos4 (cluster 55 unlabeled); sign is a short stroke, singleton, not split into an atlas cluster
1	e	e	K24	K35	"simple thin plus/cross, matches the plain ""+"" exemplars for K24 well"	
1	f	f	K5		curled hook resembling a numeral 2 or 6, matches the curled-2 exemplars for K5 well	no atlas K-code on f104 line1 pos6 (cluster 52 unlabeled)
1	g	g	K34	K1	cross with a loop attached on the right side; tentative, K34 is a large varied bucket (18 instances)	low confidence: K1 is flagged in NOTES.md as contaminated with plain-script word-blob exemplars on other leaves; f104 exemplar itself (f104_01_007) looked like a genuine invented sign on the crop
1	h	h	UNLISTED	K34	short horizontal approach stroke leading into a small P-like loop	
1	i	i	UNLISTED		figure-eight or S-shaped double loop	no atlas K-code on f104 line1 pos9 (cluster 14 unlabeled)
1	k	k	UNLISTED	K9	tall plain double vertical bar, similar in kind to the sign given for c but narrower/taller	
1	l	l	K16	K21	double vertical bar with a curling tail/loop at the bottom right; tentative match to the T/loop family in K16	
1	m	m	UNLISTED	K29	small circle/loop sitting atop a vertical stem, phi-like	
1	n	n	UNLISTED	K8	vertical stroke with a small serif foot, like a capital I	
