group_a	group_b	count	likely_transcription_noise	positions
16	i6	5	yes	f28#178~f30#153;f28#292~f30#273;f28#314~f30#296;f28#362~f30#346;f28#367~f30#351
5i	6i	4	no	f28#312~f30#294;f28#443~f30#428;f28#451~f30#436;f28#466~f30#451
11	ii	3	yes	f28#27~f30#21;f28#431~f30#416;f28#434~f30#419
30	36	3	no	f28#75~f30#62;f28#243~f30#220;f28#363~f30#347
31	3i	3	yes	f28#406~f30#391;f28#433~f30#418;f28#473~f30#458
51	5i	3	yes	f28#264~f30#241;f28#269~f30#246;f28#365~f30#349
5i	3i	3	no	f28#110~f30#90;f28#316~f30#298;f28#338~f30#320
10	i0	2	yes	f28#177~f30#152;f28#333~f30#315
15	i5	2	yes	f28#136~f30#117;f28#322~f30#304
1z	4z	2	no	f28#26~f30#20;f28#404~f30#389
29	z9	2	no	f28#311~f30#293;f28#339~f30#321
70	40	2	no	f28#289~f30#270;f28#325~f30#307
71	7i	2	yes	f28#268~f30#245;f28#437~f30#422
74	44	2	no	f28#282~f30#261;f28#353~f30#337
87	67	2	no	f28#104~f30#84;f28#461~f30#446
du	ILLEGIBLE	2	yes	f28#157~f30#131;f28#196~f30#173
z5	25	2	no	f28#216~f30#194;f28#432~f30#417
03	95	1	no	f28#408~f30#393
0z	93	1	no	f28#456~f30#441
0z	8z	1	no	f28#457~f30#442
10	z	1	no	f28#148~f30#122
107	197	1	no	f28#158~f30#132
10z	193	1	no	f28#208~f30#185
11	24	1	no	f28#9~f30#3
13	i5	1	no	f28#168~f30#142
13	z	1	no	f28#284~f30#265
13	2	1	no	f28#344~f30#327
13	79	1	no	f28#384~f30#370
137	i37	1	yes	f28#180~f30#155
149	30	1	no	f28#195~f30#172
15	49	1	no	f28#409~f30#394
16	4	1	no	f28#97~f30#79
16	48	1	no	f28#112~f30#92
16	87	1	no	f28#149~f30#123
16	2124	1	no	f28#286~f30#267
16	zz	1	no	f28#372~f30#357
16	z6	1	no	f28#403~f30#388
16	ib	1	no	f28#449~f30#434
18	48	1	no	f28#72~f30#59
1z	83	1	no	f28#43~f30#31
1z	4bi	1	no	f28#256~f30#233
1z	15	1	no	f28#305~f30#287
25	z5	1	no	f28#68~f30#55
28	48	1	no	f28#330~f30#312
