pass_reading	canonical	evidence	count	grade
ii	11	crops/0028/hstam_4_h_1411_0028_L07.jpg col17 (pass a)	62	H
i6	16	crops/0028/hstam_4_h_1411_0028_L08.jpg col12 (pass a)	36	H
6i	61	crops/0028/hstam_4_h_1411_0028_L08.jpg col30 (pass a)	32	H
3i	31	crops/0028/hstam_4_h_1411_0028_L05.jpg col32 (pass a)	27	H
5i	51	crops/0028/hstam_4_h_1411_0028_L05.jpg col45 (pass a)	26	H
7i	71	crops/0028/hstam_4_h_1411_0028_L06.jpg col7 (pass a)	23	H
i5	15	crops/0028/hstam_4_h_1411_0028_L07.jpg col28 (pass b)	12	H
8i	81	crops/0028/hstam_4_h_1411_0028_L06.jpg col46 (pass a)	11	H
i	1	crops/0028/hstam_4_h_1411_0028_L11.jpg col46 (pass a)	9	H
i0	10	crops/0028/hstam_4_h_1411_0028_L07.jpg col39 (pass b)	9	H
i8	18	crops/0028/hstam_4_h_1411_0028_L07.jpg col11 (pass b)	9	H
4i	41	crops/0028/hstam_4_h_1411_0028_L07.jpg col18 (pass a)	8	H
9i	91	crops/0028/hstam_4_h_1411_0028_L11.jpg col30 (pass a)	6	H
i3	13	crops/0028/hstam_4_h_1411_0028_L08.jpg col13 (pass b)	5	H
i37	137	crops/0028/hstam_4_h_1411_0028_L08.jpg col25 (pass b)	3	H
i03	103	crops/0028/hstam_4_h_1411_0028_L09.jpg col4 (pass b)	1	H
i48	148	crops/0030/hstam_4_h_1411_0030_L09.jpg col42 (pass b)	1	H
i49	149	crops/0028/hstam_4_h_1411_0028_L08.jpg col40 (pass b)	1	H
i78	178	crops/0030/hstam_4_h_1411_0030_L12.jpg col15 (pass a)	1	H
i7i	171	crops/0030/hstam_4_h_1411_0030_L13.jpg col12 (pass b)	1	H
i87	187	crops/0028/hstam_4_h_1411_0028_L10.jpg col30 (pass b)	1	H
i9	19	crops/0030/hstam_4_h_1411_0030_L11.jpg col47 (pass b)	1	H
i93	193	crops/0028/hstam_4_h_1411_0028_L07.jpg col42 (pass b)	1	H
