line	col	value	source
15	18	22	f30_crop_L16(read by bMAL28B)
15	19	73	f30_crop_L16(read by bMAL28B)
15	25	43	f30_crop_L16(read by bMAL28B)
15	27	82	f30_crop_L16(read by bMAL28B)
15	28	73	f30_crop_L16(read by bMAL28B)
15	39	30	f30_crop_L16(read by bMAL28B)
15	42	67	f30_crop_L16(read by bMAL28B)
15	43	55	f30_crop_L16(read by bMAL28B)
16	1	S	f30_crop_L16(read by bMAL28B)
16	14	22	f30_crop_L16(read by bMAL28B)
16	15	73	f30_crop_L16(read by bMAL28B)
16	16	A	f30_crop_L16(read by bMAL28B)
16	17	71	f30_crop_L16(read by bMAL28B)
16	18	25	f30_crop_L16(read by bMAL28B)
16	22	43	f30_crop_L16(read by bMAL28B)
16	30	16	f30_crop_L17(read by bMAL28B)
16	36	44	f30_crop_L17(read by bMAL28B)
16	41	16	f30_crop_L17(read by bMAL28B)
16	42	72	f30_crop_L17(read by bMAL28B)
16	43	61	f30_crop_L17(read by bMAL28B)
