page	line	idx	sign
p2	1	1	3
p2	1	2	Sb
p2	1	3	8
p2	1	4	Z
p2	1	5	Or
p2	1	6	9
p2	1	7	9
p2	1	8	Pb
p2	1	9	3
p2	1	10	X
p2	1	11	HX
p2	1	12	Pf
p2	1	13	5
p2	1	14	Or
p2	1	15	Qg
p2	1	16	3
p2	1	17	8
p2	1	18	Z
p2	1	19	Sb
p2	1	20	Sb
p2	1	21	Qg
p2	1	22	3
p2	1	23	Sb
p2	1	24	0
p2	1	25	Qg
p2	1	26	9
p2	1	27	EL8
p2	1	28	8
p2	1	29	Z
p2	1	30	L
p2	1	31	1
p2	1	32	0
p2	1	33	L
p2	1	34	Lf
p2	2	1	5
p2	2	2	4
p2	2	3	N
p2	2	4	Qg
p2	2	5	Or
p2	2	6	5
p2	2	7	L
p2	2	8	Pb
p2	2	9	0
p2	2	10	D
p2	2	11	1
p2	2	12	5
p2	2	13	Pf
p2	2	14	Pf
p2	2	15	Yz
p2	2	16	8
p2	2	17	4
p2	2	18	L
p2	2	19	Pf
p2	2	20	Pf
p2	2	21	BAR
p2	2	22	Mf
p2	2	23	Ma
p2	2	24	0
p2	2	25	5
p2	2	26	Dp
p2	2	27	Z
p2	2	28	9
p2	2	29	Yz
p2	3	1	5
p2	3	2	Pf
p2	3	3	Pf
p2	3	4	Td
p2	3	5	Or
p2	3	6	3
p2	3	7	Z
p2	3	8	Sb
p2	3	9	Sb
p2	3	10	Z
p2	3	11	Qg
p2	3	12	Dl
p2	3	13	Sb
p2	3	14	5
p2	3	15	4
p2	3	16	Lf
p2	3	17	0
p2	3	18	Sb
p2	3	19	Pb
p2	3	20	3
p2	3	21	Ma
p2	3	22	0
p2	3	23	L
p2	3	24	L
p2	3	25	5
p2	3	26	N
p2	3	27	Qg
p2	3	28	1
p2	3	29	0
p2	3	30	Pb
p2	3	31	3
p2	3	32	N
p2	4	1	Sb
p2	4	2	4
p2	4	3	L
p2	4	4	L
p2	4	5	NW
p2	4	6	Pb
p2	4	7	Z
p2	4	8	9
p2	4	9	1
p2	4	10	3
p2	4	11	N
p2	4	12	0
p2	4	13	Pb
p2	4	14	3
p2	4	15	Or
p2	4	16	R
p2	4	17	R
p2	4	18	8
p2	4	19	4
p2	4	20	Lf
p2	4	21	Lf
p2	4	22	3
p2	4	23	N
p2	4	24	Lf
p2	4	25	3
p2	4	26	Z
p2	4	27	N
p2	4	28	3
p2	4	29	Or
p2	5	1	5
p2	5	2	N
p2	5	3	5
p2	5	4	3
p2	5	5	Or
p2	5	6	Lf
p2	5	7	3
p2	5	8	L
p2	5	9	Td
p2	5	10	9
p2	5	11	N
p2	5	12	0
p2	5	13	D
p2	5	14	1
p2	5	15	Qf
p2	5	16	Or
p2	5	17	0
p2	5	18	Qg
p2	5	19	3
p2	5	20	N
p2	5	21	Sb
p2	5	22	1
p2	5	23	0
p2	5	24	Pb
p2	5	25	3
p2	5	26	N
p2	5	27	M
p2	5	28	Lf
p2	5	29	Z
p2	5	30	D
p2	5	31	1
p2	6	1	Z
p2	6	2	Or
p2	6	3	3
p2	6	4	Or
p2	6	5	3
p2	6	6	Or
p2	6	7	V
p2	6	8	5
p2	6	9	N
p2	6	10	Td
p2	6	11	Z
p2	6	12	Qg
p2	6	13	5
p2	6	14	N
p2	6	15	Qg
p2	6	16	Qg
p2	6	17	3
p2	6	18	Sg
p2	6	19	3
p2	6	20	0
p2	6	21	N
p2	6	22	Td
p2	6	23	9
p2	6	24	9
p2	6	25	8
p2	6	26	4
p2	6	27	Or
p2	6	28	3
p2	6	29	N
