line	pos	sign	conf	why
53_L01	1	5	H	agree
53_L01	2	1	H	agree
53_L01	3	X	H	agree
53_L01	4	7	H	agree
53_L01	5	7	H	agree
53_L01	6	1	H	agree
53_L01	7	V	M	agree-flagged
53_L01	8	DOT	M	agree-flagged
53_L01	9	Z	M	agree-flagged
53_L01	10	1	H	agree
53_L01	11	X	H	agree
53_L01	12	Xk	M	agree-flagged
53_L01	13	Xk	M	agree-flagged
53_L01	14	7	H	agree
53_L01	15	5	H	agree
53_L01	16	0	H	agree
53_L01	17	DOT	M	agree-flagged
53_L01	18	G3	M	agree-flagged
53_L01	19	3	H	agree
53_L01	20	8	H	agree
53_L01	21	DOT	M	agree-flagged
53_L01	22	X	H	agree
53_L01	23	4	H	agree
53_L01	24	G3	M	agree-flagged
53_L01	25	DOT	M	agree-flagged
53_L01	26	X	H	agree
53_L01	27	Xk	M	agree-flagged
53_L01	28	4	M	differ
53_L02	1	F	M	agree-flagged
53_L02	2	3	H	agree
53_L02	3	SG	M	agree-flagged
53_L02	4	G1	M	agree-flagged
53_L02	5	5	H	agree
53_L02	6	DOT	M	agree-flagged
53_L02	7	X	H	agree
53_L02	8	4	H	agree
53_L02	9	G3	M	agree-flagged
53_L02	10	Xk	M	agree-flagged
53_L02	11	DOT	M	gap
53_L02	12	Z	M	agree-flagged
53_L02	13	7	H	agree
53_L02	14	8	H	agree
53_L02	15	1	H	agree
53_L02	16	V	M	agree-flagged
53_L02	17	Z	M	agree-flagged
53_L02	18	7	H	agree
53_L02	19	G1	M	agree-flagged
53_L02	20	4	H	agree
53_L02	21	G3	M	agree-flagged
53_L02	22	V	M	agree-flagged
53_L02	23	1	H	agree
53_L02	24	X	H	agree
53_L02	25	8	H	agree
53_L02	26	1	H	agree
53_L02	27	5	H	agree
53_L03	1	2	H	agree
53_L03	2	3	H	agree
53_L03	3	5	H	agree
53_L03	4	COL	M	agree-flagged
53_L03	5	2	H	agree
53_L03	6	3	H	agree
53_L03	7	G7	M	agree-flagged
53_L03	8	DOT	M	agree-flagged
53_L03	9	2	H	agree
53_L03	10	1	H	agree
53_L03	11	F	M	agree-flagged
53_L03	12	G4	M	agree-flagged
53_L03	13	V	M	agree-flagged
53_L03	14	X	H	agree
53_L03	15	5	H	agree
53_L03	16	Xk	M	agree-flagged
53_L03	17	Z	M	agree-flagged
53_L03	18	1	H	agree
53_L03	19	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L03	20	Z	M	agree-flagged
53_L03	21	7	H	agree
53_L03	22	G3	M	agree-flagged
53_L03	23	X	H	agree
53_L03	24	G7	M	agree-flagged
53_L03	25	G4	M	agree-flagged
53_L03	26	3	H	agree
53_L03	27	5	H	agree
53_L03	28	X	H	agree
53_L03	29	1	H	agree
53_L03	30	5	H	agree
