system	sign	value	grade	n	units
74	0	g	C	21	g:21
74	1	e	C	140	e:139,e~:1
74	3	a	C	54	a:54
74	4	c	C	21	c:21
74	5	h	C	27	h:27
74	6	l	C	35	l:35
74	7	n	C	90	n:90
74	8	b	C	17	b:17
74	9	f	C	19	f:19
74	BAY	Beyern	C	1	Beyern:1
74	EL	E.L.	C	1	E.L.:1
74	ENG	Engelland	C	3	Engelland:3
74	F	p	C	3	p:3
74	G1	t	C	41	t:41
74	G2	o	C	25	o:25
74	G3	m	C	20	m:20
74	G4	s	C	11	s:11
74	G6	i	C	64	i:64
74	HISP	Hispanien	C	1	Hispanien:1
74	HZG	Hertzog	C	1	Hertzog:1
74	ITAL	Ital	C	1	Ital:1
74	J	st	C	4	st:4
74	NL	Niderland	C	1	Niderland:1
74	PAPST	Bapst	C	1	Bapst:1
74	S	h	C	17	h:17
74	T	s	C	34	s:33,n~:1
74	TL	sch	C	6	sch:6
74	UND	und	C	2	und:2
74	V	r	C	56	r:56
74	VmV	König	C	8	König:8
74	Wm	Frankreich	C	5	Frankreich:5
74	X	u	C	36	u:25,v:10,u~:1
74	XX	w	C	17	w:17
74	Xk	k	C	10	k:10
74	Xy	y	C	2	y:2
74	Z	d	C	39	d:39
74	ZZ	zu	C	12	zu:12
74	Zb	z	C	9	z:9
98	0	a	C	12	a:11,König~:1
98	1	h	C	7	h:6,t~:1
98	3	e	C	20	e:20
98	4	o	C	6	o:6
98	5	u	C	12	u:9,v:3
98	8	w	C	6	w:6
98	9	t	C	6	t:5,d~:1
98	BAR	hundert_pferde	M	1	hundert_pferde~:1
98	D	c	C	3	c:3
98	Dl	fendlein	M	1	fendlein~:1
98	Dp	p	C	1	p:1
98	EL8	das	M	1	das~:1
98	HX	uns	M	1	uns~:1
98	L	l	C	9	l:8,m~:1
98	Lf	m|l	M	7	m:5,l:1,l~:1
98	M	und	C	1	und:1
98	Ma	st	C	2	st:2
98	Mf	und	M	1	und~:1
98	N	n	C	14	n:13,n~:1
98	NW	wir	M	1	wir~:1
98	Or	r	C	12	r:12
98	Pb	b	C	7	b:7
98	Pf	f	C	7	f:7
98	Qf	f	M	1	f~:1
98	Qg	g	C	9	g:9
98	R	E.L.	M	1	E.L.~:1
98	Sb	s	C	9	s:7,landtsknecht~:1,zu_Frankreich~:1
98	Sg	b	M	1	b~:1
98	Td	d	C	4	d:3,t~:1
98	V	k	C	1	k:1
98	X	y	C	1	y:1
98	Yz	z	C	2	z:2
98	Z	i	C	11	i:11
