sign	value	grade	source	note
0	g	C	pairs_74.tsv	n=21 g:21
1	e	C	pairs_74.tsv	n=140 e:139,e~:1
3	a	C	pairs_74.tsv	n=54 a:54
4	c	C	pairs_74.tsv	n=21 c:21
5	h	C	pairs_74.tsv	n=27 h:27
6	l	C	pairs_74.tsv	n=35 l:35
7	n	C	pairs_74.tsv	n=90 n:90
8	b	C	pairs_74.tsv	n=17 b:17
9	f	C	pairs_74.tsv	n=19 f:19
BAY	Beyern	C	pairs_74.tsv	n=1 Beyern:1
EL	E.L.	C	pairs_74.tsv	n=1 E.L.:1
ENG	Engelland	C	pairs_74.tsv	n=3 Engelland:3
F	p	C	pairs_74.tsv	n=3 p:3
G1	t	C	pairs_74.tsv	n=41 t:41
G2	o	C	pairs_74.tsv	n=25 o:25
G3	m	C	pairs_74.tsv	n=20 m:20
G4	s	C	pairs_74.tsv	n=11 s:11
G6	i	C	pairs_74.tsv	n=64 i:64
HISP	Hispanien	C	pairs_74.tsv	n=1 Hispanien:1
HZG	Hertzog	C	pairs_74.tsv	n=1 Hertzog:1
ITAL	Ital	C	pairs_74.tsv	n=1 Ital:1
J	st	C	pairs_74.tsv	n=4 st:4
NL	Niderland	C	pairs_74.tsv	n=1 Niderland:1
PAPST	Bapst	C	pairs_74.tsv	n=1 Bapst:1
S	h	C	pairs_74.tsv	n=17 h:17
T	s	C	pairs_74.tsv	n=34 s:33,n~:1
TL	sch	C	pairs_74.tsv	n=6 sch:6
UND	und	C	pairs_74.tsv	n=2 und:2
V	r	C	pairs_74.tsv	n=56 r:56
VmV	König	C	pairs_74.tsv	n=8 König:8
Wm	Frankreich	C	pairs_74.tsv	n=5 Frankreich:5
X	u	C	pairs_74.tsv	n=36 u:25,v:10,u~:1
XX	w	C	pairs_74.tsv	n=17 w:17
Xk	k	C	pairs_74.tsv	n=10 k:10
Xy	y	C	pairs_74.tsv	n=2 y:2
Z	d	C	pairs_74.tsv	n=39 d:39
ZZ	zu	C	pairs_74.tsv	n=12 zu:12
Zb	z	C	pairs_74.tsv	n=9 z:9
