line	pos	sign	conf
1	1	NW	
1	2	/	
1	3	V	
1	4	4	
1	5	N	
1	6	N	
1	7	3	
1	8	N	
1	9	/	
1	10	0	
1	11	5	
1	12	D	
1	13	1	
1	14	/	
1	15	R	
1	16	/	
1	17	Z	
1	18	N	
1	19	/	
1	20	Qf	
1	21	Or	
1	22	3	
1	23	5	
1	24	N	
1	25	Td	
1	26	9	
1	27	L	
1	28	Z	
1	29	D	
1	30	1	
1	31	3	
1	32	L	M
1	33	/	
1	34	5	
1	35	3	
1	36	Or	
1	37	9	
1	38	Or	
1	39	0	
1	40	5	
2	1	3	
2	2	N	
2	3	/	
2	4	N	
2	5	Z	
2	6	9	
2	7	/	
2	8	5	
2	9	3	
2	10	Or	
2	11	1	
2	12	0	
2	13	L	
2	14	9	
2	15	3	
2	16	N	
2	17	/	
2	18	EL8	
2	19	/	
2	20	NW	
2	21	/	
2	22	Sb	
2	23	3	
2	24	Z	
2	25	Td	
2	26	1	
2	27	3	
2	28	Or	
2	29	4	
2	30	/	
2	31	0	
2	32	5	
2	33	Sb	
2	34	Sb	
3	1	1	
3	2	Z	
3	3	Sb	
3	4	Dp	
3	5	0	
3	6	N	
3	7	Z	
3	8	3	
3	9	N	
3	10	/	
3	11	0	
3	12	N	
3	13	Td	
3	14	3	
3	15	Or	
3	16	3	
3	17	/	
3	18	Yz	
3	19	3	
3	20	Z	
3	21	9	
3	22	5	
3	23	N	
3	24	Qg	
3	25	/	
3	26	Pb	
3	27	3	
3	28	V	
3	29	4	
3	30	L	
3	31	L	
3	32	3	
3	33	N	
4	1	1	
4	2	0	
4	3	Pb	
4	4	3	
4	5	N	
4	6	/	
4	7	8	
4	8	3	
4	9	L	
4	10	D	
4	11	1	
4	12	3	
4	13	/	
4	14	5	
4	15	3	
4	16	Or	
4	17	L	
4	18	3	
4	19	L	
4	20	Td	
4	21	3	
4	22	N	
4	23	/	
4	24	EL8	
4	25	/	
4	26	K	
4	27	/	
4	28	V	
4	29	4	
4	30	N	
4	31	N	
4	32	Z	
4	33	Qg	
4	34	Z	
4	35	N	
5	1	Sb	
5	2	4	
5	3	/	
5	4	1	
5	5	3	
5	6	Pf	M
5	7	9	M
5	8	Z	
5	9	Qg	
5	10	/	
5	11	ARR	
5	12	Or	
5	13	0	
5	14	N	
5	15	D	
5	16	/	
5	17	ARR	
5	18	8	
5	19	4	
5	20	Or	
5	21	Td	
5	22	3	
5	23	N	
5	24	/	
5	25	Sb	
5	26	3	
5	27	Z	
5	28	/	
5	29	EL8	
5	30	/	
5	31	L	
5	32	0	
5	33	N	
5	34	/	
5	35	1	
5	36	Or	
6	1	K	
6	2	/	
6	3	0	
6	4	Td	
6	5	3	
6	6	Sb	
6	7	N	
6	8	/	
6	9	Yz	
6	10	8	
6	11	3	
6	12	1	
6	13	/	
6	14	L	
6	15	0	
6	16	1	
6	17	L	
6	18	/	
6	19	Sb	
6	20	L	
6	21	0	
6	22	Qg	
6	23	3	
6	24	N	
6	25	/	
6	26	M	
6	27	/	
6	28	0	
6	29	5	
6	30	D	
6	31	1	
6	32	/	
6	33	Yz	
6	34	8	
6	35	3	
6	36	Z	
6	37	/	
6	38	L	
6	39	0	
6	40	1	
6	41	L	
7	1	Dp	
7	2	5	
7	3	Or	
7	4	Qg	
7	5	Z	
7	6	3	
7	7	Or	
7	8	3	
7	9	N	
7	10	/	
7	11	L	
7	12	5	
7	13	Sb	
7	14	Sb	
7	15	3	
7	16	N	
7	17	/	
7	18	Td	
7	19	3	
7	20	Or	
7	21	L	
7	22	0	
7	23	Sb	
7	24	Sb	
7	25	3	
7	26	N	
7	27	/	
7	28	EL8	
7	29	/	
7	30	Sb	
7	31	Z	
7	32	3	
8	1	Z	
8	2	Or	
8	3	3	
8	4	Or	
8	5	/	
8	6	Pf	M
8	7	Or	
8	8	5	
8	9	D	
8	10	1	
8	11	9	
8	12	/	
8	13	3	
8	14	Or	
8	15	L	
8	16	3	
8	17	Td	
8	18	Z	
8	19	Qg	
8	20	3	
8	21	9	
8	22	/	
8	23	8	
8	24	4	
8	25	Or	
8	26	Td	
8	27	3	
8	28	N	
8	29	/	
8	30	Sb	
8	31	3	
8	32	Z	
