page	line	idx	word	sign	unit
p3	1	1	1	Z	d
p3	1	2	1	G6	i
p3	1	3	1	1	e
p3	1	4	2	Z	d
p3	1	5	2	V	r
p3	1	6	2	1	e
p3	1	7	2	Xy	y
p3	1	8	3	G1	t
p3	1	9	3	5	h
p3	1	10	3	3	a
p3	1	11	3	X	u
p3	1	12	3	G4	s
p3	1	13	3	1	e
p3	1	14	3	7	n
p3	1	15	3	G1	t
p3	1	16	4	T	s
p3	1	17	4	F	p
p3	1	18	4	3	a
p3	1	19	4	7	n
p3	1	20	4	G6	i
p3	1	21	4	1	e
p3	1	22	4	V	r
p3	1	23	5	XX	w
p3	1	24	5	1	e
p3	1	25	5	6	l
p3	1	26	5	4	c
p3	1	27	5	5	h
p3	1	28	5	1	e
p3	1	29	6	X	u
p3	1	30	6	7	n
p3	1	31	6	T	s
p3	1	32	6	1	e
p3	1	33	6	V	r
p3	1	34	7	VmV	König
p3	1	35	8	Z	d
p3	1	36	8	1	e
p3	1	37	8	G3	m
p3	2	1	1	9	f
p3	2	2	1	V	r
p3	2	3	1	3	a
p3	2	4	1	7	n
p3	2	5	1	G1	t
p3	2	6	1	Zb	z
p3	2	7	1	G2	o
p3	2	8	1	T	s
p3	2	9	1	1	e
p3	2	10	1	7	n
p3	2	11	2	ZZ	zu
p3	2	12	3	5	h
p3	2	13	3	X	u
p3	2	14	3	6	l
p3	2	15	3	9	f
p3	2	16	3	9	f
p3	2	17	4	TL	sch
p3	2	18	4	G6	i
p3	2	19	4	4	c
p3	2	20	4	Xk	k
p3	2	21	4	G1	t
p3	2	22	4	G1	t
p3	2	23	5	6	l
p3	2	24	5	G6	i
p3	2	25	5	1	e
p3	2	26	5	0	g
p3	2	27	5	1	e
p3	2	28	5	7	n
p3	2	29	6	X	u
p3	2	30	6	9	f
p3	2	31	6	9	f
p3	2	32	7	Z	d
p3	2	33	7	1	e
p3	2	34	7	V	r
p3	2	35	8	T	s
p3	2	36	8	F	p
p3	2	37	8	3	a
p3	2	38	8	7	n
p3	2	39	8	G6	i
p3	2	40	8	TL	sch
p3	2	41	8	1	e
p3	2	42	8	7	n
p3	3	1	1	0	g
p3	3	2	1	V	r
p3	3	3	1	1	e
p3	3	4	1	7	n
p3	3	5	1	G6	i
p3	3	6	1	G1	t
p3	3	7	1	Zb	z
p3	3	8	1	1	e
p3	3	9	1	7	n
p3	3	10	2	X	u
p3	3	11	2	7	n
p3	3	12	2	Z	d
p3	3	13	2	G1	t
p3	3	14	3	T	s
p3	3	15	3	1	e
p3	3	16	3	G6	i
p3	3	17	3	7	n
p3	3	18	3	G1	t
p3	3	19	4	9	f
p3	3	20	4	1	e
p3	3	21	4	V	r
p3	3	22	4	G1	t
p3	3	23	4	G6	i
p3	3	24	4	0	g
p3	3	25	5	G6	i
p3	3	26	5	7	n
p3	3	27	6	Wm	Frankreich
p3	3	28	7	ZZ	zu
p3	3	29	8	Zb	z
p3	3	30	8	G6	i
p3	3	31	8	1	e
p3	3	32	8	5	h
p3	3	33	8	1	e
p3	3	34	8	7	n
p3	3	35	9	T	s
p3	3	36	9	G2	o
p3	3	37	10	T	s
p3	3	38	10	1	e
p3	3	39	10	G6	i
p3	3	40	10	7	n
p3	3	41	10	G1	t
p3	4	1	1	3	a
p3	4	2	1	X	u
p3	4	3	1	4	c
p3	4	4	1	5	h
p3	4	5	2	Z	d
p3	4	6	2	G6	i
p3	4	7	2	1	e
p3	4	8	3	Z	d
p3	4	9	3	V	r
p3	4	10	3	1	e
p3	4	11	3	G6	i
p3	4	12	4	G1	t
p3	4	13	4	5	h
p3	4	14	4	3	a
p3	4	15	4	X	u
p3	4	16	4	G4	s
p3	4	17	4	1	e
p3	4	18	4	7	n
p3	4	19	4	G1	t
p3	4	20	5	ITAL	Ital
p3	4	21	5	G6	i
p3	4	22	5	7	n
p3	4	23	5	1	e
p3	4	24	5	V	r
p3	4	25	6	G6	i
p3	4	26	6	G3	m
p3	4	27	7	3	a
p3	4	28	7	7	n
p3	4	29	7	Zb	z
p3	4	30	7	X?	u
p3	4	31	7	0	g
p3	4	32	8	T	s
p3	4	33	8	G2	o
p3	4	34	9	S	h
p3	4	35	9	3	a
p3	4	36	9	G1	t
p3	4	37	10	Z	d
p3	4	38	10	1	e
p3	4	39	10	V	r
p3	4	40	11	PAPST	Bapst
p3	5	1	1	Z	d
p3	5	2	1	1	e
p3	5	3	1	G3	m
p3	5	4	2	VmV	König
p3	5	5	3	ZZ	zu
p3	5	6	4	Wm	Frankreich
p3	5	7	5	1	e
p3	5	8	5	G6	i
p3	5	9	5	7	n
p3	5	10	6	3	a
p3	5	11	6	7	n
p3	5	12	6	Zb	z
p3	5	13	6	3	a
p3	5	14	6	5	h
p3	5	15	6	6	l
p3	5	16	6	6	l
p3	5	17	7	Xk	k
p3	5	18	7	V	r
p3	5	19	7	G6	i
p3	5	20	7	0	g
p3	5	21	7	G4	s
p3	5	22	7	X	v
p3	5	23	7	G2	o
p3	5	24	7	6	l
p3	5	25	7	4	c
p3	5	26	7	Xk	k
p3	5	27	8	ZZ	zu
p3	5	28	9	0	g
p3	5	29	9	1	e
p3	5	30	9	TL	sch
p3	5	31	9	G6	i
p3	5	32	9	4	c
p3	5	33	9	Xk	k
p3	5	34	9	G1	t
p3	6	1	1	3	a
p3	6	2	1	8	b
p3	6	3	1	1	e
p3	6	4	1	V	r
p3	6	5	2	XX	w
p3	6	6	2	G6	i
p3	6	7	2	1	e
p3	6	8	2	Z	d
p3	6	9	2	3	a
p3	6	10	2	T	s
p3	6	11	3	0	g
p3	6	12	3	1	e
p3	6	13	3	TL	sch
p3	6	14	3	V	r
p3	6	15	3	1	e
p3	6	16	3	Xy	y
p3	6	17	4	X	v
p3	6	18	4	G2	o
p3	6	19	4	G3	m
p3	6	20	5	9	f
p3	6	21	5	V	r
p3	6	22	5	G6	i
p3	6	23	5	1	e
p3	6	24	5	Z	d
p3	6	25	5	1	e
p3	6	26	5	7	n
p3	6	27	6	0	g
p3	6	28	6	1	e
p3	6	29	6	XX	w
p3	6	30	6	1	e
p3	6	31	6	G4	s
p3	6	32	6	1	e
p3	6	33	6	7	n
p3	6	34	7	S	h
p3	6	35	7	3	a
p3	6	36	7	G1	t
p3	6	37	8	1	e
p3	6	38	8	V	r
p3	6	39	9	T	s
p3	6	40	9	G2	o
p3	6	41	9	6	l
p3	6	42	9	G6	i
p3	6	43	9	4	c
p3	6	44	9	S	h
p3	7	1	1	8	b
p3	7	2	1	1	e
p3	7	3	1	X	u
p3	7	4	1	V	r
p3	7	5	1	6	l
p3	7	6	1	3	a
p3	7	7	1	X	u
p3	7	8	1	8	b
p3	7	9	1	1	e
p3	7	10	1	7	n
p3	7	11	2	6	l
p3	7	12	2	3	a
p3	7	13	2	G4	s
p3	7	14	2	1	e
p3	7	15	2	7	n
p3	7	16	3	3	a
p3	7	17	3	8	b
p3	7	18	3	1	e
p3	7	19	3	V	r
p3	7	20	4	7	n
p3	7	21	4	X	u
p3	7	22	4	5	h
p3	7	23	4	7	n
p3	7	24	5	XX	w
