pos	sign
0	s17
1	s17
2	s10
3	s14
4	s4
5	s14
6	s27
7	s12
8	s18
9	s1
10	s19
11	s19
12	s3
13	s26
14	s29
15	s7
16	s0
17	s14
18	s21
19	s7
20	s16
21	s5
22	s9
23	s23
24	s24
25	s10
26	s27
27	s11
28	s17
29	s3
30	s19
31	s26
32	s7
33	s12
34	s19
35	s19
36	s11
37	s2
38	s27
39	s7
40	s16
41	s19
42	s21
43	s10
44	s14
45	s8
46	s30
47	s23
48	s2
49	s30
50	s7
51	s13
52	s34
53	s2
54	s11
55	s27
56	s6
57	s3
58	s26
59	s29
60	s7
61	s21
62	s9
63	s20
64	s26
65	s5
66	s21
67	s4
68	s10
69	s25
70	s5
71	s13
72	s2
73	s17
74	s4
75	s12
76	s20
77	s27
78	s16
79	s10
80	s25
81	s8
82	s14
83	s18
84	s8
85	s28
86	s12
87	s24
88	s28
89	s21
90	s26
91	s10
92	s1
93	s13
94	s17
95	s8
96	s20
97	s7
98	s26
99	s29
100	s7
101	s0
102	s23
103	s19
104	s21
105	s6
106	s14
107	s3
108	s27
109	s5
110	s17
111	s7
112	s8
113	s23
114	s9
115	s17
116	s17
117	s5
118	s10
119	s21
120	s9
121	s22
122	s10
123	s26
124	s6
125	s25
126	s25
127	s2
128	s20
129	s20
130	s0
131	s5
132	s13
133	s8
134	s28
135	s3
136	s12
137	s14
138	s28
139	s10
140	s16
141	s7
142	s11
143	s20
144	s21
145	s27
146	s27
147	s24
148	s3
149	s15
150	s9
151	s1
152	s28
153	s1
154	s31
155	s7
156	s18
157	s18
158	s0
159	s19
160	s22
161	s5
162	s2
163	s20
164	s21
165	s32
166	s2
167	s18
168	s4
169	s20
170	s2
171	s12
172	s26
173	s4
174	s7
175	s20
176	s9
177	s14
178	s8
179	s24
180	s31
181	s21
182	s16
183	s4
184	s16
185	s7
186	s28
187	s9
188	s22
189	s0
190	s15
191	s11
192	s9
193	s27
194	s15
195	s0
196	s22
197	s6
198	s0
199	s28
200	s21
201	s9
202	s26
203	s29
204	s7
205	s2
206	s7
207	s15
208	s11
209	s13
210	s6
211	s23
212	s12
213	s25
214	s9
215	s13
216	s17
217	s12
218	s17
219	s1
220	s7
221	s25
222	s2
223	s4
224	s27
225	s11
226	s28
227	s16
228	s9
229	s26
230	s29
231	s8
232	s25
233	s12
234	s1
235	s13
236	s7
237	s11
238	s21
239	s9
240	s21
241	s10
242	s27
243	s12
244	s16
245	s23
246	s10
247	s17
248	s6
249	s6
250	s15
251	s11
252	s23
253	s1
254	s32
255	s9
256	s6
