source	folder
ciphers/thurloe-printed/pool_1654/reading_P4.txt	thurloe-printed
ciphers/thurloe-printed/reading_P10.txt	thurloe-printed
ciphers/thurloe-printed/reading_P11-13.txt	thurloe-printed
ciphers/thurloe-printed/reading_P14.txt	thurloe-printed
ciphers/thurloe-printed/reading_P15.txt	thurloe-printed
ciphers/thurloe-printed/reading_P3.txt	thurloe-printed
ciphers/thurloe-printed/reading_P8.txt	thurloe-printed
ciphers/thurloe-printed/reading_P9.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P16.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P17.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P18.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P19.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P20.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P21.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P22.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P23.txt	thurloe-printed
ciphers/thurloe-printed/reading_fauconberg_P24.txt	thurloe-printed
