line	col	A	B	flagged	crop
f176.1	1	-	λ		
f176.1	2	ꝺo	o		
f176.1	5	t	-	A	
f176.1	6	3	h		
f176.1	8	⊥	l	B	
f176.2	1	ſ	R		
f176.2	5	v	3		
f176.2	9	-	o		
f176.2	10	∝	=		
f176.2	11	⊥	l	B	
f176.2	12	Δ	a	B	
f176.2	16	-	o		
f176.2	17	∝	t	A	
f176.2	18	tt	t	A	
f176.3	3	14	-		
f176.3	4	1	141		
f176.3	5	ſ	/		
f176.3	7	x	X		
f176.3	9	9	q		
f176.3	12	0	-		
f176.3	13	3	o+		
f176.4	1	∝	-		
f176.4	2	+	-		
f176.4	3	∂	-		
f176.4	5	-	24		
f176.4	7	L	E		
f176.4	9	‡	7	A	
f176.4	12	ꝺo	ß	A	
f176.4	14	r	-		
f176.4	15	e	-	A	
f176.4	16	o	-		
f176.4	17	λ	-		
f176.4	18	g	20		
f176.5	1	-	λ		
f176.5	2	-	g		
f176.5	3	-	L		
f176.5	4	-	4	B	
f176.5	5	L40	o		
f176.5	8	r	-		
f176.5	9	r'	∠	B	
f176.6	1	-	g		
f176.6	2	g+	+		
f176.6	3	ꝑ	p		
f176.6	6	ı	-		
f176.6	9	o^	o		
f176.6	14	c^	c		
f176.6	18	ur	-		
f176.6	19	ꝑ	-		
f176.6	20	v	-		
f176.6	21	f	-		
f176.7	2	4	-	A	
f176.7	3	#	a		
f176.7	4	9	24		
f176.7	5	ı	q		
f176.7	7	L	λ		
f176.7	10	x	X		
f176.7	20	‡	#		
f176.7	24	b	-		
f176.7	29	-	^		
f176.8	1	4	-	A	
f176.8	2	V	a		
f176.8	4	-	20		
f176.8	6	pi	-		
f176.8	7	∝	-		
f176.8	8	+	-		
f176.8	9	L	-		
f176.8	10	++	-		
f176.8	11	φ	-		
f176.8	12	f	-		
f176.8	13	++	-		
f176.8	14	Δ	-		
f176.8	15	o	-		
f176.8	16	+o	-	A	
f176.8	17	q	-		
f176.8	18	3	-		
f176.8	19	.	-		
f176.8	20	+o	-	A	
f176.8	21	7	-		
f176.8	22	///	-		
f176.8	23	ꝑ	-		
f176.8	24	//	-		
f176.8	25	x	-		
f176.8	26	ur	-		
f176.8	28	ı	-		
f176.8	29	v	-		
f176.8	30	m	¢	AB	
f176.9	2	-	X+	B	
f176.9	3	-	o	B	
f176.9	4	-	h	B	
f176.9	5	-	o		
f176.9	6	-	u		
f176.9	7	-	y		
f176.9	8	-	n	B	
f176.9	9	-	ſ	B	
f176.9	10	-	p	B	
f176.9	11	-	s	B	
f176.9	12	-	l	B	
f176.9	13	-	b	B	
f176.9	14	X	n	B	
f176.9	15	∝	ʒ	AB	
f176.10	1	θ	+o		
f176.10	2	++	H		
f176.10	4	4	-		
f176.10	5	4	24		
f176.11	1	.	-		
f176.11	2	:	-		
f176.11	3	.	-		
f176.11	4	~	-		
f176.11	5	Δ	a		
f176.12	1	7	-		
f176.12	2	8	/		
f176.12	3	0	80		
f176.12	4	4	a	A	
f176.12	5	x	3		
f176.12	8	-	e		
f176.12	9	ur	r		
f176.12	10	9	q		
f176.12	13	0	-		
