line	position	sign	confidence	alt	why
f176.1	1	λ	M	A:-	gap
f176.1	2	ꝺo	M	B:o	differ
f176.1	3	y	H		agree
f176.1	4	∂	M		agree-flagged
f176.1	5	t	M	B:-	gap
f176.1	6	3	M	B:h	differ
f176.1	7	π	H		agree
f176.1	8	⊥	M	B:l	differ
f176.2	1	ſ	M	B:R	differ
f176.2	2	.	H		agree
f176.2	3	v	M		agree-flagged
f176.2	4	T	H		agree
f176.2	5	v	M	B:3	differ
f176.2	6	∂	M		agree-flagged
f176.2	7	ß	H		agree
f176.2	8	m	H		agree
f176.2	9	o	M	A:-	gap
f176.2	10	∝	M	B:=	differ
f176.2	11	⊥	M	B:l	differ
f176.2	12	Δ	M	B:a	differ
f176.2	13	T	H		agree
f176.2	14	X	H		agree
f176.2	15	X	H		agree
f176.2	16	o	M	A:-	gap
f176.2	17	∝	M	B:t	differ
f176.2	18	tt	M	B:t	differ
f176.3	1	.	H		agree
f176.3	2	ſ	H		agree
f176.3	3	14	M	B:-	gap
f176.3	4	1	M	B:141	differ
f176.3	5	ſ	M	B:/	differ
f176.3	6	y	H		agree
f176.3	7	x	M	B:X	differ
f176.3	8	=	H		agree
f176.3	9	9	M	B:q	differ
f176.3	10	20	H		agree
f176.3	11	///	H		agree
f176.3	12	0	M	B:-	gap
f176.3	13	3	M	B:o+	differ
f176.4	1	∝	M	B:-	gap
f176.4	2	+	M	B:-	gap
f176.4	3	∂	M	B:-	gap
f176.4	4	h	H		agree
f176.4	5	24	M	A:-	gap
f176.4	6	#	H		agree
f176.4	7	L	M	B:E	differ
f176.4	8	x	H		agree
f176.4	9	‡	M	B:7	differ
f176.4	10	#	H		agree
f176.4	11	T	H		agree
f176.4	12	ꝺo	M	B:ß	differ
f176.4	13	E	H		agree
f176.4	14	r	M	B:-	gap
f176.4	15	e	M	B:-	gap
f176.4	16	o	M	B:-	gap
f176.4	17	λ	M	B:-	gap
f176.4	18	g	M	B:20	differ
f176.5	1	λ	M	A:-	gap
f176.5	2	g	M	A:-	gap
f176.5	3	L	M	A:-	gap
